"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:50:51","相手チーム","キックオフ",,,,,
="0:00:54:23",,,"知久航介",,"インターセプト",,
="0:01:11:30","相手チーム","スローイン",,,,,
="0:01:17:76",,,"三浦雅人",,"ブロック",,
="0:01:25:48","相手チーム","スローイン",,,,,
="0:01:41:08",,,"角田涼太郎",,"ブロック",,
="0:01:47:50",,,"三浦雅人",,"ブロック",,
="0:01:53:02","相手チーム","スローイン",,,,,
="0:01:53:31","ポゼッションスタート",,,,,,
="0:01:53:31","相手チーム",,,,,,
="0:02:02:07",,,"山川哲史",,"ブロック",,
="0:02:05:24","ポゼッションエンド",,,,,,
="0:02:05:24","相手チーム",,,,,,
="0:02:07:62","ポゼッションスタート",,,,,,
="0:02:07:62","筑波大学",,,,,,
="0:02:09:31",,,"三笘薫","ドリブル",,,
="0:02:17:38","ポゼッションエンド",,,,,,
="0:02:17:38","筑波大学",,,,,,
="0:02:21:69","ポゼッションスタート",,,,,,
="0:02:21:69","相手チーム",,,,,,
="0:02:33:37","ポゼッションエンド",,,,,,
="0:02:33:37","相手チーム",,,,,,
="0:02:33:43",,,"知久航介",,"ブロック",,
="0:03:11:52","相手チーム","CK",,,,,
="0:03:27:27",,,"阿部航斗",,,,"キャッチ"
="0:03:49:44","相手チーム","スローイン",,,,,
="0:03:51:38","ポゼッションスタート",,,,,,
="0:03:51:38","相手チーム",,,,,,
="0:04:00:97","ポゼッションエンド",,,,,,
="0:04:00:97","相手チーム",,,,,,
="0:04:01:09",,,"三浦雅人",,"カット",,
="0:04:02:79","ポゼッションスタート",,,,,,
="0:04:02:79","筑波大学",,,,,,
="0:04:05:81","ポゼッションエンド",,,,,,
="0:04:05:81","筑波大学",,,,,,
="0:04:10:88",,,"森侑里",,"カット",,
="0:04:11:78",,,"森侑里","ドリブル",,,
="0:04:18:69","ポゼッションスタート",,,,,,
="0:04:18:69","相手チーム",,,,,,
="0:05:01:11","相手チーム",,,,"被枠外シュート",,
="0:05:02:46","ポゼッションエンド",,,,,,
="0:05:02:46","相手チーム",,,,,,
="0:05:07:67","相手チーム",,,,"被枠外シュート",,
="0:05:29:57",,"GK","阿部航斗",,,,
="0:06:07:81","ポゼッションスタート",,,,,,
="0:06:07:81","相手チーム",,,,,,
="0:06:14:50","ポゼッションエンド",,,,,,
="0:06:14:50","相手チーム",,,,,,
="0:06:24:26",,"スローイン","角田涼太郎",,,,
="0:06:39:11",,"スローイン","角田涼太郎",,,,
="0:06:43:63","ポゼッションスタート",,,,,,
="0:06:43:63","筑波大学",,,,,,
="0:06:54:74",,,"三笘薫","ドリブル",,,
="0:07:00:13","ポゼッションエンド",,,,,,
="0:07:00:13","筑波大学",,,,,,
="0:07:14:10",,,"森侑里",,"インターセプト",,
="0:07:14:73","ポゼッションスタート",,,,,,
="0:07:14:73","筑波大学",,,,,,
="0:07:24:16","ポゼッションエンド",,,,,,
="0:07:24:16","筑波大学",,,,,,
="0:07:28:13","相手チーム","スローイン",,,,,
="0:07:29:61","ポゼッションスタート",,,,,,
="0:07:29:61","相手チーム",,,,,,
="0:07:49:35",,,"山川哲史",,"ブロック",,
="0:07:55:10","ポゼッションエンド",,,,,,
="0:07:55:10","相手チーム",,,,,,
="0:07:56:42","相手チーム",,,,"被枠外シュート",,
="0:08:22:16",,"GK","阿部航斗",,,,
="0:08:30:32","ポゼッションスタート",,,,,,
="0:08:30:32","筑波大学",,,,,,
="0:08:35:39",,,"三笘薫","ドリブル",,,
="0:08:37:03","ポゼッションエンド",,,,,,
="0:08:37:03","筑波大学",,,,,,
="0:08:43:49",,"スローイン","角田涼太郎",,,,
="0:09:10:41",,,"知久航介",,"インターセプト",,
="0:09:15:90","相手チーム",,,,,"ファール",
="0:09:58:01",,"FK","山原怜音",,,,
="0:10:01:15",,,"森侑里","枠外シュート",,,
="0:10:32:31","相手チーム","GK",,,,,
="0:10:37:67",,,"知久航介",,"ブロック",,
="0:10:42:62","相手チーム","スローイン",,,,,
="0:10:51:25","ポゼッションスタート",,,,,,
="0:10:51:25","相手チーム",,,,,,
="0:10:54:80",,,"三浦雅人",,"ブロック",,
="0:10:55:53","ポゼッションエンド",,,,,,
="0:10:55:53","相手チーム",,,,,,
="0:11:01:16","相手チーム","スローイン",,,,,
="0:11:12:45",,,"知久航介",,"ブロック",,
="0:11:20:89","ポゼッションスタート",,,,,,
="0:11:20:89","筑波大学",,,,,,
="0:11:21:34",,,"知久航介",,"インターセプト",,
="0:11:29:23",,,"池谷祐輔","クロス",,,
="0:11:31:47","ポゼッションエンド",,,,,,
="0:11:31:47","筑波大学",,,,,,
="0:11:33:42","ポゼッションスタート",,,,,,
="0:11:33:42","相手チーム",,,,,,
="0:11:37:96","ポゼッションエンド",,,,,,
="0:11:37:96","相手チーム",,,,,,
="0:11:38:99",,,"森侑里",,"インターセプト",,
="0:11:39:71","ポゼッションスタート",,,,,,
="0:11:39:71","筑波大学",,,,,,
="0:12:19:15",,,"山原怜音","枠外シュート",,,
="0:12:22:14","ポゼッションエンド",,,,,,
="0:12:22:14","筑波大学",,,,,,
="0:12:58:06",,"CK","山原怜音",,,,
="0:13:11:65","ポゼッションスタート",,,,,,
="0:13:11:65","相手チーム",,,,,,
="0:13:28:80",,,"山原怜音",,"ブロック",,
="0:13:29:12","ポゼッションエンド",,,,,,
="0:13:29:12","相手チーム",,,,,,
="0:14:13:92","相手チーム","CK",,,,,
="0:14:45:80",,"GK","阿部航斗",,,,
="0:14:57:26",,"スローイン","角田涼太郎",,,,
="0:15:04:32","ポゼッションスタート",,,,,,
="0:15:04:32","筑波大学",,,,,,
="0:15:14:06","ポゼッションエンド",,,,,,
="0:15:14:06","筑波大学",,,,,,
="0:15:16:38",,"スローイン","三浦雅人",,,,
="0:15:19:83","ポゼッションスタート",,,,,,
="0:15:19:83","筑波大学",,,,,,
="0:15:27:57",,,"高嶺朋樹","ドリブル",,,
="0:15:33:03",,,"角田涼太郎","枠外シュート",,,
="0:15:33:85","ポゼッションエンド",,,,,,
="0:15:33:85","筑波大学",,,,,,
="0:16:10:42",,"スローイン","山原怜音",,,,
="0:16:19:82","筑波大学",,,,,"ファール",
="0:16:37:66","相手チーム","FK",,,,,
="0:16:44:35",,,"知久航介",,"ブロック",,
="0:16:54:43",,,"角田涼太郎",,,"ファール",
="0:17:10:26","相手チーム","FK",,,,,
="0:17:11:03","ポゼッションスタート",,,,,,
="0:17:11:03","相手チーム",,,,,,
="0:17:23:52","ポゼッションエンド",,,,,,
="0:17:23:52","相手チーム",,,,,,
="0:17:42:62",,"スローイン","三浦雅人",,,,
="0:17:49:68","相手チーム",,,,,"ファール",
="0:17:53:35","ポゼッションスタート",,,,,,
="0:17:53:35","筑波大学",,,,,,
="0:17:57:69",,"FK","森侑里",,,,
="0:18:36:21","ポゼッションエンド",,,,,,
="0:18:36:21","筑波大学",,,,,,
="0:18:40:45","ポゼッションスタート",,,,,,
="0:18:40:45","筑波大学",,,,,,
="0:18:42:23",,,"高嶺朋樹",,"シュートブロック",,
="0:18:48:24",,,"角田涼太郎","ドリブル",,,
="0:18:50:78","ポゼッションエンド",,,,,,
="0:18:50:78","筑波大学",,,,,,
="0:19:01:64","ポゼッションスタート",,,,,,
="0:19:01:64","筑波大学",,,,,,
="0:19:06:91",,,"三浦雅人","ドリブル",,,
="0:19:25:96",,,"三笘薫","ドリブル",,,
="0:19:44:16","ポゼッションエンド",,,,,,
="0:19:44:16","筑波大学",,,,,,
="0:19:51:54",,,"森侑里",,"ブロック",,
="0:20:00:05",,,"山川哲史",,"シュートブロック",,
="0:20:48:51","相手チーム","CK",,,,,
="0:20:53:20",,,"森海渡",,"ブロック",,
="0:21:48:07","相手チーム","FK",,,,,
="0:21:56:64",,,"山川哲史",,"インターセプト",,
="0:22:02:92","ポゼッションスタート",,,,,,
="0:22:02:92","相手チーム",,,,,,
="0:22:05:89",,,"知久航介",,"クリア",,
="0:22:06:87","ポゼッションエンド",,,,,,
="0:22:06:87","相手チーム",,,,,,
="0:22:11:74","相手チーム",,,,"被枠外シュート",,
="0:22:38:64",,"GK","阿部航斗",,,,
="0:22:55:30",,,"角田涼太郎",,"インターセプト",,
="0:22:56:07","ポゼッションスタート",,,,,,
="0:22:56:07","筑波大学",,,,,,
="0:23:05:36","ポゼッションエンド",,,,,,
="0:23:05:36","筑波大学",,,,,,
="0:23:11:14",,,"三浦雅人",,"クリア",,
="0:23:15:74","ポゼッションスタート",,,,,,
="0:23:15:74","筑波大学",,,,,,
="0:23:17:19",,,"山原怜音","ドリブル",,,
="0:23:39:15",,,"山原怜音","クロス",,,
="0:23:48:77",,,"三笘薫",,"カット",,
="0:23:55:61",,,"山川哲史",,"インターセプト",,
="0:24:29:18","ポゼッションエンド",,,,,,
="0:24:29:18","筑波大学",,,,,,
="0:24:31:47",,,"高嶺朋樹",,"インターセプト",,
="0:24:32:83","ポゼッションスタート",,,,,,
="0:24:32:83","筑波大学",,,,,,
="0:24:35:24",,,"山原怜音","クロス",,,
="0:24:42:19","ポゼッションエンド",,,,,,
="0:24:42:19","筑波大学",,,,,,
="0:26:27:00","相手チーム","GK",,,,,
="0:26:37:36",,,"山原怜音",,"ブロック",,
="0:26:44:93","相手チーム",,,,,"ファール",
="0:27:21:47",,"FK","高嶺朋樹",,,,
="0:27:47:83","交代",,"池谷祐輔",,,,
="0:27:47:83",,,"加藤匠人",,,,
="0:28:02:23","ポゼッションスタート",,,,,,
="0:28:02:23","筑波大学",,,,,,
="0:28:04:35",,"スローイン","角田涼太郎",,,,
="0:28:20:18",,,"高嶺朋樹","ドリブル",,,
