"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:19:01",,"キックオフ",,,,,
="0:00:19:81","ポゼッションスタート",,,,,,
="0:00:19:81","相手チーム",,,,,,
="0:00:33:70","ポゼッションエンド",,,,,,
="0:00:33:70","相手チーム",,,,,,
="0:00:34:33","相手チーム",,,,"被枠外シュート",,
="0:01:03:86",,"GK","阿部航斗",,,,
="0:01:11:33",,,"森侑里",,"クリア",,
="0:01:23:78",,,"井川空",,"ブロック",,
="0:01:27:28","ポゼッションスタート",,,,,,
="0:01:27:28","相手チーム",,,,,,
="0:01:33:52",,,"知久航介",,"クリア",,
="0:01:33:86","ポゼッションエンド",,,,,,
="0:01:33:86","相手チーム",,,,,,
="0:01:39:33","相手チーム","スローイン",,,,,
="0:01:56:44",,"スローイン","井川空",,,,
="0:02:11:29",,,"阿部航斗","パス",,,
="0:02:17:33",,,"山川哲史","パス",,,
="0:02:20:67",,,"三笘薫","ボールロスト",,,
="0:02:24:81","相手チーム","スローイン",,,,,
="0:02:28:14",,,"山川哲史",,"インターセプト",,
="0:02:28:44","ポゼッションスタート",,,,,,
="0:02:28:44","筑波大学",,,,,,
="0:02:33:08",,,"山川哲史","パス",,,
="0:02:34:32",,,"高嶺朋樹","パス",,,
="0:02:35:85",,,"阿部航斗",,"クリア",,
="0:02:36:32",,,"森侑里","パス",,,
="0:02:37:89","ポゼッションエンド",,,,,,
="0:02:37:89","筑波大学",,,,,,
="0:02:39:72","ポゼッションスタート",,,,,,
="0:02:39:72","相手チーム",,,,,,
="0:02:49:86",,,"山川哲史",,"クリア",,
="0:02:50:63","ポゼッションエンド",,,,,,
="0:02:50:63","相手チーム",,,,,,
="0:03:05:98","相手チーム","スローイン",,,,,
="0:03:11:59","ポゼッションスタート",,,,,,
="0:03:11:59","相手チーム",,,,,,
="0:03:26:47",,,"森侑里",,"クリア",,
="0:03:28:94","ポゼッションエンド",,,,,,
="0:03:28:94","相手チーム",,,,,,
="0:03:31:51",,,"山原怜音",,"クリア",,
="0:03:34:31","ポゼッションスタート",,,,,,
="0:03:34:31","相手チーム",,,,,,
="0:03:40:58","ポゼッションエンド",,,,,,
="0:03:40:58","相手チーム",,,,,,
="0:03:53:53",,"スローイン","井川空",,,,
="0:03:56:20","ポゼッションスタート",,,,,,
="0:03:56:20","筑波大学",,,,,,
="0:04:01:27",,,"高嶺朋樹","パス",,,
="0:04:04:14",,,"山川哲史","パス",,,
="0:04:04:31","ポゼッションエンド",,,,,,
="0:04:04:31","筑波大学",,,,,,
="0:04:06:31",,,"角田涼太郎","パス",,,
="0:04:08:64",,,"森海渡","ボールロスト",,,
="0:04:09:74",,,"角田涼太郎",,"インターセプト",,
="0:04:16:65","ポゼッションスタート",,,,,,
="0:04:16:65","相手チーム",,,,,,
="0:04:23:59",,,"高嶺朋樹","ボールロスト",,,
="0:04:30:23",,,"山川哲史",,"シュートブロック",,
="0:04:33:07","ポゼッションエンド",,,,,,
="0:04:33:07","相手チーム",,,,,,
="0:04:47:75",,"スローイン","井川空",,,,
="0:04:53:05","ポゼッションスタート",,,,,,
="0:04:53:05","相手チーム",,,,,,
="0:04:56:12",,,"高嶺朋樹",,"カット",,
="0:04:56:93","ポゼッションエンド",,,,,,
="0:04:56:93","相手チーム",,,,,,
="0:05:02:83",,,"角田涼太郎",,"カット",,
="0:05:03:30",,,"知久航介","パス",,,
="0:05:04:80",,,"高嶺朋樹","パス",,,
="0:05:07:87",,,"阿部航斗",,,,"キャッチ"
="0:05:51:75","相手チーム","GK",,,,,
="0:05:55:45",,,"山川哲史",,"ブロック",,
="0:05:58:92","ポゼッションスタート",,,,,,
="0:05:58:92","筑波大学",,,,,,
="0:06:00:22",,,"角田涼太郎",,"インターセプト",,
="0:06:01:29",,,"角田涼太郎","ドリブル",,,
="0:06:07:90",,,"山川哲史","パス",,,
