"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:01:02:99",,"キックオフ",,,,,
="0:01:03:59","ポゼッションスタート",,,,,,
="0:01:03:59","筑波大学",,,,,,
="0:01:07:36",,,"高嶺朋樹","パス",,,
="0:01:11:53","ポゼッションエンド",,,,,,
="0:01:11:53","筑波大学",,,,,,
="0:01:13:23",,,"角田涼太郎","パス",,,
="0:01:17:94",,,"三笘薫","ボールロスト",,,
="0:01:20:24",,"スローイン","角田涼太郎",,,,
="0:01:27:48","ポゼッションスタート",,,,,,
="0:01:27:48","相手チーム",,,,,,
="0:01:39:19",,,"井川空",,"ブロック",,
="0:01:39:63","ポゼッションエンド",,,,,,
="0:01:39:63","相手チーム",,,,,,
="0:01:42:46","ポゼッションスタート",,,,,,
="0:01:42:46","筑波大学",,,,,,
="0:01:47:20",,,"三笘薫","ドリブル",,,
="0:01:51:34",,,"森海渡","パス",,,
="0:01:51:41","ポゼッションエンド",,,,,,
="0:01:51:41","筑波大学",,,,,,
="0:01:55:34","ポゼッションスタート",,,,,,
="0:01:55:34","相手チーム",,,,,,
="0:02:06:32",,,"森侑里",,"ブロック",,
="0:02:08:66","ポゼッションエンド",,,,,,
="0:02:08:66","相手チーム",,,,,,
="0:02:09:72",,,"山川哲史",,,"ファール",
="0:02:45:03","相手チーム","FK",,,,,
="0:02:50:77","相手チーム",,,,"被枠外シュート",,
="0:02:55:70","ポゼッションスタート",,,,,,
="0:02:55:70","筑波大学",,,,,,
="0:02:58:41",,"GK","阿部航斗",,,,
="0:03:02:04",,,"阿部航斗","パス",,,
="0:03:04:48",,,"山川哲史","パス",,,
="0:03:07:45",,,"阿部航斗","パス",,,
="0:03:11:92",,,"森侑里","パス",,,
="0:03:12:99",,,"森侑里",,"クリア",,
="0:03:14:29",,,"井川空","パス",,,
="0:03:18:49","ポゼッションエンド",,,,,,
="0:03:18:49","筑波大学",,,,,,
="0:03:27:24","ポゼッションスタート",,,,,,
="0:03:27:24","筑波大学",,,,,,
="0:03:30:64",,"スローイン","井川空",,,,
="0:03:33:54",,,"高嶺朋樹","パス",,,
="0:03:34:74",,,"井川空","パス",,,
="0:03:36:21",,,"高嶺朋樹","パス",,,
="0:03:38:71",,,"知久航介","パス",,,
