"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:43:51","相手チーム","キックオフ",,,,,
="0:00:50:21",,,"知久航介",,"ブロック",,
="0:00:53:98","ポゼッションスタート",,,,,,
="0:00:53:98","筑波大学",,,,,,
="0:00:58:65",,,"高嶺朋樹","パス",,,
="0:00:59:25",,,"加藤匠人","パス",,,
="0:00:59:85",,,"森侑里",,"クリア",,
="0:01:00:06","ポゼッションエンド",,,,,,
="0:01:00:06","筑波大学",,,,,,
="0:01:00:09",,,"高嶺朋樹",,,,
="0:01:17:77",,,"森侑里",,"ブロック",,
="0:01:27:88",,,"加藤匠人",,"インターセプト",,
="0:01:32:22",,,"三笘薫","ドリブル",,,
="0:01:40:26",,"スローイン","三笘薫",,,,
="0:01:43:00","ポゼッションスタート",,,,,,
="0:01:43:00","筑波大学",,,,,,
="0:01:44:10",,,"三笘薫","ドリブル",,,
="0:01:47:94",,,"三浦雅人","パス",,,
="0:01:51:97",,,"三笘薫","パス",,,
="0:01:53:41",,,"山原怜音","枠外シュート",,,
="0:01:53:78","ポゼッションエンド",,,,,,
="0:01:53:78","筑波大学",,,,,,
="0:02:08:29","相手チーム","スローイン",,,,,
="0:02:14:56",,,"加藤匠人",,"ブロック",,
="0:03:15:49","相手チーム","FK",,,,,
="0:03:18:13","相手チーム",,,,"被枠内シュート",,
="0:03:24:07","ポゼッションスタート",,,,,,
="0:03:24:07","筑波大学",,,,,,
="0:03:27:27",,,"高嶺朋樹","ドリブル",,,
="0:03:35:88",,,"三笘薫","ドリブル",,,
="0:03:37:71",,,"三笘薫","パス",,,
="0:03:38:61",,,"三浦雅人","パス",,,
="0:03:41:05",,,"加藤匠人","パス",,,
="0:03:47:62",,,"大川圭為","パス",,,
="0:03:50:09",,,"三笘薫","パス",,,
="0:03:50:39",,,"三浦雅人","パス",,,
="0:03:50:63","ポゼッションエンド",,,,,,
="0:03:50:63","筑波大学",,,,,,
="0:03:52:09",,,"渡邊陽","パス",,,
="0:03:53:43","ポゼッションスタート",,,,,,
="0:03:53:43","相手チーム",,,,,,
="0:04:05:41","ポゼッションエンド",,,,,,
="0:04:05:41","相手チーム",,,,,,
="0:04:06:74",,,"渡邊陽",,"インターセプト",,
="0:04:14:25",,,"角田涼太郎",,"ブロック",,
="0:04:14:82","ポゼッションスタート",,,,,,
="0:04:14:82","相手チーム",,,,,,
="0:04:32:23",,,"角田涼太郎",,"ブロック",,
="0:04:34:40","ポゼッションエンド",,,,,,
="0:04:34:40","相手チーム",,,,,,
="0:04:37:24","相手チーム",,,,"被枠外シュート",,
="0:04:54:26",,"GK","大川圭為",,,,
="0:05:10:34",,"スローイン","三浦雅人",,,,
="0:05:14:48",,,"三笘薫","ドリブル",,,
="0:05:17:41","相手チーム",,,,,"ファール",
="0:05:24:39",,"FK","角田涼太郎",,,,
="0:05:26:62","ポゼッションスタート",,,,,,
="0:05:26:62","筑波大学",,,,,,
="0:05:31:46",,,"角田涼太郎","パス",,,
="0:05:33:29",,,"渡邊陽","パス",,,
="0:05:34:16",,,"加藤匠人","ドリブル",,,
="0:05:34:90",,,"角田涼太郎","パス",,,
="0:05:39:87","ポゼッションエンド",,,,,,
="0:05:39:87","筑波大学",,,,,,
="0:05:39:90",,,"加藤匠人","パス",,,
="0:05:42:90",,,"山原怜音","パス",,,
="0:06:01:36",,,"角田涼太郎",,"カット",,
="0:06:13:03",,"スローイン","知久航介",,,,
="0:06:22:94",,,"角田涼太郎",,"シュートブロック",,
="0:06:27:72",,,"森侑里",,"クリア",,
="0:06:32:62","ポゼッションスタート",,,,,,
="0:06:32:62","相手チーム",,,,,,
="0:06:42:60","ポゼッションエンド",,,,,,
="0:06:42:60","相手チーム",,,,,,
="0:06:48:50",,"スローイン","知久航介",,,,
="0:06:51:94",,,"知久航介",,"クリア",,
="0:06:58:15","相手チーム","スローイン",,,,,
="0:07:03:42",,,"森侑里",,"ブロック",,
="0:07:11:49",,,"森海渡",,,"オフサイド",
="0:07:38:72","相手チーム","FK",,,,,
="0:07:54:44",,,"大川圭為",,,,"キャッチ"
="0:07:54:67","ポゼッションスタート",,,,,,
="0:07:54:67","筑波大学",,,,,,
="0:07:59:54",,,"大川圭為","パス",,,
="0:08:03:11",,,"森侑里","パス",,,
="0:08:04:95",,,"山原怜音","パス",,,
="0:08:05:88",,,"高嶺朋樹","パス",,,
="0:08:08:32",,,"森侑里","パス",,,
="0:08:08:88",,,"加藤匠人","パス",,,
="0:08:11:29",,,"大川圭為","パス",,,
="0:08:13:62",,,"角田涼太郎","パス",,,
="0:08:14:09",,,"渡邊陽","ドリブル",,,
="0:08:15:72","ポゼッションエンド",,,,,,
="0:08:15:72","筑波大学",,,,,,
="0:08:16:32",,,"三浦雅人","パス",,,
="0:08:25:40",,,"知久航介",,"ブロック",,
="0:08:35:94",,"スローイン","山原怜音",,,,
="0:08:43:55","相手チーム","スローイン",,,,,
="0:08:47:06","ポゼッションスタート",,,,,,
="0:08:47:06","相手チーム",,,,,,
="0:09:19:15",,,"山原怜音",,"ブロック",,
="0:09:31:53",,,"三笘薫",,"ブロック",,
="0:09:35:00","相手チーム",,,,,"ファール",
="0:09:35:27","ポゼッションエンド",,,,,,
="0:09:35:27","相手チーム",,,,,,
="0:10:11:97","相手チーム","FK",,,,,
="0:10:33:26","相手チーム",,,,,"オフサイド",
="0:10:48:24","ポゼッションスタート",,,,,,
="0:10:48:24","筑波大学",,,,,,
="0:10:49:31",,"FK","角田涼太郎",,,,
="0:10:55:02",,,"角田涼太郎","ドリブル",,,
="0:10:55:12","ポゼッションエンド",,,,,,
="0:10:55:12","筑波大学",,,,,,
