"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:33:60",,"キックオフ",,,,,
="0:00:42:47","ポゼッションスタート",,,,,,
="0:00:42:47","筑波大学",,,,,,
="0:00:45:57",,,"加藤匠人","パス",,,
="0:00:48:18",,,"森侑里","パス",,,
="0:00:52:05","ポゼッションエンド",,,,,,
="0:00:52:05","筑波大学",,,,,,
="0:00:52:85","相手チーム","スローイン",,,,,
="0:00:55:18",,,"高嶺朋樹","ボールロスト",,,
="0:01:06:70","ポゼッションスタート",,,,,,
="0:01:06:70","相手チーム",,,,,,
="0:01:19:94",,,"加藤匠人",,"クリア",,
="0:01:24:95","ポゼッションエンド",,,,,,
="0:01:24:95","相手チーム",,,,,,
="0:01:32:65","ポゼッションスタート",,,,,,
="0:01:32:65","相手チーム",,,,,,
="0:01:39:03",,,"角田涼太郎",,"クリア",,
="0:01:44:47","ポゼッションエンド",,,,,,
="0:01:44:47","相手チーム",,,,,,
="0:01:49:77","ポゼッションスタート",,,,,,
="0:01:49:77","相手チーム",,,,,,
="0:02:00:65",,,"加藤匠人",,"クリア",,
="0:02:08:39","ポゼッションエンド",,,,,,
="0:02:08:39","相手チーム",,,,,,
="0:03:14:59","相手チーム","スローイン",,,,,
="0:03:16:56","ポゼッションスタート",,,,,,
="0:03:16:56","相手チーム",,,,,,
="0:03:22:80",,,"角田涼太郎",,"ブロック",,
="0:03:27:84","ポゼッションエンド",,,,,,
="0:03:27:84","相手チーム",,,,,,
="0:03:27:90","相手チーム",,,,,"ファール",
="0:03:29:77","ポゼッションスタート",,,,,,
="0:03:29:77","筑波大学",,,,,,
="0:03:32:51","ポゼッションエンド",,,,,,
="0:03:32:51","筑波大学",,,,,,
="0:03:33:68",,"FK","角田涼太郎",,,,
="0:03:42:52","ポゼッションスタート",,,,,,
="0:03:42:52","筑波大学",,,,,,
="0:03:45:05",,,"森侑里","パス",,,
="0:03:47:66",,,"山原怜音","パス",,,
="0:03:49:49",,,"高嶺朋樹","パス",,,
="0:03:52:09",,,"知久航介","パス",,,
="0:03:53:40",,,"加藤匠人","パス",,,
="0:03:54:20",,,"森海渡","ドリブル",,,
="0:03:57:93",,,"森海渡","パス",,,
="0:03:58:87",,,"高嶺朋樹","パス",,,
="0:04:00:50","得点",,"森海渡","枠内シュート",,,
="0:04:02:10","ポゼッションエンド",,,,,,
="0:04:02:10","筑波大学",,,,,,
="0:04:41:64",,"キックオフ",,,,,
="0:04:42:01","ポゼッションスタート",,,,,,
="0:04:42:01","相手チーム",,,,,,
="0:04:54:69","ポゼッションエンド",,,,,,
="0:04:54:69","相手チーム",,,,,,
="0:04:58:19",,"GK","大川圭為",,,,
="0:05:26:55",,,"角田涼太郎",,"クリア",,
="0:05:31:09","ポゼッションスタート",,,,,,
="0:05:31:09","筑波大学",,,,,,
="0:05:37:43",,,"三笘薫","ドリブル",,,
="0:05:39:90",,,"三笘薫",,,"ファール",
="0:05:42:77","ポゼッションエンド",,,,,,
="0:05:42:77","筑波大学",,,,,,
="0:05:44:37","相手チーム","FK",,,,,
="0:05:47:88","ポゼッションスタート",,,,,,
="0:05:47:88","相手チーム",,,,,,
="0:05:55:28",,,"角田涼太郎",,"カット",,
="0:06:01:32","ポゼッションエンド",,,,,,
="0:06:01:32","相手チーム",,,,,,
="0:06:01:92","ポゼッションスタート",,,,,,
="0:06:01:92","筑波大学",,,,,,
="0:06:02:16",,,"角田涼太郎","パス",,,
="0:06:04:39","相手チーム",,,,,"ファール",
="0:06:07:10","ポゼッションエンド",,,,,,
="0:06:07:10","筑波大学",,,,,,
="0:06:29:42",,"FK","森侑里",,,,
="0:06:35:56","ポゼッションスタート",,,,,,
="0:06:35:56","筑波大学",,,,,,
="0:06:39:86",,,"大川圭為","パス",,,
="0:06:43:40",,,"三笘薫","ドリブル",,,
="0:06:48:24",,,"三笘薫","パス",,,
="0:06:49:20",,,"加藤匠人","パス",,,
="0:06:49:90",,,"渡邊陽","ドリブル",,,
="0:06:54:88",,,"渡邊陽","パス",,,
="0:06:55:78",,,"高嶺朋樹","枠内シュート",,,
="0:06:59:45","ポゼッションエンド",,,,,,
="0:06:59:45","筑波大学",,,,,,
="0:07:00:48",,,"角田涼太郎",,"インターセプト",,
="0:07:04:49",,,"角田涼太郎","パス",,,
="0:07:07:22","ポゼッションスタート",,,,,,
="0:07:07:22","筑波大学",,,,,,
="0:07:08:32",,,"三浦雅人","パス",,,
="0:07:11:33",,,"三笘薫","パス",,,
="0:07:14:63",,,"加藤匠人","パス",,,
="0:07:17:20",,,"森侑里","パス",,,
="0:07:21:07",,,"山原怜音","パス",,,
="0:07:23:14",,,"高嶺朋樹","パス",,,
="0:07:26:68",,,"三笘薫","パス",,,
="0:07:27:48",,,"渡邊陽","ドリブル",,,
="0:07:29:94",,,"渡邊陽","パス",,,
="0:07:31:05",,,"加藤匠人","パス",,,
="0:07:32:11",,,"三浦雅人","ボールロスト",,,
="0:07:33:68",,,"三笘薫",,"インターセプト",,
="0:07:34:25","ポゼッションエンド",,,,,,
="0:07:34:25","筑波大学",,,,,,
="0:07:35:55",,,"三笘薫","パス",,,
="0:07:36:25","ポゼッションスタート",,,,,,
="0:07:36:25","筑波大学",,,,,,
="0:07:37:55",,,"三浦雅人","パス",,,
="0:07:40:06",,,"知久航介","パス",,,
="0:07:43:53",,,"角田涼太郎","パス",,,
="0:07:46:43",,,"知久航介","パス",,,
="0:07:49:56",,,"山原怜音","ドリブル",,,
="0:07:55:60",,,"山原怜音","パス",,,
="0:07:57:07",,,"高嶺朋樹","パス",,,
="0:07:59:27",,,"山原怜音","ドリブル",,,
="0:08:00:21","得点",,"山原怜音","枠内シュート",,,
="0:08:01:51","ポゼッションエンド",,,,,,
="0:08:01:51","筑波大学",,,,,,
="0:09:00:70",,"キックオフ",,,,,
="0:09:00:97","ポゼッションスタート",,,,,,
="0:09:00:97","相手チーム",,,,,,
="0:09:04:87",,,"知久航介",,"インターセプト",,
="0:09:08:81","ポゼッションエンド",,,,,,
="0:09:08:81","相手チーム",,,,,,
="0:09:09:28","ポゼッションスタート",,,,,,
="0:09:09:28","筑波大学",,,,,,
="0:09:11:15",,,"知久航介","パス",,,
="0:09:12:95",,,"角田涼太郎","パス",,,
="0:09:15:48",,,"森侑里","パス",,,
="0:09:17:22",,,"山原怜音","パス",,,
="0:09:19:89",,,"高嶺朋樹","パス",,,
="0:09:22:22",,,"角田涼太郎","パス",,,
="0:09:23:46",,,"加藤匠人","パス",,,
="0:09:26:23",,,"渡邊陽","パス",,,
="0:09:26:66",,,"三笘薫","パス",,,
="0:09:27:10",,,"森海渡","ボールロスト",,,
="0:09:28:53","ポゼッションエンド",,,,,,
="0:09:28:53","筑波大学",,,,,,
="0:09:30:10","ポゼッションスタート",,,,,,
="0:09:30:10","相手チーム",,,,,,
="0:09:40:18",,,"角田涼太郎",,"インターセプト",,
="0:09:42:44",,,"角田涼太郎","パス",,,
="0:09:42:64","ポゼッションエンド",,,,,,
="0:09:42:64","相手チーム",,,,,,
="0:09:43:45",,,"知久航介","パス",,,
="0:09:43:58",,,"角田涼太郎","ボールロスト",,,
="0:09:44:01","ポゼッションスタート",,,,,,
="0:09:44:01","筑波大学",,,,,,
="0:09:46:31",,,"三笘薫",,"インターセプト",,
="0:09:46:72",,,"三笘薫","パス",,,
="0:09:48:18",,,"加藤匠人","パス",,,
="0:09:48:95",,,"大川圭為",,"クリア",,
="0:09:57:26","ポゼッションエンド",,,,,,
="0:09:57:26","筑波大学",,,,,,
="0:09:58:76","ポゼッションスタート",,,,,,
="0:09:58:76","相手チーム",,,,,,
="0:10:35:73","相手チーム",,,,"被枠内シュート",,
="0:10:36:16",,,"加藤匠人",,"シュートブロック",,
="0:11:02:36","ポゼッションエンド",,,,,,
="0:11:02:36","相手チーム",,,,,,
="0:11:38:16","相手チーム","スローイン",,,,,
="0:11:45:03",,,"森侑里",,"ブロック",,
="0:11:45:83",,,"渡邊陽",,,"ファール",
="0:12:09:42","相手チーム","FK",,,,,
="0:12:14:90",,,"山原怜音",,"ブロック",,
="0:12:16:26",,,"加藤匠人",,"クリア",,
="0:12:24:84","相手チーム","スローイン",,,,,
="0:12:28:88","ポゼッションスタート",,,,,,
="0:12:28:88","相手チーム",,,,,,
="0:12:32:71",,,"山原怜音",,"クリア",,
