"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:33:60",,"キックオフ",,,,,
="0:00:52:85","相手チーム","スローイン",,,,,
="0:01:19:94",,,"加藤匠人",,"クリア",,
="0:01:39:03",,,"角田涼太郎",,"クリア",,
="0:01:41:56","相手チーム","スローイン",,,,,
="0:02:00:65",,,"加藤匠人",,"クリア",,
="0:03:22:80",,,"角田涼太郎",,"ブロック",,
="0:03:27:90","相手チーム",,,,,"ファール",
="0:03:33:68",,"FK","角田涼太郎",,,,
="0:03:52:46",,,"森海渡","ドリブル",,,
="0:03:56:16","得点",,"森海渡","枠内シュート",,,
="0:04:58:19",,"GK","大川圭為",,,,
="0:05:26:55",,,"角田涼太郎",,"クリア",,
="0:05:37:43",,,"三笘薫","ドリブル",,,
="0:05:39:90",,,"三笘薫",,,"ファール",
="0:05:44:37","相手チーム","FK",,,,,
="0:05:55:28",,,"角田涼太郎",,"カット",,
="0:06:01:49","相手チーム",,,,,"ファール",
="0:06:29:42",,"FK","森侑里",,,,
="0:06:35:36",,,"大川圭為",,"クリア",,
="0:06:43:40",,,"三笘薫","ドリブル",,,
="0:06:45:57",,,"角田涼太郎",,"インターセプト",,
="0:06:49:90",,,"渡邊陽","ドリブル",,,
="0:06:55:78",,,"高嶺朋樹","枠内シュート",,,
="0:07:27:48",,,"渡邊陽","ドリブル",,,
="0:07:30:31",,,"三笘薫",,"インターセプト",,
="0:07:39:39","得点",,"山原怜音","枠内シュート",,,
="0:07:49:56",,,"山原怜音","ドリブル",,,
="0:07:56:50",,,"山原怜音","ドリブル",,,
="0:07:59:04","得点",,"山原怜音","枠内シュート",,,
="0:09:04:87",,,"知久航介",,"インターセプト",,
="0:09:21:46",,,"角田涼太郎",,"インターセプト",,
="0:09:40:18",,,"角田涼太郎",,"インターセプト",,
="0:09:48:95",,,"大川圭為",,"クリア",,
="0:10:35:73","相手チーム",,,,"被枠内シュート",,
="0:10:36:16",,,"加藤匠人",,"シュートブロック",,
="0:11:22:61","相手チーム","スローイン",,,,,
="0:11:38:16","相手チーム","スローイン",,,,,
="0:11:45:83",,,"渡邊陽",,,"ファール",
="0:12:09:42","相手チーム","FK",,,,,
="0:12:13:90",,,"山原怜音",,"クリア",,
="0:12:14:90",,,"山原怜音",,"ブロック",,
="0:12:16:26",,,"加藤匠人",,"クリア",,
="0:12:21:87",,,"加藤匠人",,"カット",,
="0:12:24:84","相手チーム","スローイン",,,,,
="0:12:32:71",,,"山原怜音",,"クリア",,
="0:12:47:43",,,"大川圭為",,"クリア",,
="0:12:49:36",,,"知久航介",,,"ファール",
="0:12:54:67",,,"三浦雅人",,"インターセプト",,
="0:12:59:57",,,"三浦雅人",,"カット",,
="0:13:02:08",,,"大川圭為",,"クリア",,
="0:13:08:52",,,"渡邊陽",,,"ファール",
="0:13:21:66","相手チーム","FK",,,,,
="0:13:44:65",,,"三笘薫",,"ブロック",,
="0:13:54:90",,,"角田涼太郎",,"インターセプト",,
="0:13:57:87",,,"角田涼太郎","ドリブル",,,
="0:13:59:30","相手チーム",,,,,"ファール",
="0:14:12:01",,"FK","森侑里",,,,
="0:14:33:87",,,"森海渡","ドリブル",,,
="0:14:40:01",,,"高嶺朋樹","ドリブル",,,
="0:14:42:54",,,"高嶺朋樹","クロス",,,
="0:14:43:78","得点",,"森海渡","枠内シュート",,,
="0:15:27:56",,,"高嶺朋樹","ドリブル",,,
="0:15:33:09",,,"角田涼太郎",,"クリア",,
="0:15:56:32",,,"大川圭為",,"クリア",,
="0:16:03:69",,,"知久航介",,"カット",,
="0:16:24:61",,,"高嶺朋樹","ドリブル",,,
="0:16:42:80",,,"高嶺朋樹","ドリブル",,,
="0:16:57:75",,,"三浦雅人",,"カット",,
="0:16:59:25",,,"角田涼太郎",,"クリア",,
="0:17:05:69",,,"加藤匠人",,"カット",,
="0:17:07:82",,,"知久航介",,"ブロック",,
="0:17:24:67",,,"加藤匠人",,"カット",,
="0:18:12:89","相手チーム","スローイン",,,,,
="0:18:58:50","交代",,"三笘薫",,,,
="0:18:58:50",,,"山川哲史",,,,
="0:19:32:83",,"スローイン","山原怜音",,,,
="0:19:40:01","相手チーム","スローイン",,,,,
="0:19:47:22",,,"山川哲史",,"カット",,
="0:20:22:35",,,"山原怜音",,"カット",,
="0:21:00:16",,,"山原怜音",,"インターセプト",,
="0:21:05:76",,,"高嶺朋樹","ドリブル",,,
="0:21:24:61",,,"高嶺朋樹","ドリブル",,,
="0:21:41:10",,,"高嶺朋樹","ドリブル",,,
="0:21:53:98",,,"三浦雅人","ドリブル",,,
="0:21:54:91",,,"三浦雅人","クロス",,,
="0:21:56:81","得点",,,,,,
="0:23:21:86",,,"大川圭為",,,,"キャッチ"
="0:23:41:22",,,"知久航介","ドリブル",,,
="0:24:03:34",,,"角田涼太郎","ドリブル",,,
="0:24:11:75",,,"高嶺朋樹",,,"オフサイド",
="0:24:49:35","相手チーム","FK",,,,,
="0:24:59:26",,,"大川圭為",,,,"キャッチ"
="0:25:19:55",,,"山川哲史",,,"ファール",
="0:25:28:96","相手チーム","FK",,,,,
="0:25:51:55",,,"山川哲史",,"クリア",,
="0:25:56:69","相手チーム","スローイン",,,,,
="0:26:02:82",,,"加藤匠人",,"クリア",,
="0:26:27:15","相手チーム",,,,"被枠外シュート",,
="0:26:54:41",,"GK","大川圭為",,,,
="0:27:12:09","相手チーム",,,,"被枠内シュート",,
="0:27:12:73",,,"大川圭為",,,,"セービング"
="0:27:17:70",,"スローイン","角田涼太郎",,,,
="0:27:24:37",,,"知久航介",,"カット",,
="0:27:36:92","相手チーム",,"山川哲史",,"シュートブロック",,
="0:27:36:92",,,,,"被枠内シュート",,
="0:28:00:54",,,"森侑里",,"クリア",,
="0:28:17:33",,,"森侑里",,"ブロック",,
="0:28:55:10",,,"高嶺朋樹",,"カット",,
="0:29:20:29","相手チーム","CK",,,,,
