"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:07:54","ポゼッションスタート",,,,,,
="0:00:07:54","相手チーム",,,,,,
="0:00:10:14",,"キックオフ",,,,,
="0:00:15:71","ポゼッションエンド",,,,,,
="0:00:15:71","相手チーム",,,,,,
="0:00:22:25",,"スローイン","山原怜音",,,,
="0:00:31:26",,,"山川哲史",,"クリア",,
="0:00:44:77",,,"角田涼太郎",,"クリア",,
="0:00:46:47","ポゼッションスタート",,,,,,
="0:00:46:47","筑波大学",,,,,,
="0:00:50:75","ポゼッションエンド",,,,,,
="0:00:50:75","筑波大学",,,,,,
="0:01:06:73","相手チーム","スローイン",,,,,
="0:01:11:93",,,"知久航介",,"インターセプト",,
="0:01:20:08",,,"角田涼太郎",,"カット",,
="0:01:27:08","ポゼッションスタート",,,,,,
="0:01:27:08","筑波大学",,,,,,
="0:01:42:83","ポゼッションエンド",,,,,,
="0:01:42:83","筑波大学",,,,,,
="0:01:48:34",,"スローイン","三浦雅人",,,,
="0:01:52:77",,,"三笘薫","ドリブル",,,
="0:01:56:68","ポゼッションスタート",,,,,,
="0:01:56:68","筑波大学",,,,,,
="0:02:01:22","ポゼッションエンド",,,,,,
="0:02:01:22","筑波大学",,,,,,
="0:02:16:20","相手チーム","スローイン",,,,,
="0:02:31:85",,"スローイン","山原怜音",,,,
="0:02:44:33","ポゼッションスタート",,,,,,
="0:02:44:33","相手チーム",,,,,,
="0:02:47:93",,,"山原怜音",,"カット",,
="0:02:48:80","ポゼッションエンド",,,,,,
="0:02:48:80","相手チーム",,,,,,
="0:03:00:28",,"スローイン","山原怜音",,,,
="0:03:01:88","ポゼッションスタート",,,,,,
="0:03:01:88","筑波大学",,,,,,
="0:03:10:99",,,"三浦雅人","ドリブル",,,
="0:03:14:89",,,"三笘薫","ドリブル",,,
="0:03:16:76","ポゼッションエンド",,,,,,
="0:03:16:76","筑波大学",,,,,,
="0:03:22:56","ポゼッションスタート",,,,,,
="0:03:22:56","相手チーム",,,,,,
="0:03:46:99","ポゼッションエンド",,,,,,
="0:03:46:99","相手チーム",,,,,,
="0:03:58:37",,"スローイン","山原怜音",,,,
="0:04:03:41","ポゼッションスタート",,,,,,
="0:04:03:41","筑波大学",,,,,,
="0:04:04:64",,,"高嶺朋樹","ドリブル",,,
="0:04:11:35",,,"角田涼太郎","ドリブル",,,
="0:04:21:82",,,"岩本翔","クロス",,,
="0:04:30:43",,,"山原怜音","クロス",,,
="0:04:33:03","ポゼッションエンド",,,,,,
="0:04:33:03","筑波大学",,,,,,
="0:04:37:64",,,"山川哲史",,"カット",,
="0:04:42:18","ポゼッションスタート",,,,,,
="0:04:42:18","相手チーム",,,,,,
="0:04:56:52","ポゼッションエンド",,,,,,
="0:04:56:52","相手チーム",,,,,,
="0:04:57:96",,,"高嶺朋樹",,"インターセプト",,
="0:05:03:06",,,"大川圭為",,"クリア",,
="0:05:09:20",,,"角田涼太郎",,"ブロック",,
="0:05:10:04","ポゼッションスタート",,,,,,
="0:05:10:04","筑波大学",,,,,,
="0:05:29:19",,,"角田涼太郎",,"インターセプト",,
="0:05:36:87",,,"山原怜音","ドリブル",,,
="0:05:40:20",,,"山原怜音","クロス",,,
="0:05:46:78","ポゼッションエンド",,,,,,
="0:05:46:78","筑波大学",,,,,,
="0:05:54:62","ポゼッションスタート",,,,,,
="0:05:54:62","筑波大学",,,,,,
="0:06:06:13",,,"山原怜音","ドリブル",,,
="0:06:12:30","ポゼッションエンド",,,,,,
="0:06:12:30","筑波大学",,,,,,
="0:06:35:66","相手チーム","GK",,,,,
="0:06:41:86",,,"角田涼太郎",,"カット",,
="0:06:42:90","ポゼッションスタート",,,,,,
="0:06:42:90","相手チーム",,,,,,
="0:06:56:95",,,"知久航介",,"ブロック",,
="0:06:57:55","ポゼッションエンド",,,,,,
="0:06:57:55","相手チーム",,,,,,
="0:07:00:52","ポゼッションスタート",,,,,,
="0:07:00:52","筑波大学",,,,,,
="0:07:05:42",,,"大川圭為",,"クリア",,
="0:07:09:99","ポゼッションエンド",,,,,,
="0:07:09:99","筑波大学",,,,,,
="0:07:10:46",,,"知久航介",,"ブロック",,
="0:07:15:53","ポゼッションスタート",,,,,,
="0:07:15:53","相手チーム",,,,,,
="0:07:37:79",,,"三笘薫",,"カット",,
="0:07:38:02","ポゼッションエンド",,,,,,
="0:07:38:02","相手チーム",,,,,,
="0:07:41:19","ポゼッションスタート",,,,,,
="0:07:41:19","筑波大学",,,,,,
="0:08:06:82","ポゼッションエンド",,,,,,
="0:08:06:82","筑波大学",,,,,,
="0:08:10:29","ポゼッションスタート",,,,,,
="0:08:10:29","相手チーム",,,,,,
="0:08:23:97","ポゼッションエンド",,,,,,
="0:08:23:97","相手チーム",,,,,,
="0:08:54:60",,"GK","大川圭為",,,,
="0:09:13:01",,"スローイン","三浦雅人",,,,
="0:09:16:85",,,"犬飼翔洋","ドリブル",,,
="0:09:18:09","ポゼッションスタート",,,,,,
="0:09:18:09","筑波大学",,,,,,
="0:09:33:94","ポゼッションエンド",,,,,,
="0:09:33:94","筑波大学",,,,,,
="0:09:36:60",,,"渡邊陽","ドリブル",,,
="0:09:37:67","ポゼッションスタート",,,,,,
="0:09:37:67","相手チーム",,,,,,
="0:09:46:98","ポゼッションエンド",,,,,,
="0:09:46:98","相手チーム",,,,,,
="0:09:50:45","相手チーム",,,,"被枠外シュート",,
="0:10:13:94",,"GK","大川圭為",,,,
="0:10:31:29","相手チーム","スローイン",,,,,
="0:10:59:69","ポゼッションスタート",,,,,,
="0:10:59:69","筑波大学",,,,,,
="0:10:59:99",,"スローイン","三浦雅人",,,,
="0:11:04:36","ポゼッションエンド",,,,,,
="0:11:04:36","筑波大学",,,,,,
="0:11:06:90","ポゼッションスタート",,,,,,
="0:11:06:90","相手チーム",,,,,,
="0:11:11:17","ポゼッションエンド",,,,,,
="0:11:11:17","相手チーム",,,,,,
="0:11:13:07",,,"高嶺朋樹",,"カット",,
="0:11:14:44","ポゼッションスタート",,,,,,
="0:11:14:44","筑波大学",,,,,,
="0:11:18:87",,,"三笘薫","ドリブル",,,
="0:11:26:65",,,"三笘薫","枠内シュート",,,
="0:11:28:45","ポゼッションエンド",,,,,,
="0:11:28:45","筑波大学",,,,,,
="0:11:32:45",,,"高嶺朋樹","枠内シュート",,,
="0:11:41:43","ポゼッションスタート",,,,,,
="0:11:41:43","相手チーム",,,,,,
="0:11:57:65","ポゼッションエンド",,,,,,
="0:11:57:65","相手チーム",,,,,,
="0:11:57:81",,,"山原怜音",,"インターセプト",,
="0:12:00:38","ポゼッションスタート",,,,,,
="0:12:00:38","筑波大学",,,,,,
="0:12:04:29","ポゼッションエンド",,,,,,
="0:12:04:29","筑波大学",,,,,,
="0:12:15:36",,"スローイン","高嶺朋樹",,,,
="0:12:16:20","ポゼッションスタート",,,,,,
="0:12:16:20","筑波大学",,,,,,
="0:12:36:48","ポゼッションエンド",,,,,,
="0:12:36:48","筑波大学",,,,,,
="0:12:55:84","ポゼッションスタート",,,,,,
="0:12:55:84","相手チーム",,,,,,
="0:12:56:14","相手チーム","GK",,,,,
="0:13:12:42","ポゼッションエンド",,,,,,
="0:13:12:42","相手チーム",,,,,,
="0:13:14:66",,,"高嶺朋樹",,"インターセプト",,
="0:13:15:89","ポゼッションスタート",,,,,,
="0:13:15:89","筑波大学",,,,,,
="0:13:19:89",,,"三笘薫","ドリブル",,,
="0:13:20:50","ポゼッションエンド",,,,,,
="0:13:20:50","筑波大学",,,,,,
="0:13:24:13",,,"三笘薫","枠外シュート",,,
="0:13:38:21","相手チーム","GK",,,,,
="0:13:38:91","ポゼッションスタート",,,,,,
="0:13:38:91","相手チーム",,,,,,
="0:13:42:82","ポゼッションエンド",,,,,,
="0:13:42:82","相手チーム",,,,,,
="0:13:44:05",,,"山原怜音",,"インターセプト",,
="0:13:50:16","相手チーム",,,,,"ファール",
="0:14:02:94",,"FK","高嶺朋樹",,,,
="0:14:03:20","ポゼッションスタート",,,,,,
="0:14:03:20","筑波大学",,,,,,
="0:14:16:72",,,"三笘薫","ドリブル",,,
="0:14:20:82","ポゼッションエンド",,,,,,
="0:14:20:82","筑波大学",,,,,,
="0:14:23:69","ポゼッションスタート",,,,,,
="0:14:23:69","筑波大学",,,,,,
="0:14:28:76",,,"山原怜音","ドリブル",,,
="0:14:32:87","ポゼッションエンド",,,,,,
="0:14:32:87","筑波大学",,,,,,
="0:14:35:20","ポゼッションスタート",,,,,,
