"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:07:20",,"キックオフ",,,,,
="0:00:08:00","ポゼッションスタート",,,,,,
="0:00:08:00","筑波大学",,,,,,
="0:00:38:97","ポゼッションエンド",,,,,,
="0:00:38:97","筑波大学",,,,,,
="0:00:39:13",,,"山原怜音",,"インターセプト",,
="0:00:39:53","ポゼッションスタート",,,,,,
="0:00:39:53","相手チーム",,,,,,
="0:00:44:21","ポゼッションエンド",,,,,,
="0:00:44:21","相手チーム",,,,,,
="0:00:45:11","ポゼッションスタート",,,,,,
="0:00:45:11","筑波大学",,,,,,
="0:00:50:95",,,"三笘薫","ドリブル",,,
="0:01:09:00",,,"高嶺朋樹","ドリブル",,,
="0:01:12:27",,,"高嶺朋樹",,,"ファール",
="0:01:15:77","ポゼッションエンド",,,,,,
="0:01:15:77","筑波大学",,,,,,
="0:01:37:73","相手チーム","FK",,,,,
="0:01:47:14",,,"山川哲史",,"インターセプト",,
="0:01:53:11","ポゼッションスタート",,,,,,
="0:01:53:11","筑波大学",,,,,,
="0:01:56:95","ポゼッションエンド",,,,,,
="0:01:56:95","筑波大学",,,,,,
="0:01:57:51","ポゼッションスタート",,,,,,
="0:01:57:51","相手チーム",,,,,,
="0:02:00:85",,,"三浦雅人",,"カット",,
="0:02:04:55","ポゼッションエンド",,,,,,
="0:02:04:55","相手チーム",,,,,,
="0:02:07:79","ポゼッションスタート",,,,,,
="0:02:07:79","筑波大学",,,,,,
="0:02:10:26","ポゼッションエンド",,,,,,
="0:02:10:26","筑波大学",,,,,,
="0:02:11:46",,"スローイン","三浦雅人",,,,
="0:02:21:84","ポゼッションスタート",,,,,,
="0:02:21:84","筑波大学",,,,,,
="0:02:24:64","ポゼッションエンド",,,,,,
="0:02:24:64","筑波大学",,,,,,
="0:02:25:67","ポゼッションスタート",,,,,,
="0:02:25:67","相手チーム",,,,,,
="0:02:25:94",,,"犬飼翔洋",,"インターセプト",,
="0:02:30:65","ポゼッションエンド",,,,,,
="0:02:30:65","相手チーム",,,,,,
="0:02:31:95","ポゼッションスタート",,,,,,
="0:02:31:95","筑波大学",,,,,,
="0:02:34:58","ポゼッションエンド",,,,,,
="0:02:34:58","筑波大学",,,,,,
="0:02:41:49",,"スローイン","三浦雅人",,,,
="0:02:50:57","ポゼッションスタート",,,,,,
="0:02:50:57","筑波大学",,,,,,
="0:03:09:32","ポゼッションエンド",,,,,,
="0:03:09:32","筑波大学",,,,,,
="0:03:20:36","ポゼッションスタート",,,,,,
="0:03:20:36","筑波大学",,,,,,
="0:03:31:24",,,"渡邊陽",,"ブロック",,
="0:03:31:47","ポゼッションエンド",,,,,,
="0:03:31:47","筑波大学",,,,,,
="0:03:47:32","相手チーム","GK",,,,,
="0:04:12:05",,,"高嶺朋樹","ドリブル",,,
="0:04:12:05",,,,"枠外シュート",,,
="0:04:13:88","ポゼッションスタート",,,,,,
="0:04:13:88","筑波大学",,,,,,
="0:04:18:32","ポゼッションエンド",,,,,,
="0:04:18:32","筑波大学",,,,,,
="0:04:28:90","ポゼッションスタート",,,,,,
="0:04:28:90","相手チーム",,,,,,
="0:04:31:97",,,"三浦雅人",,"カット",,
="0:04:35:17","ポゼッションエンド",,,,,,
="0:04:35:17","相手チーム",,,,,,
="0:04:35:77","ポゼッションスタート",,,,,,
="0:04:35:77","筑波大学",,,,,,
="0:04:39:81",,,"犬飼翔洋",,,"オフサイド",
="0:04:44:01","ポゼッションエンド",,,,,,
="0:04:44:01","筑波大学",,,,,,
="0:04:49:85","相手チーム","FK",,,,,
="0:04:53:96","ポゼッションスタート",,,,,,
="0:04:53:96","相手チーム",,,,,,
="0:05:00:50",,,"山原怜音",,"クリア",,
="0:05:03:93","ポゼッションエンド",,,,,,
="0:05:03:93","相手チーム",,,,,,
="0:05:04:37",,,"角田涼太郎",,"インターセプト",,
="0:05:08:24",,,"三浦雅人","ドリブル",,,
="0:05:08:27","ポゼッションスタート",,,,,,
="0:05:08:27","筑波大学",,,,,,
="0:05:14:41",,,"三笘薫","ドリブル",,,
="0:05:15:58","相手チーム",,,,,"ファール",
="0:05:17:91","ポゼッションエンド",,,,,,
="0:05:17:91","筑波大学",,,,,,
="0:06:01:79",,"PK","三笘薫",,,,
="0:06:06:56","得点",,"三笘薫","枠内シュート",,,
="0:06:39:16","ポゼッションスタート",,,,,,
="0:06:39:16","相手チーム",,,,,,
="0:06:42:53",,,"山原怜音",,"インターセプト",,
="0:06:47:04","ポゼッションエンド",,,,,,
="0:06:47:04","相手チーム",,,,,,
="0:06:48:34",,,"山原怜音",,"クリア",,
="0:06:56:01","ポゼッションスタート",,,,,,
="0:06:56:01","相手チーム",,,,,,
="0:07:19:53","相手チーム",,,,,"ファール",
="0:07:23:37","ポゼッションエンド",,,,,,
="0:07:23:37","相手チーム",,,,,,
="0:07:44:56",,"FK","大川圭為",,,,
="0:07:49:56","相手チーム",,,,,"ファール",
="0:09:29:66",,"FK","山原怜音",,,,
="0:09:41:31",,,"大川圭為",,"クリア",,
="0:09:49:65","ポゼッションスタート",,,,,,
="0:09:49:65","相手チーム",,,,,,
="0:10:14:58",,,"渡邊陽",,"カット",,
="0:10:19:11","ポゼッションエンド",,,,,,
="0:10:19:11","相手チーム",,,,,,
="0:10:21:78","ポゼッションスタート",,,,,,
="0:10:21:78","筑波大学",,,,,,
="0:10:28:52","ポゼッションエンド",,,,,,
="0:10:28:52","筑波大学",,,,,,
="0:10:46:47","相手チーム","スローイン",,,,,
="0:10:47:68","ポゼッションスタート",,,,,,
="0:10:47:68","相手チーム",,,,,,
="0:10:49:24",,,"角田涼太郎",,"クリア",,
="0:10:51:68","ポゼッションエンド",,,,,,
="0:10:51:68","相手チーム",,,,,,
="0:10:53:38",,,"三笘薫",,,"ファール",
="0:10:58:75","相手チーム","FK",,,,,
="0:11:02:22","ポゼッションスタート",,,,,,
="0:11:02:22","相手チーム",,,,,,
="0:11:03:49",,,"渡邊陽",,"カット",,
="0:11:08:80","ポゼッションエンド",,,,,,
="0:11:08:80","相手チーム",,,,,,
="0:11:09:43","ポゼッションスタート",,,,,,
="0:11:09:43","筑波大学",,,,,,
="0:11:16:91","ポゼッションエンド",,,,,,
="0:11:16:91","筑波大学",,,,,,
="0:11:20:34","ポゼッションスタート",,,,,,
="0:11:20:34","相手チーム",,,,,,
="0:11:29:38",,,"角田涼太郎",,"クリア",,
="0:11:33:76","ポゼッションエンド",,,,,,
="0:11:33:76","相手チーム",,,,,,
="0:11:36:76","相手チーム","スローイン",,,,,
="0:11:40:73",,,"渡邊陽",,"ブロック",,
="0:11:48:67","相手チーム","スローイン",,,,,
="0:11:58:68",,"スローイン","三浦雅人",,,,
="0:12:06:69",,,"三浦雅人",,"クリア",,
="0:12:09:56","ポゼッションスタート",,,,,,
="0:12:09:56","筑波大学",,,,,,
="0:12:14:53","ポゼッションエンド",,,,,,
="0:12:14:53","筑波大学",,,,,,
="0:12:14:56","ポゼッションスタート",,,,,,
="0:12:14:56","相手チーム",,,,,,
="0:12:19:10","相手チーム",,,,,"ファール",
="0:12:23:00","ポゼッションエンド",,,,,,
="0:12:23:00","相手チーム",,,,,,
="0:12:47:63",,"FK","大川圭為",,,,
="0:13:03:08",,"スローイン","三笘薫",,,,
="0:13:05:11","ポゼッションスタート",,,,,,
="0:13:05:11","筑波大学",,,,,,
="0:13:28:34",,,"三笘薫","クロス",,,
="0:13:33:98","ポゼッションエンド",,,,,,
="0:13:33:98","筑波大学",,,,,,
="0:13:43:42",,"スローイン","三浦雅人",,,,
="0:13:47:86",,,"三浦雅人","ドリブル",,,
="0:13:49:49","ポゼッションスタート",,,,,,
="0:13:49:49","筑波大学",,,,,,
="0:13:50:66",,,"三浦雅人","クロス",,,
="0:13:56:13","ポゼッションエンド",,,,,,
="0:13:56:13","筑波大学",,,,,,
="0:13:56:33",,,"知久航介",,"カット",,
="0:14:00:67","ポゼッションスタート",,,,,,
="0:14:00:67","筑波大学",,,,,,
="0:14:07:44","ポゼッションエンド",,,,,,
="0:14:07:44","筑波大学",,,,,,
="0:14:10:75","ポゼッションスタート",,,,,,
="0:14:10:75","筑波大学",,,,,,
="0:14:17:19","ポゼッションエンド",,,,,,
="0:14:17:19","筑波大学",,,,,,
="0:14:30:37",,"スローイン","山原怜音",,,,
="0:14:36:44","ポゼッションスタート",,,,,,
="0:14:36:44","筑波大学",,,,,,
="0:14:40:11","ポゼッションエンド",,,,,,
="0:14:40:11","筑波大学",,,,,,
="0:14:40:78","ポゼッションスタート",,,,,,
="0:14:40:78","相手チーム",,,,,,
="0:14:47:55",,,"渡邊陽",,"ブロック",,
="0:14:51:82","ポゼッションエンド",,,,,,
="0:14:51:82","相手チーム",,,,,,
="0:15:01:00",,,"角田涼太郎",,"ブロック",,
="0:15:03:26","ポゼッションスタート",,,,,,
="0:15:03:26","相手チーム",,,,,,
="0:15:06:27","ポゼッションエンド",,,,,,
="0:15:06:27","相手チーム",,,,,,
="0:15:09:44","ポゼッションスタート",,,,,,
="0:15:09:44","相手チーム",,,,,,
="0:15:12:11",,,"大川圭為",,,,"キャッチ"
="0:15:15:34","ポゼッションエンド",,,,,,
="0:15:15:34","相手チーム",,,,,,
="0:15:32:53","ポゼッションスタート",,,,,,
="0:15:32:53","筑波大学",,,,,,
="0:15:35:53","ポゼッションエンド",,,,,,
="0:15:35:53","筑波大学",,,,,,
="0:15:40:44",,"スローイン","三笘薫",,,,
="0:15:43:54","ポゼッションスタート",,,,,,
="0:15:43:54","筑波大学",,,,,,
="0:15:45:44",,,"三浦雅人",,,"ファール",
="0:15:50:45","ポゼッションエンド",,,,,,
="0:15:50:45","筑波大学",,,,,,
="0:15:59:49","相手チーム","FK",,,,,
="0:16:00:82","ポゼッションスタート",,,,,,
="0:16:00:82","相手チーム",,,,,,
="0:16:06:46",,,"三浦雅人",,"ブロック",,
="0:16:10:37","ポゼッションエンド",,,,,,
="0:16:10:37","相手チーム",,,,,,
="0:16:15:04","相手チーム","スローイン",,,,,
="0:16:18:27",,,"角田涼太郎",,"インターセプト",,
="0:16:18:87","ポゼッションスタート",,,,,,
="0:16:18:87","相手チーム",,,,,,
="0:16:23:28","ポゼッションエンド",,,,,,
="0:16:23:28","相手チーム",,,,,,
="0:16:23:65","ポゼッションスタート",,,,,,
="0:16:23:65","筑波大学",,,,,,
="0:16:29:38","ポゼッションエンド",,,,,,
="0:16:29:38","筑波大学",,,,,,
="0:16:35:62","相手チーム","スローイン",,,,,
="0:16:39:29","ポゼッションスタート",,,,,,
="0:16:39:29","相手チーム",,,,,,
="0:16:50:07",,,"三笘薫",,"カット",,
="0:16:50:07",,,,,"クリア",,
="0:16:52:34","ポゼッションエンド",,,,,,
="0:16:52:34","相手チーム",,,,,,
="0:16:56:75","ポゼッションスタート",,,,,,
="0:16:56:75","相手チーム",,,,,,
="0:16:57:11","相手チーム",,"大川圭為",,"被枠内シュート",,"キャッチ"
="0:16:59:61","ポゼッションエンド",,,,,,
="0:16:59:61","相手チーム",,,,,,
="0:17:19:40","ポゼッションスタート",,,,,,
="0:17:19:40","筑波大学",,,,,,
="0:17:20:84","ポゼッションエンド",,,,,,
="0:17:20:84","筑波大学",,,,,,
="0:17:25:67","相手チーム","スローイン",,,,,
="0:17:31:98","ポゼッションスタート",,,,,,
="0:17:31:98","相手チーム",,,,,,
="0:17:37:02","ポゼッションエンド",,,,,,
="0:17:37:02","相手チーム",,,,,,
="0:17:40:69",,"スローイン","三笘薫",,,,
="0:17:47:16","ポゼッションスタート",,,,,,
="0:17:47:16","筑波大学",,,,,,
="0:17:52:07",,,"大川圭為",,,,"キャッチ"
