"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:05:77",,"キックオフ",,,,,
="0:00:20:82",,"スローイン","角田涼太郎",,,,
="0:00:33:50",,,"加藤匠人",,"クリア",,
="0:00:43:61",,,"角田涼太郎",,"ブロック",,
="0:00:49:64",,,"山川哲史",,"ブロック",,
="0:00:53:42","ポゼッションスタート",,,,,,
="0:00:53:42","相手チーム",,,,,,
="0:00:59:65","ポゼッションエンド",,,,,,
="0:00:59:65","相手チーム",,,,,,
="0:01:01:56",,,"知久航介",,"クリア",,
="0:01:06:86","ポゼッションスタート",,,,,,
="0:01:06:86","相手チーム",,,,,,
="0:01:08:63","ポゼッションエンド",,,,,,
="0:01:08:63","相手チーム",,,,,,
="0:01:09:80","ポゼッションスタート",,,,,,
="0:01:09:80","相手チーム",,,,,,
="0:01:13:57",,,"岩本翔",,"ブロック",,
="0:01:16:34","ポゼッションエンド",,,,,,
="0:01:16:34","相手チーム",,,,,,
="0:01:19:07",,,"渡邊陽",,"クリア",,
="0:01:19:97","ポゼッションスタート",,,,,,
="0:01:19:97","相手チーム",,,,,,
="0:01:25:88","ポゼッションエンド",,,,,,
="0:01:25:88","相手チーム",,,,,,
="0:01:29:22",,,"大川圭為",,"クリア",,
="0:01:34:26","相手チーム","スローイン",,,,,
="0:01:34:86","ポゼッションスタート",,,,,,
="0:01:34:86","相手チーム",,,,,,
="0:01:53:81","ポゼッションエンド",,,,,,
="0:01:53:81","相手チーム",,,,,,
="0:02:01:15","ポゼッションスタート",,,,,,
="0:02:01:15","筑波大学",,,,,,
="0:02:02:08",,"スローイン","角田涼太郎",,,,
="0:02:19:17",,,"大川圭為",,"クリア",,
="0:02:21:84","ポゼッションエンド",,,,,,
="0:02:21:84","筑波大学",,,,,,
="0:02:24:87",,,"渡邊陽",,"インターセプト",,
="0:02:26:71","ポゼッションスタート",,,,,,
="0:02:26:71","筑波大学",,,,,,
="0:02:33:52",,,"池谷祐輔","ドリブル",,,
="0:02:38:02","ポゼッションエンド",,,,,,
="0:02:38:02","筑波大学",,,,,,
="0:02:41:36",,,"山原怜音","ドリブル",,,
="0:02:41:92",,,"山原怜音","枠外シュート",,,
="0:03:07:18","相手チーム","GK",,,,,
="0:03:10:92","ポゼッションスタート",,,,,,
="0:03:10:92","筑波大学",,,,,,
="0:03:11:05",,,"角田涼太郎",,"インターセプト",,
="0:03:26:17","ポゼッションエンド",,,,,,
="0:03:26:17","筑波大学",,,,,,
="0:03:33:61",,"スローイン","岩本翔",,,,
="0:03:35:28","ポゼッションスタート",,,,,,
="0:03:35:28","筑波大学",,,,,,
="0:03:46:55","ポゼッションエンド",,,,,,
="0:03:46:55","筑波大学",,,,,,
="0:03:49:56","ポゼッションスタート",,,,,,
="0:03:49:56","相手チーム",,,,,,
="0:04:12:81","ポゼッションエンド",,,,,,
="0:04:12:81","相手チーム",,,,,,
="0:04:20:89",,,"角田涼太郎",,"クリア",,
="0:04:30:37",,"スローイン","池谷祐輔",,,,
="0:04:30:70",,,"角田涼太郎",,"クリア",,
="0:04:42:24","相手チーム","スローイン",,,,,
="0:04:45:61",,,"渡邊陽",,"カット",,
="0:04:51:02","ポゼッションスタート",,,,,,
="0:04:51:02","相手チーム",,,,,,
="0:04:55:02",,,"山川哲史",,"ブロック",,
="0:04:56:93","ポゼッションエンド",,,,,,
="0:04:56:93","相手チーム",,,,,,
="0:05:04:43",,,"大川圭為",,,,"キャッチ"
="0:05:13:64","ポゼッションスタート",,,,,,
="0:05:13:64","相手チーム",,,,,,
="0:05:21:28",,,"角田涼太郎",,"インターセプト",,
="0:05:22:68","ポゼッションエンド",,,,,,
="0:05:22:68","相手チーム",,,,,,
="0:05:25:15","ポゼッションスタート",,,,,,
="0:05:25:15","筑波大学",,,,,,
="0:05:46:17",,,"角田涼太郎","ドリブル",,,
="0:05:52:48","ポゼッションエンド",,,,,,
="0:05:52:48","筑波大学",,,,,,
="0:05:52:85",,,"三浦雅人","ドリブル",,,
="0:06:24:01","相手チーム","GK",,,,,
="0:06:29:08",,,"角田涼太郎",,"インターセプト",,
="0:06:36:62",,,"山川哲史",,"ブロック",,
="0:06:39:43","ポゼッションスタート",,,,,,
="0:06:39:43","筑波大学",,,,,,
="0:06:41:66",,,"山川哲史",,"カット",,
="0:06:44:83","ポゼッションエンド",,,,,,
="0:06:44:83","筑波大学",,,,,,
="0:06:46:90","ポゼッションスタート",,,,,,
="0:06:46:90","相手チーム",,,,,,
="0:07:17:67","ポゼッションエンド",,,,,,
="0:07:17:67","相手チーム",,,,,,
="0:07:18:30",,,"山原怜音",,"ブロック",,
="0:07:19:67","相手チーム","スローイン",,,,,
="0:07:21:04","ポゼッションスタート",,,,,,
="0:07:21:04","相手チーム",,,,,,
="0:07:36:28","ポゼッションエンド",,,,,,
="0:07:36:28","相手チーム",,,,,,
="0:07:36:38",,,"池谷祐輔",,"カット",,
="0:07:39:45",,,"加藤匠人",,"クリア",,
="0:07:41:26","ポゼッションスタート",,,,,,
="0:07:41:26","相手チーム",,,,,,
="0:08:00:81","ポゼッションエンド",,,,,,
="0:08:00:81","相手チーム",,,,,,
="0:08:01:18",,,"三浦雅人",,"カット",,
="0:08:10:79","ポゼッションスタート",,,,,,
="0:08:10:79","相手チーム",,,,,,
="0:08:17:29","ポゼッションエンド",,,,,,
="0:08:17:29","相手チーム",,,,,,
="0:08:18:46","相手チーム",,,,,"オフサイド",
="0:08:34:28",,"FK","角田涼太郎",,,,
="0:08:35:68","ポゼッションスタート",,,,,,
="0:08:35:68","筑波大学",,,,,,
="0:08:49:42",,,"池谷祐輔","ドリブル",,,
="0:08:50:03","ポゼッションエンド",,,,,,
="0:08:50:03","筑波大学",,,,,,
="0:08:55:03",,,"池谷祐輔","枠内シュート",,,
="0:09:15:78",,"スローイン","知久航介",,,,
="0:09:16:02","ポゼッションスタート",,,,,,
="0:09:16:02","筑波大学",,,,,,
="0:09:39:71","ポゼッションエンド",,,,,,
="0:09:39:71","筑波大学",,,,,,
="0:09:44:15","ポゼッションスタート",,,,,,
="0:09:44:15","相手チーム",,,,,,
="0:09:58:63",,,"池谷祐輔",,"カット",,
="0:09:58:83","ポゼッションエンド",,,,,,
="0:09:58:83","相手チーム",,,,,,
="0:10:02:33","ポゼッションスタート",,,,,,
="0:10:02:33","筑波大学",,,,,,
="0:10:13:21","ポゼッションエンド",,,,,,
="0:10:13:21","筑波大学",,,,,,
="0:10:18:18","ポゼッションスタート",,,,,,
="0:10:18:18","相手チーム",,,,,,
="0:10:18:91","相手チーム","スローイン",,,,,
="0:10:30:36","ポゼッションエンド",,,,,,
="0:10:30:36","相手チーム",,,,,,
="0:10:30:56",,,"大川圭為",,,,"キャッチ"
="0:10:37:80","ポゼッションスタート",,,,,,
="0:10:37:80","筑波大学",,,,,,
="0:10:46:04","ポゼッションエンド",,,,,,
="0:10:46:04","筑波大学",,,,,,
="0:10:48:54",,,"池谷祐輔",,"カット",,
="0:10:50:38","ポゼッションスタート",,,,,,
="0:10:50:38","筑波大学",,,,,,
="0:10:53:21","ポゼッションエンド",,,,,,
="0:10:53:21","筑波大学",,,,,,
="0:10:55:38","ポゼッションスタート",,,,,,
="0:10:55:38","相手チーム",,,,,,
="0:11:02:22","ポゼッションエンド",,,,,,
="0:11:02:22","相手チーム",,,,,,
="0:11:02:32",,,"大川圭為",,,,"キャッチ"
="0:11:07:23","ポゼッションスタート",,,,,,
="0:11:07:23","筑波大学",,,,,,
="0:11:32:62","ポゼッションエンド",,,,,,
="0:11:32:62","筑波大学",,,,,,
="0:11:36:02",,"スローイン","三浦雅人",,,,
="0:11:36:69","ポゼッションスタート",,,,,,
="0:11:36:69","筑波大学",,,,,,
="0:12:13:19",,,"渡邊陽",,"インターセプト",,
="0:12:17:53","ポゼッションエンド",,,,,,
="0:12:17:53","筑波大学",,,,,,
="0:12:27:58","相手チーム","スローイン",,,,,
="0:12:33:31",,,"知久航介",,"ブロック",,
="0:12:33:82","相手チーム","スローイン",,,,,
="0:12:37:69",,,"山川哲史",,"ブロック",,
="0:12:43:49","相手チーム","スローイン",,,,,
="0:12:48:23","ポゼッションスタート",,,,,,
="0:12:48:23","筑波大学",,,,,,
="0:12:56:27",,,"山原怜音","ドリブル",,,
="0:13:11:05","ポゼッションエンド",,,,,,
="0:13:11:05","筑波大学",,,,,,
="0:13:11:49",,"スローイン","三浦雅人",,,,
="0:14:02:27",,"CK","加藤匠人",,,,
="0:14:07:21","得点",,"角田涼太郎","枠内シュート",,,
="0:14:39:47","ポゼッションスタート",,,,,,
="0:14:39:47","相手チーム",,,,,,
="0:14:45:11",,,"三浦雅人",,"ブロック",,
="0:14:46:21","ポゼッションエンド",,,,,,
="0:14:46:21","相手チーム",,,,,,
="0:14:51:75","ポゼッションスタート",,,,,,
="0:14:51:75","筑波大学",,,,,,
="0:15:02:33",,,"知久航介","ドリブル",,,
="0:15:03:87","ポゼッションエンド",,,,,,
="0:15:03:87","筑波大学",,,,,,
="0:15:12:04","ポゼッションスタート",,,,,,
="0:15:12:04","筑波大学",,,,,,
="0:15:15:94",,"スローイン","知久航介",,,,
="0:15:35:53","ポゼッションエンド",,,,,,
="0:15:35:53","筑波大学",,,,,,
="0:15:41:17","ポゼッションスタート",,,,,,
="0:15:41:17","相手チーム",,,,,,
="0:15:42:24","相手チーム","スローイン",,,,,
="0:15:46:01",,,"加藤匠人",,"カット",,
="0:15:52:35",,,"加藤匠人",,"カット",,
="0:15:52:51","ポゼッションエンド",,,,,,
="0:15:52:51","相手チーム",,,,,,
="0:15:58:09",,,"加藤匠人","枠内シュート",,,
="0:16:02:29","ポゼッションスタート",,,,,,
="0:16:02:29","相手チーム",,,,,,
="0:16:11:97","ポゼッションエンド",,,,,,
="0:16:11:97","相手チーム",,,,,,
="0:16:19:47","ポゼッションスタート",,,,,,
="0:16:19:47","筑波大学",,,,,,
="0:16:37:86",,,"池谷祐輔","ドリブル",,,
="0:16:42:23","ポゼッションエンド",,,,,,
="0:16:42:23","筑波大学",,,,,,
="0:16:51:57",,,"三浦雅人","枠内シュート",,,
="0:17:10:66","相手チーム","GK",,,,,
="0:17:17:17",,,"角田涼太郎",,"カット",,
="0:17:28:01",,"スローイン","角田涼太郎",,,,
="0:17:47:46",,,"大川圭為",,,,"セービング"
="0:17:53:40","相手チーム",,,,"被枠内シュート",,
="0:18:37:81","相手チーム","CK",,,,,
="0:18:46:25","相手チーム",,,,"被枠内シュート",,
="0:18:47:39",,,"大川圭為",,,,"セービング"
="0:19:06:98","ポゼッションスタート",,,,,,
="0:19:06:98","筑波大学",,,,,,
="0:19:38:14","ポゼッションエンド",,,,,,
="0:19:38:14","筑波大学",,,,,,
="0:19:56:89","相手チーム","スローイン",,,,,
="0:20:02:06",,,"角田涼太郎",,"カット",,
="0:20:02:86","ポゼッションスタート",,,,,,
="0:20:02:86","筑波大学",,,,,,
="0:20:11:21","ポゼッションエンド",,,,,,
="0:20:11:21","筑波大学",,,,,,
