"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:09:20","ポゼッションスタート",,,,,,
="0:00:09:20","筑波大学",,,,,,
="0:00:15:31",,"キックオフ",,,,,
="0:00:16:51","ポゼッションエンド",,,,,,
="0:00:16:51","筑波大学",,,,,,
="0:00:28:59",,"スローイン","山原怜音",,,,
="0:00:34:13",,,"角田涼太郎",,"ブロック",,
="0:00:38:00","ポゼッションスタート",,,,,,
="0:00:38:00","筑波大学",,,,,,
="0:00:41:00",,,"山川哲史",,"シュートブロック",,
="0:00:44:41","ポゼッションエンド",,,,,,
="0:00:44:41","筑波大学",,,,,,
="0:00:53:85","相手チーム","スローイン",,,,,
="0:00:57:95",,,"岩本翔",,"クリア",,
="0:01:01:59","ポゼッションスタート",,,,,,
="0:01:01:59","相手チーム",,,,,,
="0:01:18:61","ポゼッションエンド",,,,,,
="0:01:18:61","相手チーム",,,,,,
="0:01:22:94","相手チーム",,,,,"ファール",
="0:02:34:82",,"FK","山原怜音",,,,
="0:02:42:96",,,"山原怜音","枠内シュート",,,
="0:03:34:44",,"CK","加藤匠人",,,,
="0:03:45:29",,,"加藤匠人","クロス",,,
="0:04:09:58","相手チーム","GK",,,,,
="0:04:15:05","ポゼッションスタート",,,,,,
="0:04:15:05","相手チーム",,,,,,
="0:04:24:93",,,"知久航介",,"ブロック",,
="0:04:31:73","相手チーム","スローイン",,,,,
="0:04:46:15","ポゼッションエンド",,,,,,
="0:04:46:15","相手チーム",,,,,,
="0:05:05:30",,"GK","大川圭為",,,,
="0:05:18:11",,,"山川哲史",,"インターセプト",,
="0:05:20:72","ポゼッションスタート",,,,,,
="0:05:20:72","筑波大学",,,,,,
="0:05:36:06","ポゼッションエンド",,,,,,
="0:05:36:06","筑波大学",,,,,,
="0:05:39:67","ポゼッションスタート",,,,,,
="0:05:39:67","相手チーム",,,,,,
="0:06:00:36",,,"角田涼太郎",,"ブロック",,
="0:06:00:79","ポゼッションエンド",,,,,,
="0:06:00:79","相手チーム",,,,,,
="0:06:03:66","ポゼッションスタート",,,,,,
="0:06:03:66","筑波大学",,,,,,
="0:06:08:03","ポゼッションエンド",,,,,,
="0:06:08:03","筑波大学",,,,,,
="0:06:16:87","ポゼッションスタート",,,,,,
="0:06:16:87","筑波大学",,,,,,
="0:06:20:68",,"スローイン","山原怜音",,,,
="0:06:32:65","ポゼッションエンド",,,,,,
="0:06:32:65","筑波大学",,,,,,
="0:06:44:17","ポゼッションスタート",,,,,,
="0:06:44:17","相手チーム",,,,,,
="0:06:44:87","相手チーム","GK",,,,,
="0:07:22:07","ポゼッションエンド",,,,,,
="0:07:22:07","相手チーム",,,,,,
="0:07:22:30","相手チーム","スローイン",,,,,
="0:07:25:17","ポゼッションスタート",,,,,,
="0:07:25:17","相手チーム",,,,,,
="0:07:34:25",,,"三浦雅人",,"ブロック",,
="0:07:35:42","ポゼッションエンド",,,,,,
="0:07:35:42","相手チーム",,,,,,
="0:07:59:04","相手チーム","スローイン",,,,,
="0:08:03:08",,,"角田涼太郎",,"カット",,
="0:08:07:85","ポゼッションスタート",,,,,,
="0:08:07:85","相手チーム",,,,,,
="0:08:08:35",,,"角田涼太郎",,"クリア",,
="0:08:11:55","ポゼッションエンド",,,,,,
="0:08:11:55","相手チーム",,,,,,
="0:08:12:45",,,"角田涼太郎",,"クリア",,
="0:08:20:46",,,"森海渡",,,"ファール",
="0:08:30:51","ポゼッションスタート",,,,,,
="0:08:30:51","相手チーム",,,,,,
="0:08:30:57","相手チーム","FK",,,,,
="0:08:42:15",,,"山原怜音",,"ブロック",,
="0:08:42:42","ポゼッションエンド",,,,,,
="0:08:42:42","相手チーム",,,,,,
="0:08:51:03","相手チーム","スローイン",,,,,
="0:08:51:73","ポゼッションスタート",,,,,,
="0:08:51:73","相手チーム",,,,,,
="0:08:57:73","ポゼッションエンド",,,,,,
="0:08:57:73","相手チーム",,,,,,
="0:08:58:90",,,"山原怜音",,"ブロック",,
="0:09:36:84","相手チーム","CK",,,,,
="0:09:41:41","ポゼッションスタート",,,,,,
="0:09:41:41","相手チーム",,,,,,
="0:09:42:84",,,"森海渡",,"クリア",,
="0:09:47:35","ポゼッションエンド",,,,,,
="0:09:47:35","相手チーム",,,,,,
="0:09:49:38",,,"山原怜音",,"ブロック",,
="0:09:50:22","ポゼッションスタート",,,,,,
="0:09:50:22","相手チーム",,,,,,
="0:10:15:68","ポゼッションエンド",,,,,,
="0:10:15:68","相手チーム",,,,,,
="0:10:29:72",,"スローイン","三浦雅人",,,,
="0:10:35:10","相手チーム",,,,,"ファール",
="0:10:40:60","ポゼッションスタート",,,,,,
="0:10:40:60","筑波大学",,,,,,
="0:10:40:77",,"FK","三浦雅人",,,,
="0:10:51:95","ポゼッションエンド",,,,,,
="0:10:51:95","筑波大学",,,,,,
="0:10:58:35","ポゼッションスタート",,,,,,
="0:10:58:35","相手チーム",,,,,,
="0:11:26:45",,,"山川哲史",,"ブロック",,
="0:11:27:08","ポゼッションエンド",,,,,,
="0:11:27:08","相手チーム",,,,,,
="0:11:39:76","相手チーム","スローイン",,,,,
="0:11:40:16","ポゼッションスタート",,,,,,
="0:11:40:16","相手チーム",,,,,,
="0:11:45:93",,,"山原怜音",,,"ファール",
="0:11:46:30","ポゼッションエンド",,,,,,
="0:11:46:30","相手チーム",,,,,,
="0:12:30:45","相手チーム","FK",,,,,
="0:12:36:62","ポゼッションスタート",,,,,,
="0:12:36:62","筑波大学",,,,,,
="0:12:39:65","ポゼッションエンド",,,,,,
="0:12:39:65","筑波大学",,,,,,
="0:12:52:80",,"スローイン","三浦雅人",,,,
="0:12:54:97","ポゼッションスタート",,,,,,
="0:12:54:97","相手チーム",,,,,,
="0:13:13:69","ポゼッションエンド",,,,,,
="0:13:13:69","相手チーム",,,,,,
="0:13:13:89","相手チーム",,,,"被枠外シュート",,
="0:13:42:32",,"GK","大川圭為",,,,
="0:14:04:21","相手チーム","スローイン",,,,,
="0:14:07:84",,,"加藤匠人",,"ブロック",,
="0:14:18:09","相手チーム","スローイン",,,,,
="0:14:21:16","ポゼッションスタート",,,,,,
="0:14:21:16","相手チーム",,,,,,
="0:14:28:70","ポゼッションエンド",,,,,,
="0:14:28:70","相手チーム",,,,,,
="0:14:29:43",,,"和田育",,"インターセプト",,
="0:14:31:33","ポゼッションスタート",,,,,,
="0:14:31:33","筑波大学",,,,,,
="0:15:03:23","ポゼッションエンド",,,,,,
="0:15:03:23","筑波大学",,,,,,
="0:15:08:50",,,"加藤匠人",,"ブロック",,
="0:15:13:07",,,"山川哲史",,"ブロック",,
="0:15:13:91","ポゼッションスタート",,,,,,
="0:15:13:91","筑波大学",,,,,,
="0:15:18:05",,,"山原怜音","ドリブル",,,
="0:15:47:68",,,"山川哲史","ドリブル",,,
="0:15:54:55","ポゼッションエンド",,,,,,
="0:15:54:55","筑波大学",,,,,,
="0:16:10:60",,,"山川哲史",,"インターセプト",,
="0:16:11:70","ポゼッションスタート",,,,,,
="0:16:11:70","筑波大学",,,,,,
="0:16:31:05","ポゼッションエンド",,,,,,
="0:16:31:05","筑波大学",,,,,,
="0:16:33:42","ポゼッションスタート",,,,,,
="0:16:33:42","相手チーム",,,,,,
="0:16:41:23",,,"三浦雅人",,"カット",,
="0:16:41:90","ポゼッションエンド",,,,,,
="0:16:41:90","相手チーム",,,,,,
="0:16:46:03",,,"三浦雅人",,,"ファール",
="0:16:56:38","相手チーム","FK",,,,,
="0:16:56:58","ポゼッションスタート",,,,,,
="0:16:56:58","相手チーム",,,,,,
="0:17:16:16","ポゼッションエンド",,,,,,
="0:17:16:16","相手チーム",,,,,,
="0:17:45:43",,"GK","大川圭為",,,,
="0:17:50:33",,,"山川哲史",,"ブロック",,
="0:17:57:97","ポゼッションスタート",,,,,,
="0:17:57:97","筑波大学",,,,,,
="0:18:00:11",,,"池谷祐輔","ドリブル",,,
="0:18:07:62",,,"和田育","ドリブル",,,
="0:18:12:69",,,"和田育","クロス",,,
="0:18:14:19","ポゼッションエンド",,,,,,
="0:18:14:19","筑波大学",,,,,,
="0:18:16:89","ポゼッションスタート",,,,,,
="0:18:16:89","相手チーム",,,,,,
="0:18:27:24","ポゼッションエンド",,,,,,
="0:18:27:24","相手チーム",,,,,,
="0:18:27:27",,,"角田涼太郎",,"インターセプト",,
="0:18:29:27","ポゼッションスタート",,,,,,
="0:18:29:27","筑波大学",,,,,,
="0:19:02:27",,,"和田育","ドリブル",,,
="0:19:09:71","ポゼッションエンド",,,,,,
="0:19:09:71","筑波大学",,,,,,
="0:19:38:04","相手チーム","GK",,,,,
="0:19:53:15",,"スローイン","山原怜音",,,,
="0:19:54:76","ポゼッションスタート",,,,,,
="0:19:54:76","筑波大学",,,,,,
="0:20:04:50",,,"知久航介","ドリブル",,,
="0:20:21:42","ポゼッションエンド",,,,,,
="0:20:21:42","筑波大学",,,,,,
="0:20:25:02",,,"加藤匠人",,"インターセプト",,
="0:20:26:19","ポゼッションスタート",,,,,,
