"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:26:92",,"キックオフ",,,,,
="0:00:31:93",,,"山川哲史",,"ブロック",,
="0:00:38:10",,,"岩本翔",,"カット",,
="0:00:39:17","ポゼッションスタート",,,,,,
="0:00:39:17","筑波大学",,,,,,
="0:00:41:54",,,"山原怜音",,"クリア",,
="0:00:42:37","ポゼッションエンド",,,,,,
="0:00:42:37","筑波大学",,,,,,
="0:00:45:01","ポゼッションスタート",,,,,,
="0:00:45:01","相手チーム",,,,,,
="0:01:09:70","ポゼッションエンド",,,,,,
="0:01:09:70","相手チーム",,,,,,
="0:01:35:89","ポゼッションスタート",,,,,,
="0:01:35:89","筑波大学",,,,,,
="0:01:56:01","ポゼッションエンド",,,,,,
="0:01:56:01","筑波大学",,,,,,
="0:02:15:30","ポゼッションスタート",,,,,,
="0:02:15:30","相手チーム",,,,,,
="0:02:18:17","ポゼッションエンド",,,,,,
="0:02:18:17","相手チーム",,,,,,
="0:02:19:20",,,"知久航介",,"ブロック",,
="0:02:56:60","ポゼッションスタート",,,,,,
="0:02:56:60","筑波大学",,,,,,
="0:03:00:44","相手チーム","スローイン",,,,,
="0:03:12:92","ポゼッションエンド",,,,,,
="0:03:12:92","筑波大学",,,,,,
="0:03:15:46","ポゼッションスタート",,,,,,
="0:03:15:46","相手チーム",,,,,,
="0:03:48:56","ポゼッションエンド",,,,,,
="0:03:48:56","相手チーム",,,,,,
="0:03:49:09",,,"山原怜音",,"クリア",,
="0:03:51:99","ポゼッションスタート",,,,,,
="0:03:51:99","相手チーム",,,,,,
="0:03:56:67","ポゼッションエンド",,,,,,
="0:03:56:67","相手チーム",,,,,,
="0:04:03:54","相手チーム",,,,,"ファール",
="0:04:11:45","ポゼッションスタート",,,,,,
="0:04:11:45","筑波大学",,,,,,
="0:04:17:99",,"FK","山原怜音",,,,
="0:04:31:80","ポゼッションエンド",,,,,,
="0:04:31:80","筑波大学",,,,,,
="0:04:40:71","ポゼッションスタート",,,,,,
="0:04:40:71","筑波大学",,,,,,
="0:04:44:81",,"スローイン","和田育",,,,
="0:04:53:72","ポゼッションエンド",,,,,,
="0:04:53:72","筑波大学",,,,,,
="0:05:11:11","ポゼッションスタート",,,,,,
="0:05:11:11","筑波大学",,,,,,
="0:05:11:34",,,"知久航介",,"ブロック",,
="0:05:15:94","相手チーム","スローイン",,,,,
="0:05:16:01",,,"山原怜音","ドリブル",,,
