"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:10:17",,"キックオフ",,,,,
="0:00:13:61",,,"三浦雅人",,"クリア",,
="0:00:21:38","ポゼッションスタート",,,,,,
="0:00:21:38","相手チーム",,,,,,
="0:00:21:42",,,"渡邊陽",,"ブロック",,
="0:00:24:39","相手チーム","スローイン",,,,,
="0:00:26:59","ポゼッションエンド",,,,,,
="0:00:26:59","相手チーム",,,,,,
="0:00:32:13","ポゼッションスタート",,,,,,
="0:00:32:13","相手チーム",,,,,,
="0:00:37:07","ポゼッションエンド",,,,,,
="0:00:37:07","相手チーム",,,,,,
="0:00:50:71","相手チーム","CK",,,,,
="0:01:06:16","相手チーム",,,,"被枠外シュート",,
="0:01:25:88",,"GK","大川圭為",,,,
="0:01:35:79","相手チーム","スローイン",,,,,
="0:01:41:33","ポゼッションスタート",,,,,,
="0:01:41:33","相手チーム",,,,,,
="0:01:43:37",,,"三浦雅人",,"ブロック",,
="0:01:48:54","ポゼッションエンド",,,,,,
="0:01:48:54","相手チーム",,,,,,
="0:01:48:77",,,"角田涼太郎",,"インターセプト",,
="0:01:49:37",,,"角田涼太郎",,"クリア",,
="0:01:51:04","ポゼッションスタート",,,,,,
="0:01:51:04","相手チーム",,,,,,
="0:01:53:41","ポゼッションエンド",,,,,,
="0:01:53:41","相手チーム",,,,,,
="0:01:57:58","ポゼッションスタート",,,,,,
="0:01:57:58","相手チーム",,,,,,
="0:02:01:88",,,"大川圭為",,"クリア",,
="0:02:06:35","ポゼッションエンド",,,,,,
="0:02:06:35","相手チーム",,,,,,
="0:02:16:53","相手チーム","スローイン",,,,,
="0:02:22:10","ポゼッションスタート",,,,,,
="0:02:22:10","相手チーム",,,,,,
="0:02:23:24",,,"大川圭為",,,,"キャッチ"
="0:02:27:18","ポゼッションエンド",,,,,,
="0:02:27:18","相手チーム",,,,,,
="0:02:31:21","ポゼッションスタート",,,,,,
="0:02:31:21","筑波大学",,,,,,
="0:02:36:62",,,"小林幹","クロス",,,
="0:02:43:73","ポゼッションエンド",,,,,,
="0:02:43:73","筑波大学",,,,,,
="0:03:00:71",,"CK","小林幹",,,,
="0:03:16:96",,,"山川哲史",,,"ファール",
="0:03:41:45","相手チーム","FK",,,,,
="0:03:52:63",,,"森侑里",,"ブロック",,
="0:03:57:20","相手チーム",,,,,"ファール",
="0:04:19:45",,"FK","角田涼太郎",,,,
="0:04:24:83","ポゼッションスタート",,,,,,
="0:04:24:83","筑波大学",,,,,,
="0:04:29:33","ポゼッションエンド",,,,,,
="0:04:29:33","筑波大学",,,,,,
="0:04:29:43",,,"角田涼太郎",,"インターセプト",,
="0:04:30:13",,,"角田涼太郎",,"クリア",,
="0:04:31:23","ポゼッションスタート",,,,,,
="0:04:31:23","相手チーム",,,,,,
="0:04:35:94","ポゼッションエンド",,,,,,
="0:04:35:94","相手チーム",,,,,,
="0:04:40:71",,,"角田涼太郎",,"クリア",,
="0:04:43:88",,,"角田涼太郎",,"ブロック",,
="0:04:47:02","ポゼッションスタート",,,,,,
="0:04:47:02","筑波大学",,,,,,
="0:04:47:85",,,"知久航介","ドリブル",,,
="0:04:56:69",,,"山原怜音","ドリブル",,,
="0:04:56:69",,,,"クロス",,,
="0:05:04:40","ポゼッションエンド",,,,,,
="0:05:04:40","筑波大学",,,,,,
="0:05:07:67",,"スローイン","山原怜音",,,,
="0:05:14:64","ポゼッションスタート",,,,,,
="0:05:14:64","筑波大学",,,,,,
="0:05:19:05",,,"角田涼太郎","ドリブル",,,
="0:05:27:26",,,"渡邊陽",,,"ファール",
="0:05:28:36","ポゼッションエンド",,,,,,
="0:05:28:36","筑波大学",,,,,,
="0:05:49:84","相手チーム","FK",,,,,
="0:06:01:66",,,"知久航介",,"ブロック",,
="0:06:02:26",,,"知久航介",,"クリア",,
="0:06:15:40",,,"知久航介",,"ブロック",,
="0:06:16:54","ポゼッションスタート",,,,,,
="0:06:16:54","相手チーム",,,,,,
="0:06:19:91","ポゼッションエンド",,,,,,
="0:06:19:91","相手チーム",,,,,,
="0:06:22:24",,,"小林幹","ドリブル",,,
="0:06:22:54","ポゼッションスタート",,,,,,
="0:06:22:54","筑波大学",,,,,,
="0:06:52:34","ポゼッションエンド",,,,,,
="0:06:52:34","筑波大学",,,,,,
="0:07:22:47","ポゼッションスタート",,,,,,
="0:07:22:47","筑波大学",,,,,,
="0:07:30:38",,,"小林幹",,"インターセプト",,
="0:07:30:88",,,"小林幹","ドリブル",,,
="0:07:43:63",,"スローイン","三浦雅人",,,,
="0:07:44:63","ポゼッションエンド",,,,,,
="0:07:44:63","筑波大学",,,,,,
="0:07:48:30",,,"犬飼翔洋","ドリブル",,,
="0:07:49:16","ポゼッションスタート",,,,,,
="0:07:49:16","筑波大学",,,,,,
="0:07:57:14","ポゼッションエンド",,,,,,
="0:07:57:14","筑波大学",,,,,,
="0:08:23:30",,"CK","小林幹",,,,
="0:08:33:41",,,"山川哲史",,,"ファール",
="0:09:16:02","相手チーム","FK",,,,,
="0:09:22:49",,,"知久航介",,"ブロック",,
="0:09:32:57",,"スローイン","山原怜音",,,,
="0:09:44:08",,,"犬飼翔洋",,"カット",,
="0:09:45:61","ポゼッションスタート",,,,,,
="0:09:45:61","筑波大学",,,,,,
="0:09:53:72","ポゼッションエンド",,,,,,
="0:09:53:72","筑波大学",,,,,,
="0:09:57:53","ポゼッションスタート",,,,,,
="0:09:57:53","相手チーム",,,,,,
="0:10:04:40",,,"三浦雅人",,"クリア",,
="0:10:10:04","相手チーム","スローイン",,,,,
="0:10:15:24","ポゼッションエンド",,,,,,
="0:10:15:24","相手チーム",,,,,,
="0:10:17:15","ポゼッションスタート",,,,,,
="0:10:17:15","相手チーム",,,,,,
="0:10:21:15",,,"大川圭為",,,,"キャッチ"
="0:10:22:75","ポゼッションエンド",,,,,,
="0:10:22:75","相手チーム",,,,,,
="0:10:29:79",,,"大川圭為",,"クリア",,
="0:10:32:09","ポゼッションスタート",,,,,,
="0:10:32:09","筑波大学",,,,,,
="0:10:36:46","相手チーム","スローイン",,,,,
="0:10:37:40","ポゼッションエンド",,,,,,
="0:10:37:40","筑波大学",,,,,,
="0:10:41:47","相手チーム",,,,,"オフサイド",
="0:10:42:10","ポゼッションスタート",,,,,,
="0:10:42:10","相手チーム",,,,,,
="0:10:46:91","ポゼッションエンド",,,,,,
="0:10:46:91","相手チーム",,,,,,
="0:11:01:12",,"FK","大川圭為",,,,
="0:11:23:78",,"スローイン","三浦雅人",,,,
="0:11:29:72","ポゼッションスタート",,,,,,
="0:11:29:72","筑波大学",,,,,,
="0:12:05:85","ポゼッションエンド",,,,,,
="0:12:05:85","筑波大学",,,,,,
="0:12:05:95","相手チーム","スローイン",,,,,
="0:12:13:16",,,"渡邊陽",,"ブロック",,
="0:12:26:21","ポゼッションスタート",,,,,,
="0:12:26:21","筑波大学",,,,,,
="0:12:53:54","ポゼッションエンド",,,,,,
="0:12:53:54","筑波大学",,,,,,
="0:12:54:90",,,"渡邊陽",,"インターセプト",,
="0:12:59:81","ポゼッションスタート",,,,,,
="0:12:59:81","筑波大学",,,,,,
="0:13:05:88",,,"小林幹",,"カット",,
="0:13:08:52","ポゼッションエンド",,,,,,
="0:13:08:52","筑波大学",,,,,,
="0:13:09:62","ポゼッションスタート",,,,,,
="0:13:09:62","相手チーム",,,,,,
="0:13:13:52","ポゼッションエンド",,,,,,
="0:13:13:52","相手チーム",,,,,,
="0:13:14:96","ポゼッションスタート",,,,,,
="0:13:14:96","筑波大学",,,,,,
="0:13:25:13","ポゼッションエンド",,,,,,
="0:13:25:13","筑波大学",,,,,,
="0:13:26:63","ポゼッションスタート",,,,,,
="0:13:26:63","相手チーム",,,,,,
="0:13:37:81","ポゼッションエンド",,,,,,
