"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:42:67",,"キックオフ",,,,,
="0:00:49:31",,,"角田涼太郎",,"ブロック",,
="0:01:37:29",,"スローイン","角田涼太郎",,,,
="0:01:43:93",,,"渡邊陽",,"ブロック",,
="0:01:48:60",,,"三浦雅人",,,"ファール",
="0:02:06:02","相手チーム","FK",,,,,
="0:02:10:66",,,"角田涼太郎",,"ブロック",,
="0:02:19:87","ポゼッションスタート",,,,,,
="0:02:19:87","相手チーム",,,,,,
="0:02:24:31","ポゼッションエンド",,,,,,
="0:02:24:31","相手チーム",,,,,,
="0:02:34:58",,"GK","大川圭為",,,,
="0:02:52:07","相手チーム",,,,,"ファール",
="0:02:59:57",,"FK","森侑里",,,,
="0:03:03:75","ポゼッションスタート",,,,,,
="0:03:03:75","筑波大学",,,,,,
="0:03:19:09",,,"角田涼太郎","ドリブル",,,
="0:03:31:81","ポゼッションエンド",,,,,,
="0:03:31:81","筑波大学",,,,,,
="0:03:48:86","相手チーム","GK",,,,,
="0:04:09:01",,"スローイン","角田涼太郎",,,,
="0:04:13:05","ポゼッションスタート",,,,,,
="0:04:13:05","筑波大学",,,,,,
="0:04:24:73","ポゼッションエンド",,,,,,
="0:04:24:73","筑波大学",,,,,,
="0:04:24:79","相手チーム","スローイン",,,,,
="0:04:31:63",,,"知久航介",,"ブロック",,
="0:04:38:37","相手チーム","スローイン",,,,,
="0:04:45:48","ポゼッションスタート",,,,,,
="0:04:45:48","相手チーム",,,,,,
="0:04:47:12",,,"渡邊陽",,"ブロック",,
="0:04:53:69","ポゼッションエンド",,,,,,
="0:04:53:69","相手チーム",,,,,,
="0:04:56:86","相手チーム","CK",,,,,
="0:05:01:86","ポゼッションスタート",,,,,,
="0:05:01:86","相手チーム",,,,,,
="0:05:02:93",,,"小林幹",,"クリア",,
="0:05:09:64",,,"森侑里",,"ブロック",,
="0:05:14:21","ポゼッションエンド",,,,,,
="0:05:14:21","相手チーム",,,,,,
="0:05:17:38",,,"山原怜音",,"クリア",,
="0:05:25:32",,,"知久航介",,"ブロック",,
="0:05:30:19",,,"山原怜音",,"クリア",,
="0:05:43:41",,,"山川哲史",,"クリア",,
="0:05:58:25","相手チーム","スローイン",,,,,
="0:06:12:53","ポゼッションスタート",,,,,,
="0:06:12:53","筑波大学",,,,,,
="0:06:16:20",,,"角田涼太郎","ドリブル",,,
="0:06:46:94",,,"山川哲史","ドリブル",,,
="0:06:57:15","ポゼッションエンド",,,,,,
="0:06:57:15","筑波大学",,,,,,
="0:06:59:65","ポゼッションスタート",,,,,,
="0:06:59:65","相手チーム",,,,,,
="0:06:59:95",,,"渡邊陽",,"クリア",,
="0:07:06:99","ポゼッションエンド",,,,,,
="0:07:06:99","相手チーム",,,,,,
="0:07:08:72","ポゼッションスタート",,,,,,
="0:07:08:72","筑波大学",,,,,,
="0:07:11:53",,,"山原怜音","ドリブル",,,
="0:07:17:50",,,"犬飼翔洋","ドリブル",,,
="0:07:22:80","ポゼッションエンド",,,,,,
="0:07:22:80","筑波大学",,,,,,
="0:07:46:80",,"CK","岩本翔",,,,
="0:08:02:71","得点",,"犬飼翔洋","枠内シュート",,,
="0:08:44:59",,,"山川哲史",,"ブロック",,
="0:08:51:96","ポゼッションスタート",,,,,,
="0:08:51:96","相手チーム",,,,,,
="0:08:57:63","ポゼッションエンド",,,,,,
="0:08:57:63","相手チーム",,,,,,
="0:09:12:45",,"GK","大川圭為",,,,
="0:09:21:42",,,"犬飼翔洋",,,"ファール",
="0:09:32:47","相手チーム","FK",,,,,
="0:09:38:51",,,"森侑里",,"ブロック",,
="0:09:45:28",,,"角田涼太郎",,"ブロック",,
="0:09:54:66","相手チーム",,,,"被枠外シュート",,
="0:10:13:78",,"GK","大川圭為",,,,
="0:10:24:79","相手チーム","スローイン",,,,,
="0:10:32:06","ポゼッションスタート",,,,,,
="0:10:32:06","相手チーム",,,,,,
="0:10:35:16",,,"角田涼太郎",,"ブロック",,
="0:10:42:44",,,"大川圭為",,,,"キャッチ"
="0:10:47:61","ポゼッションエンド",,,,,,
="0:10:47:61","相手チーム",,,,,,
="0:10:49:41","ポゼッションスタート",,,,,,
="0:10:49:41","筑波大学",,,,,,
="0:11:19:77","ポゼッションエンド",,,,,,
="0:11:19:77","筑波大学",,,,,,
="0:11:31:92",,"スローイン","山原怜音",,,,
="0:11:38:53","ポゼッションスタート",,,,,,
="0:11:38:53","筑波大学",,,,,,
="0:11:44:83",,,"三浦雅人","ドリブル",,,
="0:11:51:77",,,"渡邊陽","ドリブル",,,
="0:11:57:95",,,"岩本翔","ドリブル",,,
="0:12:13:46",,,"山原怜音","ドリブル",,,
="0:12:28:68","ポゼッションエンド",,,,,,
="0:12:28:68","筑波大学",,,,,,
="0:12:37:55",,"スローイン","角田涼太郎",,,,
="0:12:46:56","ポゼッションスタート",,,,,,
="0:12:46:56","相手チーム",,,,,,
="0:12:48:60",,,"三浦雅人",,,"ファール",
="0:12:50:13","ポゼッションエンド",,,,,,
="0:12:50:13","相手チーム",,,,,,
="0:13:03:68","相手チーム","FK",,,,,
="0:13:14:09",,,"山川哲史",,"ブロック",,
="0:13:19:23",,,"知久航介",,"クリア",,
="0:13:27:54","ポゼッションスタート",,,,,,
="0:13:27:54","相手チーム",,,,,,
="0:13:36:58",,,"大川圭為",,,,"キャッチ"
="0:13:41:52","ポゼッションエンド",,,,,,
="0:13:41:52","相手チーム",,,,,,
="0:13:46:22","ポゼッションスタート",,,,,,
="0:13:46:22","筑波大学",,,,,,
="0:13:49:69",,,"小林幹","ドリブル",,,
="0:13:55:76",,,"山原怜音","ドリブル",,,
="0:13:56:70",,,"山原怜音","枠内シュート",,,
="0:14:04:34","ポゼッションエンド",,,,,,
="0:14:04:34","筑波大学",,,,,,
="0:14:09:61",,,"渡邊陽",,"カット",,
="0:14:13:25","ポゼッションスタート",,,,,,
="0:14:13:25","筑波大学",,,,,,
="0:14:31:60","ポゼッションエンド",,,,,,
="0:14:31:60","筑波大学",,,,,,
="0:14:35:84",,"スローイン","角田涼太郎",,,,
="0:14:46:25",,,"森侑里",,"インターセプト",,
="0:14:51:95","ポゼッションスタート",,,,,,
="0:14:51:95","筑波大学",,,,,,
="0:14:55:19",,,"三浦雅人","ドリブル",,,
="0:14:58:56",,,"岩本翔","ドリブル",,,
="0:14:59:59",,,"岩本翔","枠外シュート",,,
="0:15:07:47","ポゼッションエンド",,,,,,
="0:15:07:47","筑波大学",,,,,,
="0:15:17:95","相手チーム","GK",,,,,
="0:15:23:02",,,"角田涼太郎",,"インターセプト",,
="0:15:33:19","ポゼッションスタート",,,,,,
="0:15:33:19","相手チーム",,,,,,
="0:15:39:33","相手チーム",,,,"被枠外シュート",,
="0:15:42:20","ポゼッションエンド",,,,,,
="0:15:42:20","相手チーム",,,,,,
