"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:17:55","ポゼッションスタート",,,,,,
="0:00:17:55","筑波大学",,,,,,
="0:00:22:72",,"キックオフ",,,,,
="0:00:34:63",,,"三笘薫","ドリブル",,,
="0:00:35:56","ポゼッションエンド",,,,,,
="0:00:35:56","筑波大学",,,,,,
="0:00:42:14","ポゼッションスタート",,,,,,
="0:00:42:14","筑波大学",,,,,,
="0:00:43:37",,"スローイン","加藤潤",,,,
="0:00:59:19","ポゼッションエンド",,,,,,
="0:00:59:19","筑波大学",,,,,,
="0:01:07:03",,,"渡邊陽",,"カット",,
="0:01:11:87","ポゼッションスタート",,,,,,
="0:01:11:87","相手チーム",,,,,,
="0:01:20:78","ポゼッションエンド",,,,,,
="0:01:20:78","相手チーム",,,,,,
="0:01:22:01",,,"山原怜音",,"インターセプト",,
="0:01:24:81","ポゼッションスタート",,,,,,
="0:01:24:81","筑波大学",,,,,,
="0:01:30:02",,,"三笘薫","ドリブル",,,
="0:01:31:75","ポゼッションエンド",,,,,,
="0:01:31:75","筑波大学",,,,,,
="0:01:35:19",,,"加藤潤","クロス",,,
="0:02:16:30",,"CK","山原怜音",,,,
="0:02:46:39","相手チーム","GK",,,,,
="0:02:52:77",,,"角田涼太郎",,,"ファール",
="0:03:21:90","相手チーム","FK",,,,,
="0:03:38:38",,"スローイン","加藤潤",,,,
="0:03:50:33",,"スローイン","加藤潤",,,,
="0:03:52:36",,,"加藤潤",,"クリア",,
="0:03:57:00","相手チーム",,,,,"ファール",
="0:04:08:11","ポゼッションスタート",,,,,,
="0:04:08:11","筑波大学",,,,,,
="0:04:08:91",,"FK","角田涼太郎",,,,
="0:04:31:37",,,"角田涼太郎","ドリブル",,,
="0:04:36:30","ポゼッションエンド",,,,,,
="0:04:36:30","筑波大学",,,,,,
="0:04:49:45","相手チーム","スローイン",,,,,
="0:04:52:85",,,"山川哲史",,"カット",,
="0:04:58:13","ポゼッションスタート",,,,,,
="0:04:58:13","相手チーム",,,,,,
="0:05:09:74","ポゼッションエンド",,,,,,
="0:05:09:74","相手チーム",,,,,,
="0:05:10:04","相手チーム",,,,"被枠外シュート",,
="0:05:22:55",,"GK","大川圭為",,,,
="0:05:22:82","ポゼッションスタート",,,,,,
="0:05:22:82","筑波大学",,,,,,
="0:05:35:40","ポゼッションエンド",,,,,,
="0:05:35:40","筑波大学",,,,,,
="0:05:41:80",,,"高嶺朋樹",,,"ファール",
="0:05:48:34","ポゼッションスタート",,,,,,
