"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:42:37",,"キックオフ",,,,,
="0:00:49:64",,"スローイン","山原怜音",,,,
="0:00:54:02","ポゼッションスタート",,,,,,
="0:00:54:02","相手チーム",,,,,,
="0:00:57:85","ポゼッションエンド",,,,,,
="0:00:57:85","相手チーム",,,,,,
="0:00:59:19",,,"山原怜音",,"クリア",,
="0:01:05:13","相手チーム","スローイン",,,,,
="0:01:09:73","ポゼッションスタート",,,,,,
="0:01:09:73","相手チーム",,,,,,
="0:01:15:97","ポゼッションエンド",,,,,,
="0:01:15:97","相手チーム",,,,,,
="0:01:17:04",,,"山川哲史",,"ブロック",,
="0:01:26:25","ポゼッションスタート",,,,,,
="0:01:26:25","相手チーム",,,,,,
="0:01:26:45","相手チーム","スローイン",,,,,
="0:01:39:43","ポゼッションエンド",,,,,,
="0:01:39:43","相手チーム",,,,,,
="0:01:49:97",,"スローイン","山原怜音",,,,
="0:01:50:54","ポゼッションスタート",,,,,,
="0:01:50:54","相手チーム",,,,,,
="0:01:55:94","ポゼッションエンド",,,,,,
="0:01:55:94","相手チーム",,,,,,
="0:01:56:88","相手チーム",,,,"被枠外シュート",,
="0:02:20:47",,"GK","大川圭為",,,,
="0:02:24:84",,,"知久航介",,"ブロック",,
="0:02:26:98","ポゼッションスタート",,,,,,
="0:02:26:98","相手チーム",,,,,,
="0:02:31:58","ポゼッションエンド",,,,,,
="0:02:31:58","相手チーム",,,,,,
="0:02:33:28",,,"角田涼太郎",,"ブロック",,
="0:02:39:85",,,"高嶺朋樹",,,"ファール",
="0:02:57:54","相手チーム","FK",,,,,
="0:03:44:49",,"GK","大川圭為",,,,
="0:03:49:29","相手チーム",,,,,"ファール",
="0:03:50:19",,"FK","知久航介",,,,
="0:03:51:43","ポゼッションスタート",,,,,,
="0:03:51:43","筑波大学",,,,,,
="0:04:10:95","ポゼッションエンド",,,,,,
="0:04:10:95","筑波大学",,,,,,
="0:04:17:72","ポゼッションスタート",,,,,,
="0:04:17:72","筑波大学",,,,,,
="0:04:17:79",,"スローイン","加藤潤",,,,
="0:04:34:87","ポゼッションエンド",,,,,,
="0:04:34:87","筑波大学",,,,,,
="0:04:41:08","相手チーム",,,,,"ファール",
="0:04:44:75","ポゼッションスタート",,,,,,
="0:04:44:75","筑波大学",,,,,,
="0:04:46:38",,"FK","山川哲史",,,,
="0:04:47:45",,,"山原怜音","ドリブル",,,
="0:04:47:45",,,,"クロス",,,
="0:04:50:69","ポゼッションエンド",,,,,,
="0:04:50:69","筑波大学",,,,,,
="0:05:07:07",,,"三笘薫",,,"ファール",
="0:05:31:56","ポゼッションスタート",,,,,,
="0:05:31:56","相手チーム",,,,,,
="0:05:33:26","相手チーム","FK",,,,,
="0:05:55:72","ポゼッションエンド",,,,,,
="0:05:55:72","相手チーム",,,,,,
="0:05:57:25",,,"加藤潤",,"インターセプト",,
="0:05:59:99","ポゼッションスタート",,,,,,
="0:05:59:99","筑波大学",,,,,,
="0:06:11:00","ポゼッションエンド",,,,,,
="0:06:11:00","筑波大学",,,,,,
="0:06:13:20","ポゼッションスタート",,,,,,
="0:06:13:20","相手チーム",,,,,,
="0:06:18:01","ポゼッションエンド",,,,,,
="0:06:18:01","相手チーム",,,,,,
="0:06:19:01",,,"知久航介",,"インターセプト",,
="0:06:19:57","ポゼッションスタート",,,,,,
="0:06:19:57","筑波大学",,,,,,
="0:06:24:08","ポゼッションエンド",,,,,,
="0:06:24:08","筑波大学",,,,,,
="0:06:26:28","ポゼッションスタート",,,,,,
="0:06:26:28","相手チーム",,,,,,
="0:06:51:24","ポゼッションエンド",,,,,,
="0:06:51:24","相手チーム",,,,,,
="0:06:52:61",,,"加藤潤",,"インターセプト",,
="0:06:53:98","ポゼッションスタート",,,,,,
="0:06:53:98","筑波大学",,,,,,
="0:07:03:79","相手チーム",,,,,"ファール",
="0:07:10:36","ポゼッションエンド",,,,,,
="0:07:10:36","筑波大学",,,,,,
="0:07:20:40","ポゼッションスタート",,,,,,
="0:07:20:40","筑波大学",,,,,,
="0:07:22:04",,"FK","角田涼太郎",,,,
="0:07:27:71",,,"加藤潤","ドリブル",,,
="0:07:30:35","ポゼッションエンド",,,,,,
="0:07:30:35","筑波大学",,,,,,
="0:07:33:42",,,"角田涼太郎",,"クリア",,
="0:07:33:72","相手チーム",,,,,"ファール",
="0:07:48:40",,"FK","高嶺朋樹",,,,
="0:07:49:86","ポゼッションスタート",,,,,,
="0:07:49:86","筑波大学",,,,,,
="0:07:56:94","ポゼッションエンド",,,,,,
="0:07:56:94","筑波大学",,,,,,
="0:07:58:24",,,"三笘薫","ドリブル",,,
="0:08:03:81",,"スローイン","三笘薫",,,,
="0:08:04:01","ポゼッションスタート",,,,,,
="0:08:04:01","筑波大学",,,,,,
="0:08:13:19",,,"高嶺朋樹","ドリブル",,,
="0:08:19:56",,,"山原怜音","ドリブル",,,
="0:08:27:30",,,"加藤潤","クロス",,,
="0:08:27:77","ポゼッションエンド",,,,,,
="0:08:27:77","筑波大学",,,,,,
="0:08:31:24","ポゼッションスタート",,,,,,
="0:08:31:24","筑波大学",,,,,,
="0:08:47:39",,,"加藤潤","ドリブル",,,
="0:08:54:23",,,"知久航介","クロス",,,
="0:08:55:63","ポゼッションエンド",,,,,,
="0:08:55:63","筑波大学",,,,,,
="0:09:06:98",,"スローイン","高嶺朋樹",,,,
="0:09:07:28","ポゼッションスタート",,,,,,
="0:09:07:28","筑波大学",,,,,,
="0:09:26:66","ポゼッションエンド",,,,,,
="0:09:26:66","筑波大学",,,,,,
="0:09:43:95",,,"山川哲史",,"ブロック",,
="0:09:43:98","ポゼッションスタート",,,,,,
="0:09:43:98","相手チーム",,,,,,
="0:10:11:31","ポゼッションエンド",,,,,,
="0:10:11:31","相手チーム",,,,,,
="0:10:20:32","ポゼッションスタート",,,,,,
="0:10:20:32","筑波大学",,,,,,
="0:10:21:05",,"スローイン","山原怜音",,,,
="0:10:23:99","ポゼッションエンド",,,,,,
="0:10:23:99","筑波大学",,,,,,
="0:10:25:92","ポゼッションスタート",,,,,,
="0:10:25:92","相手チーム",,,,,,
="0:10:26:05",,,"知久航介",,"クリア",,
="0:10:29:79","ポゼッションエンド",,,,,,
="0:10:29:79","相手チーム",,,,,,
="0:10:32:06",,,"山川哲史",,"インターセプト",,
="0:10:36:26",,,"渡邊陽","ドリブル",,,
="0:10:37:77","ポゼッションスタート",,,,,,
="0:10:37:77","相手チーム",,,,,,
="0:10:40:37","ポゼッションエンド",,,,,,
="0:10:40:37","相手チーム",,,,,,
="0:10:41:87","ポゼッションスタート",,,,,,
="0:10:41:87","筑波大学",,,,,,
="0:10:47:31","ポゼッションエンド",,,,,,
="0:10:47:31","筑波大学",,,,,,
="0:10:51:68","ポゼッションスタート",,,,,,
="0:10:51:68","筑波大学",,,,,,
="0:10:54:38",,,"角田涼太郎","ドリブル",,,
="0:11:09:76",,,"三笘薫","ドリブル",,,
="0:11:43:33",,,"加藤潤","ドリブル",,,
="0:11:49:44","ポゼッションエンド",,,,,,
="0:11:49:44","筑波大学",,,,,,
="0:11:57:81","交代",,"渡邊陽",,,,
="0:11:57:81",,,"森海渡",,,,
="0:12:19:37",,"スローイン","加藤潤",,,,
="0:12:20:07","ポゼッションスタート",,,,,,
="0:12:20:07","筑波大学",,,,,,
="0:12:45:29","ポゼッションエンド",,,,,,
="0:12:45:29","筑波大学",,,,,,
="0:12:55:00",,"スローイン","高嶺朋樹",,,,
="0:12:57:87","ポゼッションスタート",,,,,,
="0:12:57:87","筑波大学",,,,,,
="0:13:16:49",,,"高嶺朋樹","ドリブル",,,
="0:13:20:60","ポゼッションエンド",,,,,,
="0:13:20:60","筑波大学",,,,,,
="0:13:24:40","ポゼッションスタート",,,,,,
="0:13:24:40","筑波大学",,,,,,
="0:13:25:93",,,"角田涼太郎",,"インターセプト",,
="0:13:41:55","ポゼッションエンド",,,,,,
="0:13:41:55","筑波大学",,,,,,
="0:13:55:53","相手チーム",,,,,"ファール",
="0:14:01:10",,"FK","山川哲史",,,,
="0:14:01:17","ポゼッションスタート",,,,,,
="0:14:01:17","筑波大学",,,,,,
="0:14:09:04","ポゼッションエンド",,,,,,
="0:14:09:04","筑波大学",,,,,,
="0:14:18:19","相手チーム","スローイン",,,,,
="0:14:20:82",,,"加藤潤",,"ブロック",,
="0:14:26:49","ポゼッションスタート",,,,,,
="0:14:26:49","筑波大学",,,,,,
