"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:00:48:96",,"キックオフ",,,,
="0:00:52:04","ポゼッションスタート",,,,,
="0:00:52:04","相手チーム",,,,,
="0:00:54:88",,,"井川空",,"クリア",
="0:00:55:88","ポゼッションエンド",,,,,
="0:00:55:88","相手チーム",,,,,
="0:01:01:68",,,"加藤匠人",,"ブロック",
="0:01:13:80",,"GK","阿部航斗",,,
="0:01:14:96","ポゼッションスタート",,,,,
="0:01:14:96","筑波大学",,,,,
="0:01:18:08",,,"角田涼太郎","パス",,
="0:01:24:64","ポゼッションエンド",,,,,
="0:01:24:64","筑波大学",,,,,
="0:01:29:48",,"スローイン","山原怜音",,,
="0:01:31:92","ポゼッションスタート",,,,,
="0:01:31:92","筑波大学",,,,,
="0:01:32:40",,,"角田涼太郎","パス",,
="0:01:35:88",,,"高嶺朋樹","ドリブル",,
="0:01:38:24",,,"高嶺朋樹","パス",,
="0:01:41:72",,,"山川哲史","パス",,
="0:01:48:60","ポゼッションエンド",,,,,
="0:01:48:60","筑波大学",,,,,
="0:02:19:56","相手チーム","スローイン",,,,
="0:02:28:16","相手チーム","スローイン",,,,
="0:02:29:72",,,"山川哲史",,"ブロック",
="0:02:37:28","相手チーム","スローイン",,,,
="0:02:45:40","ポゼッションスタート",,,,,
="0:02:45:40","相手チーム",,,,,
="0:02:46:00","相手チーム",,,"枠内シュート",,
="0:02:46:00","失点",,,,,
="0:02:54:08","ポゼッションエンド",,,,,
="0:02:54:08","相手チーム",,,,,
="0:03:10:44",,,"森海渡","パス",,
="0:03:11:36","ポゼッションスタート",,,,,
="0:03:11:36","筑波大学",,,,,
="0:03:12:44",,,"高嶺朋樹","パス",,
="0:03:14:16",,,"角田涼太郎","パス",,
="0:03:16:44",,,"高嶺朋樹","パス",,
="0:03:20:28",,,"山原怜音","パス",,
="0:03:21:88",,,"高嶺朋樹","パス",,
="0:03:25:68","ポゼッションエンド",,,,,
="0:03:25:68","筑波大学",,,,,
="0:03:27:52","ポゼッションスタート",,,,,
="0:03:27:52","相手チーム",,,,,
="0:03:35:36","ポゼッションエンド",,,,,
="0:03:35:36","相手チーム",,,,,
="0:03:43:72",,"GK","阿部航斗",,,
="0:03:45:12","ポゼッションスタート",,,,,
