"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:21:48",,"キックオフ",,,,,
="0:00:25:20",,,"高嶺朋樹","パス",,,
="0:00:41:40",,"スローイン",,,,,
="0:00:44:52",,,"井川空","パス",,,
="0:00:45:04","ポゼッションスタート",,,,,,
="0:00:45:04","筑波大学",,,,,,
="0:00:47:52",,,"角田涼太郎","ボールロスト",,,
="0:00:54:28","ポゼッションエンド",,,,,,
="0:00:54:28","筑波大学",,,,,,
="0:00:59:88",,"スローイン","山原怜音",,,,
="0:01:00:64",,,"三笘薫","ボールロスト",,,
="0:01:01:16","ポゼッションスタート",,,,,,
="0:01:01:16","筑波大学",,,,,,
="0:01:05:80","ポゼッションエンド",,,,,,
="0:01:05:80","筑波大学",,,,,,
="0:01:14:20",,,"山原怜音",,"インターセプト",,
="0:01:14:84","ポゼッションスタート",,,,,,
="0:01:14:84","筑波大学",,,,,,
="0:01:16:60",,,"山原怜音","パス",,,
="0:01:17:20",,,"三笘薫","ドリブル",,,
="0:01:21:56",,,"三笘薫","パス",,,
="0:01:23:40",,,"加藤匠人","ボールロスト",,,
="0:01:25:32",,,"三笘薫",,"ブロック",,
="0:01:25:68","ポゼッションエンド",,,,,,
="0:01:25:68","筑波大学",,,,,,
="0:02:00:20","得点",,"三笘薫","シュート",,,
="0:02:37:48","ポゼッションスタート",,,,,,
="0:02:37:48","相手チーム",,,,,,
="0:02:44:28",,,"井川空",,"インターセプト",,
="0:02:45:36",,,"井川空","ボールロスト",,,
="0:02:46:92","ポゼッションエンド",,,,,,
="0:02:46:92","相手チーム",,,,,,
="0:02:48:64","ポゼッションスタート",,,,,,
="0:02:48:64","相手チーム",,,,,,
="0:02:59:08",,,"井川空",,"ブロック",,
="0:03:01:92","ポゼッションエンド",,,,,,
="0:03:01:92","相手チーム",,,,,,
="0:03:37:24","相手チーム","CK",,,,,
="0:03:40:68",,,"三笘薫",,"ブロック",,
="0:03:43:44",,,"加藤匠人","パス",,,
="0:04:08:04",,"スローイン","井川空",,,,
="0:04:08:12",,,"池谷祐輔","パス",,,
="0:04:08:36","ポゼッションスタート",,,,,,
="0:04:08:36","筑波大学",,,,,,
="0:04:10:20",,,"井川空","パス",,,
="0:04:12:08",,,"高嶺朋樹","パス",,,
="0:04:15:72",,,"山川哲史","パス",,,
="0:04:20:51",,,"三笘薫","パス",,,
="0:04:23:04",,,"加藤匠人","ボールロスト",,,
="0:04:27:24","ポゼッションエンド",,,,,,
="0:04:27:24","筑波大学",,,,,,
="0:04:45:28","ポゼッションスタート",,,,,,
="0:04:45:28","筑波大学",,,,,,
="0:04:49:12",,,"井川空","パス",,,
="0:04:52:44",,,"角田涼太郎","パス",,,
="0:04:53:64",,,"山原怜音","パス",,,
="0:04:55:92",,,"三笘薫","パス",,,
="0:04:57:84",,,"渡邊陽","パス",,,
="0:04:58:92",,,"山原怜音","パス",,,
="0:05:03:76",,,"角田涼太郎","パス",,,
="0:05:06:08","ポゼッションエンド",,,,,,
="0:05:06:08","筑波大学",,,,,,
="0:05:16:88",,"スローイン","山原怜音",,,,
="0:05:19:44",,,"加藤匠人",,,"ファール",
="0:05:42:76","ポゼッションスタート",,,,,,
="0:05:42:76","相手チーム",,,,,,
="0:05:53:56",,,"山川哲史",,"ブロック",,
="0:05:54:28",,,"阿部航斗",,"セービング",,
="0:05:55:80","ポゼッションエンド",,,,,,
="0:05:55:80","相手チーム",,,,,,
="0:05:59:32",,,"阿部航斗","パス",,,
="0:05:59:92","ポゼッションスタート",,,,,,
="0:05:59:92","筑波大学",,,,,,
="0:06:02:36",,,"井川空","パス",,,
="0:06:03:16",,,"阿部航斗","ボールロスト",,,
="0:06:13:44",,,"三笘薫",,"インターセプト",,
="0:06:14:32",,,"山川哲史","ボールロスト",,,
="0:06:19:28","ポゼッションエンド",,,,,,
="0:06:19:28","筑波大学",,,,,,
="0:06:23:08","ポゼッションスタート",,,,,,
="0:06:23:08","相手チーム",,,,,,
="0:06:24:88",,,"角田涼太郎",,"カット",,
="0:06:28:68",,,"角田涼太郎","ドリブル",,,
="0:06:28:88","ポゼッションエンド",,,,,,
="0:06:28:88","相手チーム",,,,,,
="0:06:30:00","ポゼッションスタート",,,,,,
="0:06:30:00","筑波大学",,,,,,
="0:06:32:12",,,"角田涼太郎","パス",,,
="0:06:35:04",,,"森海渡","パス",,,
="0:06:37:48","得点",,"加藤匠人","シュート",,,
="0:06:40:96","ポゼッションエンド",,,,,,
="0:06:40:96","筑波大学",,,,,,
="0:07:31:48","ポゼッションスタート",,,,,,
="0:07:31:48","相手チーム",,,,,,
="0:07:38:32","ポゼッションエンド",,,,,,
="0:07:38:32","相手チーム",,,,,,
="0:07:45:56","ポゼッションスタート",,,,,,
="0:07:45:56","相手チーム",,,,,,
="0:07:47:68",,,"井川空",,"ブロック",,
="0:07:52:92","ポゼッションエンド",,,,,,
="0:07:52:92","相手チーム",,,,,,
="0:08:18:08","ポゼッションスタート",,,,,,
="0:08:18:08","相手チーム",,,,,,
="0:08:19:28",,,"山川哲史",,"ブロック",,
="0:08:22:64",,,"阿部航斗",,"セービング",,
="0:08:24:40","ポゼッションエンド",,,,,,
="0:08:24:40","相手チーム",,,,,,
="0:08:29:52",,,"阿部航斗","パス",,,
="0:08:31:12","ポゼッションスタート",,,,,,
="0:08:31:12","筑波大学",,,,,,
="0:08:31:88",,,"高嶺朋樹","パス",,,
="0:08:37:72",,,"三笘薫","パス",,,
="0:08:38:60",,,"井川空","パス",,,
="0:08:40:36",,,"渡邊陽","パス",,,
="0:08:42:32",,,"角田涼太郎","パス",,,
="0:08:45:52",,,"阿部航斗","パス",,,
="0:08:48:68",,,"山原怜音","ドリブル",,,
="0:08:50:44",,,"山原怜音","ボールロスト",,,
="0:08:56:12","ポゼッションエンド",,,,,,
="0:08:56:12","筑波大学",,,,,,
="0:08:59:40","ポゼッションスタート",,,,,,
="0:08:59:40","相手チーム",,,,,,
="0:09:09:96","ポゼッションエンド",,,,,,
="0:09:09:96","相手チーム",,,,,,
="0:09:16:84",,,"井川空","ボールロスト",,,
="0:09:21:88","ポゼッションスタート",,,,,,
="0:09:21:88","相手チーム",,,,,,
="0:09:26:92",,,"山原怜音",,"ブロック",,
="0:09:29:20","ポゼッションエンド",,,,,,
="0:09:29:20","相手チーム",,,,,,
="0:09:43:08","ポゼッションスタート",,,,,,
="0:09:43:08","相手チーム",,,,,,
="0:09:54:84",,,"角田涼太郎",,"ブロック",,
="0:09:55:92",,,"三笘薫",,"カット",,
="0:09:56:64",,,"三笘薫","ドリブル",,,
="0:09:56:84","ポゼッションエンド",,,,,,
="0:09:56:84","相手チーム",,,,,,
="0:09:58:20","ポゼッションスタート",,,,,,
="0:09:58:20","筑波大学",,,,,,
="0:10:01:32",,,"三笘薫","ボールロスト",,,
="0:10:03:52","ポゼッションエンド",,,,,,
="0:10:03:52","筑波大学",,,,,,
="0:10:11:40",,,"角田涼太郎","パス",,,
="0:10:14:00","ポゼッションスタート",,,,,,
="0:10:14:00","筑波大学",,,,,,
="0:10:14:36",,,"阿部航斗","パス",,,
="0:10:20:04",,,"山川哲史","パス",,,
="0:10:22:80",,,"山原怜音","パス",,,
="0:10:24:44",,,"池谷祐輔","パス",,,
="0:10:25:84",,,"高嶺朋樹","パス",,,
="0:10:27:28",,,"山川哲史","パス",,,
="0:10:29:80",,,"高嶺朋樹","ドリブル",,,
="0:10:34:32",,,"高嶺朋樹","パス",,,
="0:10:37:80",,,"知久航介","パス",,,
="0:10:40:44",,,"池谷祐輔","パス",,,
="0:10:42:12",,,"渡邊陽","パス",,,
="0:10:46:92",,,"加藤匠人","パス",,,
="0:10:49:32",,,"池谷祐輔","パス",,,
="0:10:51:56",,,"森海渡","パス",,,
="0:10:53:28",,,"三笘薫","ボールロスト",,,
="0:10:54:72","ポゼッションエンド",,,,,,
="0:10:54:72","筑波大学",,,,,,
="0:11:01:44",,,"渡邊陽",,"カット",,
="0:11:03:28",,,"井川空","パス",,,
="0:11:03:68","ポゼッションスタート",,,,,,
="0:11:03:68","筑波大学",,,,,,
="0:11:09:40",,,"高嶺朋樹","パス",,,
="0:11:11:76",,,"渡邊陽","パス",,,
="0:11:13:84",,,"山川哲史","パス",,,
="0:11:16:36",,,"知久航介","パス",,,
="0:11:21:72",,,"高嶺朋樹","パス",,,
="0:11:23:00",,,"山川哲史","ボールロスト",,,
="0:11:30:16",,,"山川哲史","パス",,,
="0:11:39:28",,,"山川哲史","パス",,,
="0:11:41:12",,,"池谷祐輔","パス",,,
="0:11:43:84",,,"知久航介","ボールロスト",,,
="0:11:44:60","ポゼッションエンド",,,,,,
="0:11:44:60","筑波大学",,,,,,
="0:11:49:04","ポゼッションスタート",,,,,,
="0:11:49:04","相手チーム",,,,,,
="0:11:57:32","ポゼッションエンド",,,,,,
="0:11:57:32","相手チーム",,,,,,
="0:12:26:40",,"スローイン","知久航介",,,,
="0:12:26:48",,,"高嶺朋樹","ボールロスト",,,
="0:12:27:76","ポゼッションスタート",,,,,,
="0:12:27:76","相手チーム",,,,,,
="0:12:34:00",,,"山川哲史",,"ブロック",,
="0:12:37:12",,,"三笘薫","ドリブル",,,
="0:12:37:64","ポゼッションエンド",,,,,,
="0:12:37:64","相手チーム",,,,,,
="0:12:39:84","ポゼッションスタート",,,,,,
="0:12:39:84","筑波大学",,,,,,
="0:12:44:44",,,"三笘薫","ボールロスト",,,
="0:12:47:84","ポゼッションエンド",,,,,,
="0:12:47:84","筑波大学",,,,,,
="0:12:49:40","ポゼッションスタート",,,,,,
="0:12:49:40","相手チーム",,,,,,
="0:12:55:96","ポゼッションエンド",,,,,,
="0:12:55:96","相手チーム",,,,,,
="0:12:58:24",,,"高嶺朋樹","パス",,,
="0:12:58:92",,,"渡邊陽","パス",,,
="0:12:59:08","ポゼッションスタート",,,,,,
="0:12:59:08","筑波大学",,,,,,
="0:12:59:92",,,"森海渡","パス",,,
="0:13:01:40",,,"渡邊陽","パス",,,
="0:13:07:08",,,"加藤匠人","パス",,,
="0:13:08:32",,,"角田涼太郎","パス",,,
="0:13:08:80",,,"三笘薫","パス",,,
="0:13:11:52",,,"角田涼太郎","パス",,,
="0:13:14:76",,,"渡邊陽","ボールロスト",,,
="0:13:16:88","ポゼッションエンド",,,,,,
="0:13:16:88","筑波大学",,,,,,
="0:13:18:88",,,"阿部航斗",,"インターセプト",,
