"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:00:83","ポゼッションスタート",,,,,,
="0:00:00:83","筑波大学",,,,,,
="0:00:04:13","ポゼッションエンド",,,,,,
="0:00:04:13","筑波大学",,,,,,
="0:00:04:63",,"キックオフ",,,,,
="0:00:15:64",,"スローイン","角田涼太郎",,,,
="0:00:19:38","ポゼッションスタート",,,,,,
="0:00:19:38","筑波大学",,,,,,
="0:00:20:38",,,"渡邊陽",,"インターセプト",,
="0:00:39:50","ポゼッションエンド",,,,,,
="0:00:39:50","筑波大学",,,,,,
="0:00:49:44","相手チーム","スローイン",,,,,
="0:00:54:58",,,"角田涼太郎",,"ブロック",,
="0:01:03:53","相手チーム","スローイン",,,,,
="0:01:04:73","ポゼッションスタート",,,,,,
="0:01:04:73","相手チーム",,,,,,
="0:01:09:73","ポゼッションエンド",,,,,,
="0:01:09:73","相手チーム",,,,,,
="0:01:12:00",,,"角田涼太郎",,"カット",,
="0:01:12:97","ポゼッションスタート",,,,,,
="0:01:12:97","相手チーム",,,,,,
="0:01:21:94","ポゼッションエンド",,,,,,
="0:01:21:94","相手チーム",,,,,,
="0:01:31:42",,"GK","大川圭為",,,,
="0:01:31:92","ポゼッションスタート",,,,,,
="0:01:31:92","筑波大学",,,,,,
="0:01:58:48",,,"渡邊陽","ドリブル",,,
="0:02:03:75",,,"三笘薫","ドリブル",,,
="0:02:08:56",,,"山原怜音","ドリブル",,,
="0:02:09:39",,,"山原怜音","クロス",,,
="0:02:09:69","ポゼッションエンド",,,,,,
="0:02:09:69","筑波大学",,,,,,
="0:02:23:34","ポゼッションスタート",,,,,,
="0:02:23:34","筑波大学",,,,,,
="0:02:32:71",,,"山原怜音","ドリブル",,,
="0:02:33:31","ポゼッションエンド",,,,,,
="0:02:33:31","筑波大学",,,,,,
="0:02:35:18","相手チーム",,,,,"ファール",
="0:02:49:83",,"FK","角田涼太郎",,,,
="0:02:49:86","ポゼッションスタート",,,,,,
="0:02:49:86","筑波大学",,,,,,
="0:03:35:58",,,"三笘薫","ドリブル",,,
="0:03:42:75","ポゼッションエンド",,,,,,
="0:03:42:75","筑波大学",,,,,,
="0:03:42:92",,,"山川哲史",,"ブロック",,
="0:03:46:52","ポゼッションスタート",,,,,,
="0:03:46:52","相手チーム",,,,,,
="0:04:14:48","ポゼッションエンド",,,,,,
="0:04:14:48","相手チーム",,,,,,
="0:04:15:28",,,"山川哲史",,"カット",,
="0:04:16:08",,,"山川哲史",,"クリア",,
="0:04:55:29","相手チーム","CK",,,,,
="0:04:58:96",,,"山川哲史",,"クリア",,
="0:04:59:73","ポゼッションスタート",,,,,,
="0:04:59:73","相手チーム",,,,,,
="0:05:14:91","ポゼッションエンド",,,,,,
="0:05:14:91","相手チーム",,,,,,
="0:05:17:98","ポゼッションスタート",,,,,,
="0:05:17:98","筑波大学",,,,,,
="0:05:21:52",,,"高嶺朋樹","ドリブル",,,
="0:05:30:26","ポゼッションエンド",,,,,,
="0:05:30:26","筑波大学",,,,,,
="0:05:31:13",,,"犬飼翔洋",,,"ファール",
="0:05:34:56","ポゼッションスタート",,,,,,
="0:05:34:56","相手チーム",,,,,,
="0:05:38:00","相手チーム","FK",,,,,
="0:06:03:63",,,"山川哲史",,"クリア",,
="0:06:24:18","ポゼッションエンド",,,,,,
="0:06:24:18","相手チーム",,,,,,
="0:06:24:71",,,"犬飼翔洋",,"ブロック",,
="0:06:31:79","ポゼッションスタート",,,,,,
="0:06:31:79","相手チーム",,,,,,
="0:06:34:89","相手チーム","スローイン",,,,,
="0:06:39:19","ポゼッションエンド",,,,,,
="0:06:39:19","相手チーム",,,,,,
="0:06:41:03","相手チーム",,,,"被枠外シュート",,
="0:06:47:30",,"GK","大川圭為",,,,
="0:06:47:84","ポゼッションスタート",,,,,,
="0:06:47:84","筑波大学",,,,,,
="0:07:26:01",,,"三笘薫","ドリブル",,,
="0:07:28:91","ポゼッションエンド",,,,,,
="0:07:28:91","筑波大学",,,,,,
="0:07:30:45","ポゼッションスタート",,,,,,
="0:07:30:45","相手チーム",,,,,,
="0:07:37:92","ポゼッションエンド",,,,,,
="0:07:37:92","相手チーム",,,,,,
="0:07:39:12",,,"犬飼翔洋",,,"ファール",
="0:07:47:96","ポゼッションスタート",,,,,,
="0:07:47:96","相手チーム",,,,,,
="0:07:48:33","相手チーム","FK",,,,,
="0:08:06:41","ポゼッションエンド",,,,,,
="0:08:06:41","相手チーム",,,,,,
="0:08:10:62","ポゼッションスタート",,,,,,
="0:08:10:62","相手チーム",,,,,,
="0:08:11:09",,,"高嶺朋樹",,"インターセプト",,
="0:08:46:19",,,"角田涼太郎",,"クリア",,
="0:08:48:99","ポゼッションエンド",,,,,,
="0:08:48:99","相手チーム",,,,,,
="0:08:51:03",,,"渡邊陽",,,"ファール",
="0:08:51:73","相手チーム","FK",,,,,
="0:08:53:53","ポゼッションスタート",,,,,,
="0:08:53:53","相手チーム",,,,,,
="0:09:21:32",,,"森侑里",,"ブロック",,
="0:09:23:12","ポゼッションエンド",,,,,,
="0:09:23:12","相手チーム",,,,,,
="0:09:25:46","ポゼッションスタート",,,,,,
="0:09:25:46","筑波大学",,,,,,
="0:09:28:96",,,"三笘薫","ドリブル",,,
="0:09:39:01","ポゼッションエンド",,,,,,
="0:09:39:01","筑波大学",,,,,,
="0:09:39:81",,,"小林幹","枠外シュート",,,
="0:09:52:69","ポゼッションスタート",,,,,,
="0:09:52:69","筑波大学",,,,,,
="0:09:53:99",,"FK","渡邊陽",,,,
="0:10:11:11","ポゼッションエンド",,,,,,
="0:10:11:11","筑波大学",,,,,,
="0:10:14:71","ポゼッションスタート",,,,,,
="0:10:14:71","筑波大学",,,,,,
="0:10:16:08",,,"高嶺朋樹",,"インターセプト",,
="0:10:31:63","ポゼッションエンド",,,,,,
="0:10:31:63","筑波大学",,,,,,
="0:10:34:26","ポゼッションスタート",,,,,,
="0:10:34:26","相手チーム",,,,,,
="0:11:01:86","ポゼッションエンド",,,,,,
="0:11:01:86","相手チーム",,,,,,
="0:11:09:63",,,"山川哲史",,"クリア",,
="0:11:10:83","ポゼッションスタート",,,,,,
="0:11:10:83","相手チーム",,,,,,
="0:11:37:29","ポゼッションエンド",,,,,,
="0:11:37:29","相手チーム",,,,,,
="0:11:37:76",,,"知久航介",,"インターセプト",,
="0:11:47:54",,"スローイン","小林幹",,,,
="0:11:48:34","ポゼッションスタート",,,,,,
="0:11:48:34","筑波大学",,,,,,
="0:12:10:69","ポゼッションエンド",,,,,,
="0:12:10:69","筑波大学",,,,,,
="0:12:18:97",,,"森侑里",,"シュートブロック",,
="0:12:47:96",,,"高嶺朋樹","クロス",,,
="0:13:27:40",,"CK","高嶺朋樹",,,,
="0:14:10:28",,"CK","山原怜音",,,,
="0:14:14:95","得点",,"高嶺朋樹","枠内シュート",,,
="0:14:48:38","ポゼッションスタート",,,,,,
="0:14:48:38","相手チーム",,,,,,
="0:15:09:57","ポゼッションエンド",,,,,,
="0:15:09:57","相手チーム",,,,,,
="0:15:13:38","ポゼッションスタート",,,,,,
="0:15:13:38","筑波大学",,,,,,
="0:15:17:88","ポゼッションエンド",,,,,,
="0:15:17:88","筑波大学",,,,,,
="0:15:25:82","ポゼッションスタート",,,,,,
="0:15:25:82","相手チーム",,,,,,
="0:15:58:29",,,"山原怜音",,"クリア",,
="0:16:00:06","ポゼッションエンド",,,,,,
="0:16:00:06","相手チーム",,,,,,
="0:16:05:23",,,"犬飼翔洋",,,"ファール",
="0:16:13:64","ポゼッションスタート",,,,,,
="0:16:13:64","相手チーム",,,,,,
="0:16:14:54","相手チーム","FK",,,,,
="0:16:53:74",,,"小林幹",,"カット",,
="0:17:04:22","ポゼッションエンド",,,,,,
="0:17:04:22","相手チーム",,,,,,
="0:17:04:52",,,"山川哲史",,"ブロック",,
="0:17:04:52",,,,,"クリア",,
="0:17:19:50","相手チーム","スローイン",,,,,
="0:17:20:90","ポゼッションスタート",,,,,,
="0:17:20:90","相手チーム",,,,,,
="0:17:46:06","ポゼッションエンド",,,,,,
="0:17:46:06","相手チーム",,,,,,
="0:17:51:80",,"GK","大川圭為",,,,
="0:17:54:77","ポゼッションスタート",,,,,,
="0:17:54:77","筑波大学",,,,,,
="0:18:11:52","ポゼッションエンド",,,,,,
="0:18:11:52","筑波大学",,,,,,
="0:18:15:46","ポゼッションスタート",,,,,,
="0:18:15:46","相手チーム",,,,,,
="0:18:38:08","ポゼッションエンド",,,,,,
="0:18:38:08","相手チーム",,,,,,
="0:18:38:21",,,"山川哲史",,"シュートブロック",,
="0:19:15:45","相手チーム","CK",,,,,
="0:19:20:19",,,"大川圭為",,,,"キャッチ"
="0:19:38:24","ポゼッションスタート",,,,,,
="0:19:38:24","筑波大学",,,,,,
="0:19:39:04",,"スローイン","三笘薫",,,,
="0:20:22:25",,,"三笘薫","ドリブル",,,
="0:20:29:06","ポゼッションエンド",,,,,,
="0:20:29:06","筑波大学",,,,,,
="0:20:29:12",,,"山川哲史",,"インターセプト",,
="0:20:38:93","ポゼッションスタート",,,,,,
="0:20:38:93","筑波大学",,,,,,
="0:20:42:80",,,"高嶺朋樹",,"インターセプト",,
="0:21:02:82","ポゼッションエンド",,,,,,
="0:21:02:82","筑波大学",,,,,,
="0:21:05:93",,,"山原怜音",,,"オフサイド",
="0:21:34:59","相手チーム","FK",,,,,
="0:21:38:73",,,"角田涼太郎",,"ブロック",,
="0:21:51:64","相手チーム","スローイン",,,,,
="0:21:58:68",,,"森侑里",,"クリア",,
="0:22:20:00","相手チーム","スローイン",,,,,
="0:22:30:45",,,"山川哲史",,"ブロック",,
="0:22:32:21","ポゼッションスタート",,,,,,
="0:22:32:21","筑波大学",,,,,,
="0:22:46:56",,,"渡邊陽",,"インターセプト",,
="0:22:49:73","ポゼッションエンド",,,,,,
="0:22:49:73","筑波大学",,,,,,
="0:22:52:20","ポゼッションスタート",,,,,,
="0:22:52:20","相手チーム",,,,,,
="0:23:06:92","ポゼッションエンド",,,,,,
="0:23:06:92","相手チーム",,,,,,
="0:23:07:85",,,"三笘薫",,"カット",,
="0:23:10:39","ポゼッションスタート",,,,,,
="0:23:10:39","筑波大学",,,,,,
="0:23:43:99","ポゼッションエンド",,,,,,
="0:23:43:99","筑波大学",,,,,,
="0:23:44:35",,,"渡邊陽",,"カット",,
="0:23:50:26","ポゼッションスタート",,,,,,
="0:23:50:26","相手チーム",,,,,,
="0:24:16:82",,,"山川哲史",,"ブロック",,
="0:24:18:82","ポゼッションエンド",,,,,,
="0:24:18:82","相手チーム",,,,,,
="0:24:23:66",,,"大川圭為",,"クリア",,
="0:24:29:03","ポゼッションスタート",,,,,,
="0:24:29:03","筑波大学",,,,,,
="0:24:32:47",,,"小林幹",,"カット",,
="0:24:39:87",,,"渡邊陽","ドリブル",,,
="0:24:44:21","ポゼッションエンド",,,,,,
="0:24:44:21","筑波大学",,,,,,
="0:24:51:52","相手チーム","スローイン",,,,,
="0:24:52:05","ポゼッションスタート",,,,,,
="0:24:52:05","相手チーム",,,,,,
="0:25:18:81","ポゼッションエンド",,,,,,
="0:25:18:81","相手チーム",,,,,,
