"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:07:20",,"キックオフ",,,,,
="0:00:19:05",,"スローイン","角田涼太郎",,,,
="0:00:22:92","ポゼッションスタート",,,,,,
="0:00:22:92","筑波大学",,,,,,
="0:00:31:16","ポゼッションエンド",,,,,,
="0:00:31:16","筑波大学",,,,,,
="0:00:41:67",,"スローイン","角田涼太郎",,,,
="0:00:42:10","ポゼッションスタート",,,,,,
="0:00:42:10","筑波大学",,,,,,
="0:01:03:96","相手チーム",,,,,"ファール",
="0:01:05:36","ポゼッションエンド",,,,,,
="0:01:05:36","筑波大学",,,,,,
="0:01:42:43","ポゼッションスタート",,,,,,
="0:01:42:43","筑波大学",,,,,,
="0:01:43:20",,"FK","高嶺朋樹",,,,
="0:01:51:71","ポゼッションエンド",,,,,,
="0:01:51:71","筑波大学",,,,,,
="0:02:01:12",,,"山川哲史",,"クリア",,
="0:02:12:49","相手チーム","スローイン",,,,,
="0:02:19:93",,,"渡邊陽",,"カット",,
="0:02:20:67","ポゼッションスタート",,,,,,
="0:02:20:67","相手チーム",,,,,,
="0:02:39:82",,,"森侑里",,"ブロック",,
="0:02:45:39",,,"山川哲史",,"クリア",,
="0:02:49:96","ポゼッションエンド",,,,,,
="0:02:49:96","相手チーム",,,,,,
="0:02:52:33","ポゼッションスタート",,,,,,
="0:02:52:33","筑波大学",,,,,,
="0:02:54:74",,,"山原怜音","ドリブル",,,
="0:03:03:35",,,"山原怜音","枠外シュート",,,
="0:03:03:65","ポゼッションエンド",,,,,,
="0:03:03:65","筑波大学",,,,,,
="0:03:44:15",,"CK","山原怜音",,,,
="0:03:56:53",,,"犬飼翔洋","枠外シュート",,,
="0:04:18:49",,,"角田涼太郎",,"ブロック",,
="0:04:21:16","ポゼッションスタート",,,,,,
="0:04:21:16","筑波大学",,,,,,
="0:04:41:74","ポゼッションエンド",,,,,,
="0:04:41:74","筑波大学",,,,,,
="0:04:43:58","ポゼッションスタート",,,,,,
="0:04:43:58","相手チーム",,,,,,
="0:05:16:28","ポゼッションエンド",,,,,,
="0:05:16:28","相手チーム",,,,,,
="0:05:18:35",,,"三笘薫","ドリブル",,,
="0:05:18:38","ポゼッションスタート",,,,,,
="0:05:18:38","筑波大学",,,,,,
="0:05:22:32","ポゼッションエンド",,,,,,
="0:05:22:32","筑波大学",,,,,,
="0:05:25:39","ポゼッションスタート",,,,,,
="0:05:25:39","相手チーム",,,,,,
="0:06:05:19","ポゼッションエンド",,,,,,
="0:06:05:19","相手チーム",,,,,,
="0:06:06:76",,,"小林幹",,"カット",,
="0:06:08:06","ポゼッションスタート",,,,,,
="0:06:08:06","筑波大学",,,,,,
="0:06:11:80","ポゼッションエンド",,,,,,
="0:06:11:80","筑波大学",,,,,,
="0:06:13:57","ポゼッションスタート",,,,,,
="0:06:13:57","相手チーム",,,,,,
="0:06:28:28","ポゼッションエンド",,,,,,
="0:06:28:28","相手チーム",,,,,,
="0:06:29:22",,,"森侑里",,"インターセプト",,
="0:06:34:86","ポゼッションスタート",,,,,,
="0:06:34:86","相手チーム",,,,,,
="0:06:51:14","ポゼッションエンド",,,,,,
="0:06:51:14","相手チーム",,,,,,
="0:06:52:87",,,"山原怜音",,"カット",,
="0:06:57:51","ポゼッションスタート",,,,,,
="0:06:57:51","筑波大学",,,,,,
="0:07:12:93",,,"渡邊陽","ドリブル",,,
="0:07:28:11","ポゼッションエンド",,,,,,
="0:07:28:11","筑波大学",,,,,,
="0:07:37:69",,,"山原怜音","クロス",,,
="0:07:54:64",,"CK","山原怜音",,,,
="0:07:58:81",,,"三笘薫","ドリブル",,,
="0:07:59:74",,,"三笘薫","クロス",,,
="0:08:04:35","ポゼッションスタート",,,,,,
="0:08:04:35","筑波大学",,,,,,
="0:08:12:22","ポゼッションエンド",,,,,,
="0:08:12:22","筑波大学",,,,,,
="0:08:17:26","ポゼッションスタート",,,,,,
="0:08:17:26","筑波大学",,,,,,
="0:08:28:40","ポゼッションエンド",,,,,,
="0:08:28:40","筑波大学",,,,,,
="0:08:30:57","相手チーム",,,,,"ファール",
="0:09:49:92",,"FK","山原怜音",,,,
="0:09:51:79",,,"山原怜音","枠内シュート",,,
="0:09:54:09","得点",,"知久航介","枠内シュート",,,
="0:09:55:19","筑波大学",,,,,,
="0:09:55:19","得点",,,,,,
="0:10:28:96","ポゼッションスタート",,,,,,
="0:10:28:96","相手チーム",,,,,,
="0:10:37:53","ポゼッションエンド",,,,,,
="0:10:37:53","相手チーム",,,,,,
="0:10:46:14",,"GK","大川圭為",,,,
="0:10:51:48","ポゼッションスタート",,,,,,
="0:10:51:48","筑波大学",,,,,,
="0:11:07:26",,,"山原怜音","ドリブル",,,
="0:11:08:10",,,"山原怜音","クロス",,,
="0:11:08:83","ポゼッションエンド",,,,,,
="0:11:08:83","筑波大学",,,,,,
="0:11:30:02",,,"三笘薫","ドリブル",,,
="0:11:36:86","相手チーム",,,,,"ファール",
="0:11:40:03","ポゼッションスタート",,,,,,
="0:11:40:03","筑波大学",,,,,,
="0:11:44:83",,"FK","高嶺朋樹",,,,
="0:11:56:21","ポゼッションエンド",,,,,,
="0:11:56:21","筑波大学",,,,,,
="0:12:02:05","ポゼッションスタート",,,,,,
="0:12:02:05","筑波大学",,,,,,
="0:12:19:37",,,"小林幹","枠外シュート",,,
="0:12:20:47","ポゼッションエンド",,,,,,
="0:12:20:47","筑波大学",,,,,,
="0:12:50:63","相手チーム","GK",,,,,
="0:12:55:84","ポゼッションスタート",,,,,,
="0:12:55:84","筑波大学",,,,,,
="0:12:56:74",,,"高嶺朋樹",,"ブロック",,
="0:13:14:42","ポゼッションエンド",,,,,,
="0:13:14:42","筑波大学",,,,,,
="0:13:22:23","ポゼッションスタート",,,,,,
="0:13:22:23","筑波大学",,,,,,
="0:13:22:93",,"スローイン","知久航介",,,,
="0:13:34:64",,,"山原怜音","ドリブル",,,
="0:13:35:48",,,"山原怜音","クロス",,,
="0:13:39:11","ポゼッションエンド",,,,,,
="0:13:39:11","筑波大学",,,,,,
="0:13:42:32",,,"犬飼翔洋","枠内シュート",,,
="0:14:18:02",,"CK","高嶺朋樹",,,,
="0:14:21:09",,,"山原怜音","クロス",,,
="0:14:33:03","ポゼッションスタート",,,,,,
="0:14:33:03","筑波大学",,,,,,
="0:14:54:79","ポゼッションエンド",,,,,,
="0:14:54:79","筑波大学",,,,,,
="0:14:58:59","相手チーム",,,,,"ファール",
="0:15:06:53","ポゼッションスタート",,,,,,
="0:15:06:53","筑波大学",,,,,,
="0:15:07:10",,"FK","高嶺朋樹",,,,
="0:15:13:51","ポゼッションエンド",,,,,,
="0:15:13:51","筑波大学",,,,,,
="0:15:20:02","ポゼッションスタート",,,,,,
="0:15:20:02","筑波大学",,,,,,
="0:15:21:38",,,"山原怜音",,"インターセプト",,
="0:15:21:52",,,"山原怜音","ドリブル",,,
="0:15:26:19",,,"犬飼翔洋","ドリブル",,,
="0:15:29:16","ポゼッションエンド",,,,,,
="0:15:29:16","筑波大学",,,,,,
="0:15:56:82",,,"森侑里",,"ブロック",,
="0:15:57:52","相手チーム","GK",,,,,
="0:15:59:02","ポゼッションスタート",,,,,,
="0:15:59:02","筑波大学",,,,,,
="0:16:16:71",,,"高嶺朋樹",,"インターセプト",,
="0:16:41:90",,,"山原怜音","枠内シュート",,,
="0:16:42:20","ポゼッションエンド",,,,,,
="0:16:42:20","筑波大学",,,,,,
="0:16:48:10","ポゼッションスタート",,,,,,
="0:16:48:10","相手チーム",,,,,,
="0:16:53:94","ポゼッションエンド",,,,,,
="0:16:53:94","相手チーム",,,,,,
="0:17:01:18","ポゼッションスタート",,,,,,
="0:17:01:18","筑波大学",,,,,,
="0:17:08:36",,"FK","高嶺朋樹",,,,
="0:17:36:62","ポゼッションエンド",,,,,,
="0:17:36:62","筑波大学",,,,,,
="0:17:46:29",,,"渡邊陽",,,"ファール",
="0:18:15:32","相手チーム","FK",,,,,
="0:18:29:94",,"GK","大川圭為",,,,
="0:18:30:61","ポゼッションスタート",,,,,,
="0:18:30:61","筑波大学",,,,,,
="0:19:00:30",,,"知久航介","ドリブル",,,
="0:19:03:74","ポゼッションエンド",,,,,,
="0:19:03:74","筑波大学",,,,,,
="0:19:08:94",,,"渡邊陽",,,"ファール",
="0:19:40:28","相手チーム","FK",,,,,
="0:19:44:18",,,"山川哲史",,"ブロック",,
="0:19:53:02",,,"知久航介",,"クリア",,
="0:19:57:19","相手チーム","スローイン",,,,,
="0:20:04:37",,,"犬飼翔洋","ドリブル",,,
="0:20:14:84","ポゼッションスタート",,,,,,
="0:20:14:84","相手チーム",,,,,,
="0:20:28:12",,,"森侑里",,"クリア",,
="0:20:41:40",,,"角田涼太郎",,"カット",,
="0:20:57:55","ポゼッションエンド",,,,,,
="0:20:57:55","相手チーム",,,,,,
="0:21:04:19","相手チーム","スローイン",,,,,
="0:21:05:36","ポゼッションスタート",,,,,,
="0:21:05:36","相手チーム",,,,,,
="0:21:22:08","ポゼッションエンド",,,,,,
="0:21:22:08","相手チーム",,,,,,
="0:21:22:41",,,"高嶺朋樹","ドリブル",,,
="0:21:23:58","ポゼッションスタート",,,,,,
="0:21:23:58","筑波大学",,,,,,
="0:21:56:88",,,"角田涼太郎","ドリブル",,,
="0:22:15:60",,,"知久航介","ドリブル",,,
="0:22:18:70","ポゼッションエンド",,,,,,
="0:22:18:70","筑波大学",,,,,,
="0:22:20:24",,,"知久航介",,,"ファール",
="0:23:02:28","相手チーム","FK",,,,,
="0:23:07:38",,,"角田涼太郎",,"ブロック",,
="0:23:27:74","交代",,"小林幹",,,,
="0:23:27:74",,,"岩本翔",,,,
="0:23:46:22","相手チーム","スローイン",,,,,
="0:23:49:66","ポゼッションスタート",,,,,,
="0:23:49:66","相手チーム",,,,,,
="0:23:54:66",,,"森侑里",,"シュートブロック",,
="0:24:25:09","ポゼッションエンド",,,,,,
="0:24:25:09","相手チーム",,,,,,
="0:24:32:27",,,"森侑里",,"シュートブロック",,
="0:24:57:33","相手チーム","CK",,,,,
="0:25:04:13","相手チーム",,,,"被枠内シュート",,
="0:25:04:77",,,"高嶺朋樹",,"シュートブロック",,
="0:25:11:84","相手チーム",,,,,"ファール",
="0:25:42:17","ポゼッションスタート",,,,,,
="0:25:42:17","筑波大学",,,,,,
="0:25:43:00",,"FK","高嶺朋樹",,,,
="0:25:55:88","ポゼッションエンド",,,,,,
="0:25:55:88","筑波大学",,,,,,
="0:25:58:35","ポゼッションスタート",,,,,,
="0:25:58:35","相手チーム",,,,,,
="0:26:01:56","ポゼッションエンド",,,,,,
="0:26:01:56","相手チーム",,,,,,
="0:26:05:39","ポゼッションスタート",,,,,,
="0:26:05:39","筑波大学",,,,,,
