"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:15:61",,"キックオフ",,,,,
="0:00:20:62","ポゼッションスタート",,,,,,
="0:00:20:62","相手チーム",,,,,,
="0:00:31:53",,,"手塚貴大",,"ブロック",,
="0:00:32:09","ポゼッションエンド",,,,,,
="0:00:32:09","相手チーム",,,,,,
="0:00:37:37","ポゼッションスタート",,,,,,
="0:00:37:37","筑波大学",,,,,,
="0:00:45:14",,,"加藤匠人","パス",,,
="0:00:49:88",,,"渡邊陽","パス",,,
="0:00:50:15",,,"阿部航斗",,,,"キャッチ"
="0:00:51:58",,,"高嶺朋樹","パス",,,
="0:00:53:42","ポゼッションエンド",,,,,,
="0:00:53:42","筑波大学",,,,,,
="0:00:57:35",,,"知久航介","パス",,,
="0:01:00:62",,,"生地慶充","ボールロスト",,,
="0:01:04:23","ポゼッションスタート",,,,,,
="0:01:04:23","筑波大学",,,,,,
="0:01:08:30","相手チーム","スローイン",,,,,
="0:01:21:11",,,"高嶺朋樹","パス",,,
="0:01:21:94","ポゼッションエンド",,,,,,
="0:01:21:94","筑波大学",,,,,,
="0:01:22:31",,,"知久航介","パス",,,
="0:01:24:55",,,"高嶺朋樹","パス",,,
="0:01:27:72",,,"手塚貴大","パス",,,
="0:01:33:29",,,"井川空","パス",,,
="0:01:35:36",,,"高嶺朋樹","パス",,,
="0:01:36:52",,,"渡邊陽","パス",,,
="0:01:40:80",,,"知久航介","クロス",,,
="0:01:41:63",,,"池谷祐輔","枠内シュート",,,
="0:01:50:54","ポゼッションスタート",,,,,,
="0:01:50:54","筑波大学",,,,,,
="0:01:55:68",,"スローイン","井川空",,,,
="0:01:59:25","ポゼッションエンド",,,,,,
="0:01:59:25","筑波大学",,,,,,
="0:01:59:31",,,"渡邊陽","パス",,,
="0:02:03:28",,,"高嶺朋樹","パス",,,
="0:02:08:39",,,"知久航介","パス",,,
="0:02:11:43",,,"高嶺朋樹","パス",,,
="0:02:12:26","ポゼッションスタート",,"渡邊陽",,,,
="0:02:15:33",,,"渡邊陽","枠内シュート",,,
="0:02:20:40","ポゼッションスタート",,,,,,
="0:02:20:40","筑波大学",,,,,,
="0:02:24:54",,"スローイン","生地慶充",,,,
="0:02:27:11","ポゼッションエンド",,,,,,
="0:02:27:11","筑波大学",,,,,,
="0:02:30:41",,,"知久航介","パス",,,
="0:02:37:39",,,"生地慶充","パス",,,
="0:02:44:16",,,"知久航介","パス",,,
="0:02:45:23",,,"生地慶充","パス",,,
="0:02:45:89",,,"池谷祐輔","パス",,,
="0:02:48:03",,,"渡邊陽","枠内シュート",,,
="0:02:48:10",,,"生地慶充","パス",,,
="0:02:54:07","ポゼッションスタート",,,,,,
="0:02:54:07","相手チーム",,,,,,
="0:03:00:61","ポゼッションエンド",,,,,,
="0:03:00:61","相手チーム",,,,,,
="0:03:03:41",,,"山川哲史",,"インターセプト",,
="0:03:08:25",,,"渡邊陽","パス",,,
="0:03:09:62","ポゼッションスタート",,,,,,
="0:03:09:62","筑波大学",,,,,,
="0:03:10:62",,,"井川空","パス",,,
="0:03:12:12","ポゼッションエンド",,,,,,
="0:03:12:12","筑波大学",,,,,,
="0:03:15:19",,,"山川哲史","パス",,,
="0:03:17:66",,,"知久航介","パス",,,
="0:03:21:76",,,"生地慶充","パス",,,
="0:03:23:90",,,"山川哲史","パス",,,
="0:03:26:63",,,"手塚貴大","パス",,,
="0:03:29:17",,,"渡邊陽","パス",,,
="0:03:29:77",,,"森海渡","ボールロスト",,,
="0:03:32:77","ポゼッションスタート",,,,,,
="0:03:32:77","筑波大学",,,,,,
="0:03:46:05",,,"渡邊陽",,"インターセプト",,
="0:03:47:69",,,"渡邊陽","パス",,,
="0:03:49:89",,,"高嶺朋樹","パス",,,
="0:03:51:16","ポゼッションエンド",,,,,,
="0:03:51:16","筑波大学",,,,,,
="0:03:54:40",,,"生地慶充","ドリブル",,,
="0:03:55:23",,,"生地慶充","枠外シュート",,,
="0:03:59:67","ポゼッションスタート",,,,,,
="0:03:59:67","筑波大学",,,,,,
="0:04:12:58","相手チーム","GK",,,,,
="0:04:30:57",,,"渡邊陽",,"インターセプト",,
="0:04:35:17",,,"渡邊陽","パス",,,
="0:04:38:34",,,"山川哲史","パス",,,
="0:04:38:41","ポゼッションエンド",,,,,,
="0:04:38:41","筑波大学",,,,,,
="0:04:39:77",,,"高嶺朋樹","パス",,,
="0:04:42:78",,,"山川哲史","パス",,,
="0:04:43:71",,,"森海渡","パス",,,
="0:04:45:15",,,"池谷祐輔","パス",,,
="0:04:46:38",,,"森海渡","ボールロスト",,,
="0:04:46:58",,,"高嶺朋樹",,,,
="0:04:46:58",,,"渡邊陽",,,,
="0:04:46:68",,,"渡邊陽",,"カット",,
="0:04:51:39",,,"加藤匠人","パス",,,
="0:04:52:09",,,"加藤匠人","枠外シュート",,,
="0:04:52:29",,,"森海渡","パス",,,
="0:04:57:96","ポゼッションスタート",,,,,,
="0:04:57:96","筑波大学",,,,,,
="0:05:12:61","相手チーム","GK",,,,,
="0:05:34:60","ポゼッションエンド",,,,,,
="0:05:34:60","筑波大学",,,,,,
="0:05:36:83",,,"山川哲史","パス",,,
="0:05:39:33",,,"阿部航斗","パス",,,
="0:05:42:44",,,"手塚貴大","パス",,,
="0:05:45:07",,,"阿部航斗","パス",,,
="0:05:48:71",,,"山川哲史","パス",,,
="0:05:51:25",,,"知久航介","パス",,,
="0:05:57:25",,,"山川哲史","パス",,,
="0:05:58:79",,,"手塚貴大","パス",,,
="0:06:03:09",,,"渡邊陽","パス",,,
="0:06:08:06",,,"山川哲史","パス",,,
="0:06:10:23",,,"知久航介","パス",,,
="0:06:11:50",,,"森海渡","パス",,,
="0:06:15:64",,,"池谷祐輔","パス",,,
="0:06:17:47",,,"加藤匠人","パス",,,
="0:06:18:34",,,"加藤匠人","ボールロスト",,,
="0:06:22:41","ポゼッションスタート",,,,,,
="0:06:22:41","相手チーム",,,,,,
="0:06:24:71","ポゼッションエンド",,,,,,
="0:06:24:71","相手チーム",,,,,,
="0:06:30:19",,,"高嶺朋樹","パス",,,
="0:06:30:95",,,"手塚貴大","パス",,,
="0:06:33:46","ポゼッションスタート",,,,,,
="0:06:33:46","筑波大学",,,,,,
="0:06:35:66","ポゼッションエンド",,,,,,
="0:06:35:66","筑波大学",,,,,,
="0:06:36:52",,,"山川哲史","パス",,,
="0:06:38:89",,,"高嶺朋樹","パス",,,
="0:06:40:66",,,"渡邊陽","パス",,,
="0:06:48:17",,,"井川空","クロス",,,
="0:06:53:54",,,"高嶺朋樹","パス",,,
="0:06:55:91",,,"知久航介","パス",,,
="0:07:00:95",,,"生地慶充","パス",,,
="0:07:07:19",,,"山川哲史","パス",,,
="0:07:10:56",,,"加藤匠人","パス",,,
="0:07:15:23",,,"池谷祐輔","パス",,,
="0:07:17:07",,,"渡邊陽","パス",,,
="0:07:19:13",,,"知久航介","枠内シュート",,,
="0:07:19:30",,,"高嶺朋樹","パス",,,
="0:07:24:91","ポゼッションスタート",,,,,,
="0:07:24:91","筑波大学",,,,,,
="0:07:38:85",,"CK","高嶺朋樹",,,,
="0:07:48:63",,,"山川哲史","枠外シュート",,,
="0:08:20:56","相手チーム","GK",,,,,
="0:08:27:50",,,"高嶺朋樹",,,"ファール",
="0:08:44:59","相手チーム","FK",,,,,
="0:08:57:17",,,"井川空",,,"ファール",
="0:09:17:92","相手チーム","FK",,,,,
="0:09:31:77",,,"生地慶充","パス",,,
="0:09:32:93",,,"渡邊陽","パス",,,
="0:09:34:60",,,"池谷祐輔","パス",,,
="0:09:37:74","ポゼッションエンド",,,,,,
="0:09:37:74","筑波大学",,,,,,
="0:09:40:48",,,"生地慶充","パス",,,
="0:09:43:68",,,"渡邊陽","枠内シュート",,,
="0:09:49:02","ポゼッションスタート",,,,,,
="0:09:49:02","相手チーム",,,,,,
="0:10:03:77",,"CK","加藤匠人",,,,
="0:10:28:09","ポゼッションエンド",,,,,,
="0:10:28:09","相手チーム",,,,,,
="0:10:52:01",,,"山川哲史",,"シュートブロック",,
="0:10:57:62","ポゼッションスタート",,,,,,
="0:10:57:62","筑波大学",,,,,,
="0:11:23:11","相手チーム","CK",,,,,
="0:11:35:36","相手チーム",,,,"被枠内シュート",,
="0:11:35:36","失点",,,,,,
="0:12:08:56",,"キックオフ",,,,,
="0:12:14:83",,,"高嶺朋樹","パス",,,
="0:12:17:23","ポゼッションエンド",,,,,,
="0:12:17:23","筑波大学",,,,,,
="0:12:20:50",,,"山川哲史","パス",,,
="0:12:23:51",,,"山川哲史","ボールロスト",,,
="0:12:25:57","ポゼッションスタート",,,,,,
="0:12:25:57","筑波大学",,,,,,
="0:12:28:68","相手チーム","スローイン",,,,,
="0:12:44:26",,,"池谷祐輔","パス",,,
