"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:00:00:00",,"キックオフ",,,,
="0:00:00:80","ポゼッションスタート",,,,,
="0:00:00:80","筑波大学",,,,,
="0:00:13:95",,,"森海渡","パス",,
="0:00:15:33","ポゼッションエンド",,"高嶺朋樹","パス",,
="0:00:15:33","筑波大学",,,,,
="0:00:16:98",,,"井川空","パス",,
="0:00:20:16","ポゼッションスタート",,,,,
="0:00:20:16","相手チーム",,,,,
="0:00:20:44",,,"池谷祐輔","ボールロスト",,
="0:00:22:95","ポゼッションエンド",,,,,
="0:00:22:95","相手チーム",,,,,
="0:00:27:83","ポゼッションスタート",,,,,
="0:00:27:83","相手チーム",,,,,
="0:00:29:13",,,"山川哲史",,"クリア",
="0:00:38:36","ポゼッションエンド",,,,,
="0:00:38:36","相手チーム",,,,,
="0:00:42:65",,,"井川空",,,"ファール"
="0:00:45:62","ポゼッションスタート",,,,,
="0:00:45:62","相手チーム",,,,,
="0:01:12:29","相手チーム","FK",,,,
="0:01:53:07","相手チーム",,,"枠外シュート",,
="0:02:13:01",,"GK","阿部航斗",,,
="0:02:26:11",,,"生地慶充",,,
="0:02:26:41",,,,"ボールロスト",,
="0:02:40:46","相手チーム","スローイン",,,,
="0:02:42:63","ポゼッションエンド",,,,,
="0:02:42:63","相手チーム",,,,,
="0:03:00:67",,,"知久航介",,"ブロック",
="0:03:01:85","ポゼッションスタート",,,,,
="0:03:01:85","相手チーム",,,,,
="0:03:08:96",,"スローイン","知久航介",,,
="0:03:12:00","ポゼッションエンド",,,,,
="0:03:12:00","相手チーム",,,,,
="0:03:13:18","相手チーム","スローイン",,,,
="0:03:16:12","ポゼッションスタート",,,,,
="0:03:16:12","筑波大学",,,,,
="0:03:23:08","ポゼッションエンド",,,,,
="0:03:23:08","筑波大学",,,,,
="0:03:23:33",,,"阿部航斗","パス",,
="0:03:27:85",,,"高嶺朋樹","パス",,
="0:03:30:00",,,"阿部航斗","パス",,
="0:03:31:51",,,"手塚貴大","パス",,
="0:03:35:65",,,"高嶺朋樹","パス",,
="0:03:36:29","ポゼッションスタート",,,,,
="0:03:36:29","筑波大学",,,,,
="0:03:36:93",,,"山川哲史","ボールロスト",,
="0:03:39:21",,"スローイン","知久航介",,,
