Player,: Kubota Kakeru,,,,,,,,,,,,,,,,,,,,,
Session,: 20190502 Top Kanto League 4sec vs Meiji Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,48:26.4,,,,,,,,,,,,,,,,,,,,,
End,02:50.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
48:26.4,00:00.0,0,1,0,1,0,61.377,32.108,35.89780326,139.9357936, T 12,,0,0,0,0,0,0,0,,0,0
48:26.5,00:00.1,0,1,0,1,0,61.377,32.108,35.89780257,139.9357926, T 13,0,0,1,0,0,0,0,0,,0,0
48:26.5,00:00.1,0,1,0,1,0,61.377,32.108,35.89780257,139.9357926, T 13,0,0,0,0,0,0,0,0,,0,0
48:26.6,00:00.2,0,1,0,1,0,61.288,32.031,35.89780257,139.9357926, T 13,0,0,0,0,0,0,0,0,,0,0
48:26.7,00:00.3,0,1,0,1,0,61.288,32.031,35.89780393,139.935791, T 12,0,0,0,0,0,0,0,0,,0,0
48:26.7,00:00.3,0,1,0,1,0,61.288,32.031,35.89780393,139.935791, T 12,0,0,0,0,0,0,0,0,,0,0
48:26.8,00:00.4,0,1,0,1,0,61.15,32.182,35.89780393,139.935791, T 12,0,0,0,0,0,0,0,0,,0,0
48:26.9,00:00.5,0,1,0,1,0,61.15,32.182,35.89780428,139.9357913, T 13,0,0,0,0,0,0,0,0,,0,0
48:26.9,00:00.5,0,1,0,1,0,61.15,32.182,35.89780428,139.9357913, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.0,00:00.6,0,1,0,1,0,61.178,32.222,35.89780428,139.9357913, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.1,00:00.7,0,1,0,1,0,61.178,32.222,35.89780383,139.9357923, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.1,00:00.7,0,1,0,1,0,61.178,32.222,35.89780383,139.9357923, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.2,00:00.8,0,1,0,1,0,61.261,32.171,35.89780383,139.9357923, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.3,00:00.9,0,1,0,1,0,61.261,32.171,35.89780349,139.9357924, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.3,00:00.9,0,1,0,1,0,61.261,32.171,35.89780349,139.9357924, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.4,00:01.0,0,1,0,1,0,61.278,32.134,35.89780349,139.9357924, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.5,00:01.1,0,1,0,1,0,61.278,32.134,35.89780211,139.9357925, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.5,00:01.1,0,1,0,1,0,61.278,32.134,35.89780211,139.9357925, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.6,00:01.2,0,1,0,1,0,61.283,31.981,35.89780211,139.9357925, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.7,00:01.3,0,1,0,1,0,61.283,31.981,35.89779871,139.9357944, T 12,0,0,0,0,0,0,0,0,,0,0
48:27.7,00:01.3,0,1,0,1,0,61.283,31.981,35.89779871,139.9357944, T 12,0,0,0,0,0,0,0,0,,0,0
48:27.8,00:01.4,0,1,0,1,0,61.455,31.603,35.89779871,139.9357944, T 12,0,0,0,0,0,0,0,0,,0,0
48:27.9,00:01.5,0,1,0,1,0,61.455,31.603,35.89779723,139.9357959, T 13,0,0,0,0,0,0,0,0,,0,0
48:27.9,00:01.5,0,1,0,1,0,61.455,31.603,35.89779723,139.9357959, T 13,0,0,0,0,0,0,0,0,,0,0
48:28.0,00:01.6,0,1,0,1,0,61.587,31.439,35.89779723,139.9357959, T 13,0,0,0,0,0,0,0,0,,0,0
48:28.1,00:01.7,0,1,0,1,0,61.587,31.439,35.89779718,139.9357988, T 13,0,0,0,0,0,0,0,0,,0,0
48:28.1,00:01.7,0,1,0,1,0,61.587,31.439,35.89779718,139.9357988, T 13,0,0,0,0,0,0,0,0,,0,0
48:28.2,00:01.8,0,1,0,1,0,61.853,31.433,35.89779718,139.9357988, T 13,0,0,0,0,0,0,0,0,,0,0
48:28.3,00:01.9,0,1,3.36,1,0.064,61.887,31.408,35.89779651,139.9358, T 13,4.5,0,0,0,0,0,0,0,,4.5,3.24
48:28.3,00:01.9,0,1,3.12,1,0.124,61.922,31.383,35.89779651,139.9358, T 13,4.5,0,0,0,0,0,0,0,,4.5,3.24
48:28.4,00:02.0,0,1,2.88,1,0.18,61.957,31.359,35.89779651,139.9358, T 13,4.5,0,0,0,0,0,0,0,,4.5,3.24
48:28.5,00:02.1,0,1,2.724,1,0.232,61.983,31.386,35.89779724,139.9358009, T 13,-0.825,0,0,0,0,0,0,0,,-0.825,2.646
48:28.5,00:02.1,0,1,2.568,1,0.281,62.009,31.413,35.89779724,139.9358009, T 13,-0.825,0,0,0,0,0,0,0,,-0.825,2.646
48:28.6,00:02.2,0,1,2.412,1,0.327,62.036,31.44,35.89779724,139.9358009, T 13,-0.825,0,0,0,0,0,0,0,,-0.825,2.646
48:28.7,00:02.3,0,1,2.136,1,0.379,62.046,31.401,35.89779619,139.9358012, T 13,-0.9,0,0,0,0,0,0,0,,-0.9,1.998
48:28.7,00:02.3,0,1,1.86,1,0.416,62.057,31.362,35.89779619,139.9358012, T 13,-0.9,0,0,0,0,0,0,0,,-0.9,1.998
48:28.8,00:02.4,0,1,1.584,1,0.448,62.068,31.324,35.89779619,139.9358012, T 13,-0.9,0,1,0,0,0,0,0,,-0.9,1.998
48:28.9,00:02.5,0,1,1.344,1,0.565,62.022,31.297,35.89779546,139.9357997, T 13,-1.075,0,0,0,0,0,0,0,,-1.075,1.224
48:28.9,00:02.5,0,1,1.104,1,0.588,61.977,31.27,35.89779546,139.9357997, T 13,-1.075,0,0,0,0,0,0,0,,-1.075,1.224
