"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:38:20",,"キックオフ",,,,,
="0:00:40:54",,,"高嶺朋樹","パス",,,
="0:00:42:84","ポゼッションスタート",,,,,,
="0:00:42:84","筑波大学",,,,,,
="0:00:44:84",,,"森侑里","パス",,,
="0:00:47:71",,,"森海渡","ボールロスト",,,
="0:00:49:38","ポゼッションエンド",,,,,,
="0:00:49:38","筑波大学",,,,,,
="0:00:54:75",,,"山川哲史",,"インターセプト",,
="0:00:58:32",,,"山川哲史","パス",,,
="0:01:01:09",,,"加藤匠人","パス",,,
="0:01:02:52",,,"井川空","パス",,,
="0:01:03:46",,,"森海渡","ボールロスト",,,
="0:01:05:09",,,"渡邊陽",,"インターセプト",,
="0:01:07:76",,,"渡邊陽","パス",,,
="0:01:09:90",,,"森海渡","パス",,,
="0:01:10:70","ポゼッションスタート",,,,,,
="0:01:10:70","筑波大学",,,,,,
="0:01:12:83",,,"山原怜音","ドリブル",,,
="0:01:20:14",,,"三笘薫","パス",,,
="0:01:21:51",,,"岩本翔","ボールロスト",,,
="0:01:26:85","ポゼッションエンド",,,,,,
="0:01:26:85","筑波大学",,,,,,
="0:01:30:92","ポゼッションスタート",,,,,,
="0:01:30:92","相手チーム",,,,,,
="0:01:31:42",,,"加藤匠人",,"カット",,
="0:01:33:25",,,"渡邊陽","パス",,,
="0:01:33:89",,,"三笘薫","パス",,,
="0:01:34:89","ポゼッションエンド",,,,,,
="0:01:34:89","相手チーム",,,,,,
="0:01:34:99",,,"渡邊陽","パス",,,
="0:01:35:76","ポゼッションスタート",,,,,,
="0:01:35:76","筑波大学",,,,,,
="0:01:37:36",,,"山原怜音","パス",,,
="0:01:39:83",,,"渡邊陽","パス",,,
="0:01:41:50",,,"山川哲史","パス",,,
="0:01:44:03",,,"森侑里","パス",,,
="0:01:47:70",,,"井川空","パス",,,
="0:01:50:54",,,"森侑里","パス",,,
="0:01:52:97",,,"高嶺朋樹","パス",,,
="0:01:56:31",,,"山川哲史","パス",,,
="0:01:58:25",,,"渡邊陽","ボールロスト",,,
="0:02:00:82","ポゼッションエンド",,,,,,
="0:02:00:82","筑波大学",,,,,,
="0:02:03:32",,,"山川哲史",,"インターセプト",,
="0:02:07:89","ポゼッションスタート",,,,,,
="0:02:07:89","筑波大学",,,,,,
="0:02:07:96",,,"山原怜音","パス",,,
="0:02:10:36",,,"山川哲史","パス",,,
="0:02:13:83",,,"阿部航斗","パス",,,
="0:02:15:00",,,"森侑里","パス",,,
="0:02:17:00",,,"阿部航斗","パス",,,
