"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:45:34",,,"森侑里",,"インターセプト",,
="0:00:51:78","ポゼッションスタート",,,,,,
="0:00:51:78","筑波大学",,,,,,
="0:00:52:65",,,"三笘薫","ドリブル",,,
="0:00:57:89",,,"三笘薫","ボールロスト",,,
="0:00:59:32",,,"山川哲史",,"インターセプト",,
="0:01:02:29",,,"山川哲史","パス",,,
="0:01:04:13","相手チーム",,,,,"ファール",
="0:01:05:39","ポゼッションエンド",,,,,,
="0:01:05:39","筑波大学",,,,,,
="0:01:09:80",,"FK","井川空",,,,
="0:01:12:70","ポゼッションスタート",,,,,,
="0:01:12:70","筑波大学",,,,,,
="0:01:14:90",,,"山川哲史","パス",,,
="0:01:18:27",,,"森侑里","パス",,,
="0:01:19:51",,,"渡邊陽","パス",,,
="0:01:22:04",,,"山川哲史","パス",,,
="0:01:25:41",,,"岩本翔","パス",,,
="0:01:26:38",,,"三笘薫","ドリブル",,,
="0:01:26:85",,,"井川空","パス",,,
="0:01:33:46",,,"三笘薫","ボールロスト",,,
="0:01:35:16","ポゼッションエンド",,,,,,
="0:01:35:16","筑波大学",,,,,,
="0:01:39:86",,,"岩本翔","ボールロスト",,,
="0:01:49:97","相手チーム","スローイン",,,,,
="0:01:58:28",,,"三笘薫",,"カット",,
="0:02:03:02","ポゼッションスタート",,,,,,
="0:02:03:02","筑波大学",,,,,,
="0:02:07:32",,,"森侑里","パス",,,
="0:02:12:29",,,"山原怜音","パス",,,
="0:02:14:26",,,"渡邊陽","パス",,,
="0:02:17:17",,,"森侑里","パス",,,
="0:02:19:40",,,"井川空","パス",,,
="0:02:23:57",,,"三笘薫","パス",,,
="0:02:27:58",,,"岩本翔","パス",,,
="0:02:32:35",,,"高嶺朋樹","ボールロスト",,,
="0:02:35:12","ポゼッションエンド",,,,,,
="0:02:35:12","筑波大学",,,,,,
="0:02:43:63",,"スローイン","井川空",,,,
="0:02:48:80","ポゼッションスタート",,,,,,
="0:02:48:80","筑波大学",,,,,,
="0:02:51:13",,,"山川哲史","パス",,,
="0:02:54:24",,,"森侑里","パス",,,
="0:02:56:44",,,"加藤匠人","パス",,,
="0:03:01:81",,,"森海渡","ボールロスト",,,
="0:03:02:44",,,"森侑里",,"インターセプト",,
="0:03:04:21","ポゼッションエンド",,,,,,
="0:03:04:21","筑波大学",,,,,,
="0:03:08:28",,,"森侑里","パス",,,
="0:03:10:49","ポゼッションスタート",,,,,,
="0:03:10:49","筑波大学",,,,,,
="0:03:14:89",,,"山川哲史","パス",,,
="0:03:19:43",,,"高嶺朋樹","パス",,,
="0:03:22:76",,,"三笘薫","パス",,,
="0:03:25:13",,,"井川空","クロス",,,
="0:03:26:27","ポゼッションエンド",,,,,,
="0:03:26:27","筑波大学",,,,,,
="0:03:29:67",,"スローイン","三笘薫",,,,
="0:03:37:15",,,"岩本翔","パス",,,
="0:03:38:95","ポゼッションスタート",,,,,,
="0:03:38:95","筑波大学",,,,,,
="0:03:39:45",,,"井川空","パス",,,
="0:03:41:95",,,"高嶺朋樹","パス",,,
="0:03:44:15",,,"森侑里","パス",,,
="0:03:44:39",,,"山原怜音","クロス",,,
="0:03:51:99","ポゼッションエンド",,,,,,
="0:03:51:99","筑波大学",,,,,,
="0:03:52:29",,,"三笘薫","枠内シュート",,,
="0:04:03:10",,,"山川哲史",,"ブロック",,
="0:04:12:55","ポゼッションスタート",,,,,,
="0:04:12:55","相手チーム",,,,,,
="0:04:20:92",,,"山川哲史",,"インターセプト",,
="0:04:24:99","ポゼッションエンド",,,,,,
="0:04:24:99","相手チーム",,,,,,
="0:04:27:26",,,"山川哲史","パス",,,
="0:04:32:90",,,"山原怜音","ボールロスト",,,
="0:04:37:27",,,"高嶺朋樹",,,"ファール",
="0:04:58:69","相手チーム","FK",,,,,
="0:05:26:09",,,"三笘薫",,"クリア",,
="0:05:33:86","ポゼッションスタート",,,,,,
="0:05:33:86","相手チーム",,,,,,
="0:06:04:93",,,"阿部航斗",,,,"キャッチ"
="0:06:08:70","ポゼッションエンド",,,,,,
="0:06:08:70","相手チーム",,,,,,
="0:06:09:76",,,"阿部航斗","パス",,,
="0:06:13:10","ポゼッションスタート",,,,,,
="0:06:13:10","筑波大学",,,,,,
="0:06:13:70",,,"山川哲史","パス",,,
="0:06:19:57",,,"渡邊陽","ボールロスト",,,
="0:06:21:04","ポゼッションエンド",,,,,,
="0:06:21:04","筑波大学",,,,,,
="0:06:22:31","ポゼッションスタート",,,,,,
="0:06:22:31","相手チーム",,,,,,
="0:06:47:14",,,"加藤匠人",,"インターセプト",,
="0:06:51:54","ポゼッションエンド",,,,,,
="0:06:51:54","相手チーム",,,,,,
="0:06:52:57","ポゼッションスタート",,,,,,
="0:06:52:57","筑波大学",,,,,,
="0:06:53:34",,,"森海渡","ボールロスト",,,
="0:06:59:05","ポゼッションエンド",,,,,,
="0:06:59:05","筑波大学",,,,,,
="0:07:01:08","ポゼッションスタート",,,,,,
="0:07:01:08","相手チーム",,,,,,
="0:07:06:49",,,"井川空",,"カット",,
="0:07:13:63","ポゼッションエンド",,,,,,
="0:07:13:63","相手チーム",,,,,,
="0:07:31:65","相手チーム","CK",,,,,
="0:07:59:21",,,"阿部航斗",,,,"パンチング"
="0:08:04:45",,,"山原怜音",,"クリア",,
="0:08:08:58",,,"森侑里",,,"ファール",
="0:08:24:33","相手チーム","FK",,,,,
="0:08:45:15",,"GK","阿部航斗",,,,
="0:09:16:99",,"スローイン","井川空",,,,
="0:09:25:16","相手チーム",,,,,"ファール",
="0:09:30:57",,"FK","井川空",,,,
="0:09:31:27",,,"高嶺朋樹","パス",,,
="0:09:31:77","ポゼッションスタート",,,,,,
="0:09:31:77","筑波大学",,,,,,
="0:09:32:73",,,"井川空","パス",,,
="0:09:35:67",,,"山川哲史","パス",,,
="0:09:38:21",,,"森侑里","パス",,,
="0:09:41:94",,,"山原怜音","パス",,,
="0:09:45:25",,,"森海渡","パス",,,
="0:09:46:51",,,"三笘薫","ドリブル",,,
="0:09:47:05",,,"高嶺朋樹","パス",,,
="0:09:51:82",,,"三笘薫","クロス",,,
="0:09:54:29",,,"加藤匠人","ボールロスト",,,
="0:09:57:09","ポゼッションエンド",,,,,,
="0:09:57:09","筑波大学",,,,,,
="0:09:58:43","ポゼッションスタート",,,,,,
="0:09:58:43","相手チーム",,,,,,
="0:10:00:06",,,"森侑里",,"インターセプト",,
="0:10:03:87",,,"森侑里","パス",,,
="0:10:04:87","ポゼッションエンド",,,,,,
="0:10:04:87","相手チーム",,,,,,
="0:10:07:67",,,"阿部航斗","パス",,,
="0:10:10:11","ポゼッションスタート",,,,,,
="0:10:10:11","筑波大学",,,,,,
="0:10:10:84",,,"山川哲史","パス",,,
="0:10:16:78",,,"井川空","パス",,,
="0:10:21:02",,,"山川哲史","パス",,,
="0:10:24:65",,,"高嶺朋樹",,"インターセプト",,
="0:10:26:79",,,"森海渡","ボールロスト",,,
="0:10:28:89",,,"高嶺朋樹","パス",,,
="0:10:31:13",,,"渡邊陽","パス",,,
="0:10:34:03",,,"三笘薫","パス",,,
="0:10:34:93",,,"井川空","クロス",,,
="0:10:36:20",,,"岩本翔","パス",,,
="0:10:44:71","ポゼッションエンド",,,,,,
="0:10:44:71","筑波大学",,,,,,
="0:10:45:91",,,"森侑里",,"インターセプト",,
="0:10:51:75",,,"森侑里","パス",,,
="0:10:52:81","ポゼッションスタート",,,,,,
="0:10:52:81","筑波大学",,,,,,
="0:10:54:42",,,"山原怜音","パス",,,
="0:10:58:99",,,"山川哲史","パス",,,
="0:11:03:46",,,"山原怜音","パス",,,
