"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:09:14",,"キックオフ",,,,,
="0:00:10:47",,,"犬飼翔洋","パス",,,
="0:00:11:74",,,"高嶺朋樹","パス",,,
="0:00:12:44","相手チーム","スローイン",,,,,
="0:00:13:91",,,"犬飼翔洋","ボールロスト",,,
="0:00:28:19",,,"森侑里",,"クリア",,
="0:00:35:00","相手チーム","スローイン",,,,,
="0:00:46:74","ポゼッションスタート",,,,,,
="0:00:46:74","相手チーム",,,,,,
="0:00:49:98",,,"山原怜音",,"クリア",,
="0:00:55:55","ポゼッションエンド",,,,,,
="0:00:55:55","相手チーム",,,,,,
="0:00:58:85",,,"加藤匠人","パス",,,
="0:01:00:66","ポゼッションスタート",,,,,,
="0:01:00:66","筑波大学",,,,,,
="0:01:01:36",,,"山原怜音","パス",,,
="0:01:07:10","ポゼッションエンド",,,,,,
="0:01:07:10","筑波大学",,,,,,
="0:01:08:96",,"スローイン","山原怜音",,,,
="0:01:16:27",,,"池谷祐輔","ボールロスト",,,
="0:01:21:28",,,"森侑里",,"インターセプト",,
="0:01:25:01",,,"山川哲史","パス",,,
="0:01:26:01",,,"池谷祐輔","ボールロスト",,,
="0:01:26:18","ポゼッションスタート",,,,,,
="0:01:26:18","筑波大学",,,,,,
="0:01:30:99",,,"山川哲史",,"カット",,
="0:01:34:82",,,"山川哲史","パス",,,
="0:01:46:30",,"スローイン","井川空",,,,
="0:01:52:57",,,"犬飼翔洋","パス",,,
="0:01:54:94",,,"池谷祐輔","ドリブル",,,
="0:01:54:98",,,"池谷祐輔","パス",,,
="0:01:57:01",,,"高嶺朋樹","パス",,,
="0:01:58:28",,,"加藤匠人","パス",,,
="0:02:00:48",,,"森侑里","パス",,,
="0:02:05:59",,,"三笘薫","パス",,,
="0:02:06:79",,,"池谷祐輔","枠内シュート",,,
="0:02:10:96","ポゼッションエンド",,,,,,
="0:02:10:96","筑波大学",,,,,,
="0:02:29:81",,,"森侑里",,"ブロック",,
="0:02:30:95",,,"犬飼翔洋","パス",,,
="0:02:33:78",,,"加藤匠人","パス",,,
="0:02:34:52","ポゼッションスタート",,,,,,
="0:02:34:52","筑波大学",,,,,,
="0:02:35:02",,,"高嶺朋樹","パス",,,
="0:02:36:89","相手チーム",,,,,"ファール",
="0:02:45:66","ポゼッションエンド",,,,,,
="0:02:45:66","筑波大学",,,,,,
="0:02:56:71",,"FK","高嶺朋樹",,,,
="0:02:58:97",,,"高嶺朋樹","パス",,,
="0:03:01:38",,,"山原怜音","パス",,,
="0:03:02:78",,,"高嶺朋樹","パス",,,
="0:03:02:88","ポゼッションスタート",,,,,,
="0:03:02:88","筑波大学",,,,,,
="0:03:07:38",,,"森侑里","パス",,,
="0:03:09:08",,,"山原怜音","パス",,,
="0:03:12:25",,,"犬飼翔洋","パス",,,
="0:03:13:46",,,"渡邊陽","パス",,,
="0:03:14:22",,,"三笘薫","ボールロスト",,,
="0:03:18:13","ポゼッションエンド",,,,,,
="0:03:18:13","筑波大学",,,,,,
="0:03:21:70",,,"三笘薫",,"カット",,
="0:03:22:66","ポゼッションスタート",,,,,,
