"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:03:43",,,"犬飼翔洋",,"カット",,
="0:00:05:87","ポゼッションスタート",,,,,,
="0:00:05:87","筑波大学",,,,,,
="0:00:10:07","ポゼッションエンド",,,,,,
="0:00:10:07","筑波大学",,,,,,
="0:00:15:74",,,"犬飼翔洋",,"カット",,
="0:00:19:88","相手チーム","スローイン",,,,,
="0:00:29:12","ポゼッションスタート",,,,,,
="0:00:29:12","相手チーム",,,,,,
="0:00:30:59",,,"井川空",,"カット",,
="0:00:36:03","ポゼッションエンド",,,,,,
="0:00:36:03","相手チーム",,,,,,
="0:00:38:67","ポゼッションスタート",,,,,,
="0:00:38:67","筑波大学",,,,,,
="0:00:40:37",,,"山原怜音",,"インターセプト",,
="0:00:41:67","ポゼッションエンド",,,,,,
="0:00:41:67","筑波大学",,,,,,
="0:00:45:54",,"スローイン","山原怜音",,,,
="0:01:06:36","ポゼッションスタート",,,,,,
="0:01:06:36","相手チーム",,,,,,
="0:01:27:42","ポゼッションエンド",,,,,,
="0:01:27:42","相手チーム",,,,,,
="0:01:29:65",,,"山川哲史",,"クリア",,
="0:01:32:09",,"スローイン","井川空",,,,
="0:01:43:57","ポゼッションスタート",,,,,,
="0:01:43:57","相手チーム",,,,,,
="0:01:51:07",,,"山原怜音",,"シュートブロック",,
="0:01:56:64","相手チーム",,,,"被枠内シュート",,
="0:01:58:31","ポゼッションエンド",,,,,,
="0:01:58:31","相手チーム",,,,,,
="0:01:59:41",,"スローイン","山原怜音",,,,
="0:02:08:56","ポゼッションスタート",,,,,,
="0:02:08:56","筑波大学",,,,,,
="0:02:12:13",,,"山原怜音","ドリブル",,,
="0:02:15:13","ポゼッションエンド",,,,,,
="0:02:15:13","筑波大学",,,,,,
="0:02:19:93","ポゼッションスタート",,,,,,
="0:02:19:93","相手チーム",,,,,,
="0:02:27:41","ポゼッションエンド",,,,,,
="0:02:27:41","相手チーム",,,,,,
="0:02:27:44",,,"井川空",,"ブロック",,
="0:02:28:41","相手チーム","スローイン",,,,,
="0:02:32:38","ポゼッションスタート",,,,,,
="0:02:32:38","相手チーム",,,,,,
="0:02:40:26","ポゼッションエンド",,,,,,
="0:02:40:26","相手チーム",,,,,,
="0:02:40:96",,,"阿部航斗",,,,"キャッチ"
="0:02:55:47","ポゼッションスタート",,,,,,
="0:02:55:47","筑波大学",,,,,,
="0:02:57:84",,,"高嶺朋樹",,"カット",,
="0:02:59:01",,,"高嶺朋樹","ドリブル",,,
="0:03:00:21","ポゼッションエンド",,,,,,
="0:03:00:21","筑波大学",,,,,,
="0:03:01:68","相手チーム",,,,,"ファール",
="0:03:11:69",,"FK","高嶺朋樹",,,,
="0:03:18:49","ポゼッションスタート",,,,,,
="0:03:18:49","筑波大学",,,,,,
="0:03:24:13",,,"三笘薫","ドリブル",,,
="0:03:39:21",,,"山原怜音","クロス",,,
="0:03:40:15","ポゼッションエンド",,,,,,
="0:03:40:15","筑波大学",,,,,,
="0:03:44:69","ポゼッションスタート",,,,,,
="0:03:44:69","相手チーム",,,,,,
="0:03:55:36",,,"阿部航斗",,,,"パンチング"
="0:03:55:40","ポゼッションエンド",,,,,,
="0:03:55:40","相手チーム",,,,,,
="0:04:02:60",,,"阿部航斗",,,,"キャッチ"
="0:04:08:94","ポゼッションスタート",,,,,,
="0:04:08:94","筑波大学",,,,,,
="0:04:21:86","ポゼッションエンド",,,,,,
="0:04:21:86","筑波大学",,,,,,
="0:04:26:86","ポゼッションスタート",,,,,,
="0:04:26:86","相手チーム",,,,,,
="0:04:32:20","ポゼッションエンド",,,,,,
="0:04:32:20","相手チーム",,,,,,
