Player,: Oidi Yoshiatsu,,,,,,,,,,,,,,,,,,,,,
Session,: 20190506 Top Kanto League 5sec vs Juntendo Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,30:35.2,,,,,,,,,,,,,,,,,,,,,
End,04:25.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
30:35.2,00:00.0,0,1,0,1,0,23.426,52.51,35.89778809,139.9358155, T 14,,0,0,0,0,0,0,0,,0,0
30:35.3,00:00.1,0,1,0,1,0,23.426,52.51,35.89778832,139.9358162, T 14,0,0,0,0,0,0,0,0,,0,0
30:35.3,00:00.1,0,1,0,1,0,23.426,52.51,35.89778832,139.9358162, T 14,0,0,0,0,0,0,0,0,,0,0
30:35.4,00:00.2,0,1,0,1,0,23.495,52.536,35.89778832,139.9358162, T 14,0,0,0,0,0,0,0,0,,0,0
30:35.5,00:00.3,0,1,0,1,0,23.495,52.536,35.89778846,139.9358164, T 15,0,0,0,0,0,0,0,0,,0,0
30:35.5,00:00.3,0,1,0,1,0,23.495,52.536,35.89778846,139.9358164, T 15,0,0,0,0,0,0,0,0,,0,0
30:35.6,00:00.4,0,1,0,1,0,23.51,52.551,35.89778846,139.9358164, T 15,0,0,0,0,0,0,0,0,,0,0
30:35.7,00:00.5,0,1,0,1,0,23.51,52.551,35.89778828,139.9358163, T 15,0,0,0,0,0,0,0,0,,0,0
30:35.7,00:00.5,0,1,0,1,0,23.51,52.551,35.89778828,139.9358163, T 15,0,0,0,0,0,0,0,0,,0,0
30:35.8,00:00.6,0,1,0,1,0,23.498,52.531,35.89778828,139.9358163, T 15,0,0,0,0,0,0,0,0,,0,0
30:35.9,00:00.7,0,1,0,1,0,23.498,52.531,35.89778963,139.9358149, T 15,0,0,0,0,0,0,0,0,,0,0
30:35.9,00:00.7,0,1,0,1,0,23.498,52.531,35.89778963,139.9358149, T 15,0,0,0,0,0,0,0,0,,0,0
30:36.0,00:00.8,0,1,0,1,0,23.375,52.681,35.89778963,139.9358149, T 15,0,0,0,0,0,0,0,0,,0,0
30:36.1,00:00.9,0,1,0,1,0,23.375,52.681,35.89779044,139.9358147, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.1,00:00.9,0,1,0,1,0,23.375,52.681,35.89779044,139.9358147, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.2,00:01.0,0,1,0,1,0,23.361,52.77,35.89779044,139.9358147, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.3,00:01.1,0,1,0,1,0,23.361,52.77,35.89779203,139.9358142, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.3,00:01.1,0,1,0,1,0,23.361,52.77,35.89779203,139.9358142, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.4,00:01.2,0,1,0,1,0,23.311,52.947,35.89779203,139.9358142, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.5,00:01.3,0,1,0,1,0,23.311,52.947,35.89779371,139.9358132, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.5,00:01.3,0,1,0,1,0,23.311,52.947,35.89779371,139.9358132, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.6,00:01.4,0,1,0,1,0,23.225,53.134,35.89779371,139.9358132, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.7,00:01.5,0,1,0,1,0,23.225,53.134,35.89779641,139.9358121, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.7,00:01.5,0,1,0,1,0,23.225,53.134,35.89779641,139.9358121, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.8,00:01.6,0,1,0,1,0,23.127,53.433,35.89779641,139.9358121, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.9,00:01.7,0,1,0,1,0,23.127,53.433,35.89779813,139.9358118, T 14,0,0,0,0,0,0,0,0,,0,0
30:36.9,00:01.7,0,1,0,1,0,23.127,53.433,35.89779813,139.9358118, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.0,00:01.8,0,1,0,1,0,23.1,53.624,35.89779813,139.9358118, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.1,00:01.9,0,1,0,1,0,23.1,53.624,35.89780004,139.9358113, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.1,00:01.9,0,1,0,1,0,23.1,53.624,35.89780004,139.9358113, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.2,00:02.0,0,1,0,1,0,23.053,53.836,35.89780004,139.9358113, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.3,00:02.1,0,1,0,1,0,23.053,53.836,35.89780218,139.9358108, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.3,00:02.1,0,1,0,1,0,23.053,53.836,35.89780218,139.9358108, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.4,00:02.2,0,1,0,1,0,23.002,54.074,35.89780218,139.9358108, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.5,00:02.3,0,1,0,1,0,23.002,54.074,35.8978041,139.9358103, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.5,00:02.3,0,1,0,1,0,23.002,54.074,35.8978041,139.9358103, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.6,00:02.4,0,1,0,1,0,22.958,54.286,35.8978041,139.9358103, T 14,0,0,0,0,0,0,0,0,,0,0
30:37.7,00:02.5,0,1,0,1,0,22.958,54.286,35.8978057,139.9358092, T 13,0,0,0,0,0,0,0,0,,0,0
30:37.7,00:02.5,0,1,0,1,0,22.958,54.286,35.8978057,139.9358092, T 13,0,0,0,0,0,0,0,0,,0,0
30:37.8,00:02.6,0,1,0,1,0,22.861,54.464,35.8978057,139.9358092, T 13,0,0,0,0,0,0,0,0,,0,0
30:37.9,00:02.7,0,1,0,1,0,22.861,54.464,35.89780618,139.9358087, T 12,0,0,0,0,0,0,0,0,,0,0
30:37.9,00:02.7,0,1,0,1,0,22.861,54.464,35.89780618,139.9358087, T 12,0,0,0,0,0,0,0,0,,0,0
30:38.0,00:02.8,0,1,0,1,0,22.817,54.517,35.89780618,139.9358087, T 12,0,0,0,0,0,0,0,0,,0,0
30:38.1,00:02.9,0,1,0,1,0,22.817,54.517,35.89780724,139.935808, T 13,0,0,0,0,0,0,0,0,,0,0
