Player,: Teduka Takahiro,,,,,,,,,,,,,,,,,,,,,
Session,: 20190506 Top Kanto League 5sec vs Juntendo Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,43:51.4,,,,,,,,,,,,,,,,,,,,,
End,00:23.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
43:51.4,00:00.0,0,1,0,1,0,26.12,59.409,35.89780926,139.9358228, T 15,,0,0,0,0,0,0,0,,0,0
43:51.5,00:00.1,0,1,0,1,0,26.12,59.409,35.89780844,139.9358192, T 15,0,0,0,0,0,0,0,0,,0,0
43:51.5,00:00.1,0,1,0,1,0,26.12,59.409,35.89780844,139.9358192, T 15,0,0,0,0,0,0,0,0,,0,0
43:51.6,00:00.2,0,1,0,1,0,25.796,59.318,35.89780844,139.9358192, T 15,0,0,0,0,0,0,0,0,,0,0
43:51.7,00:00.3,0,1,0,1,0,25.796,59.318,35.89780807,139.9358139, T 15,0,0,0,0,0,0,0,0,,0,0
43:51.7,00:00.3,0,1,0,1,0,25.796,59.318,35.89780807,139.9358139, T 15,0,0,0,0,0,0,0,0,,0,0
43:51.8,00:00.4,0,1,0,1,0,25.317,59.277,35.89780807,139.9358139, T 15,0,0,0,0,0,0,0,0,,0,0
43:51.9,00:00.5,0,1,0,1,0,25.317,59.277,35.89780833,139.9358102, T 15,0,0,0,0,0,0,0,0,,0,0
43:51.9,00:00.5,0,1,0,1,0,25.317,59.277,35.89780833,139.9358102, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.0,00:00.6,0,1,0,1,0,24.982,59.305,35.89780833,139.9358102, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.1,00:00.7,0,1,0,1,0,24.982,59.305,35.89780745,139.9358072, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.1,00:00.7,0,1,0,1,0,24.982,59.305,35.89780745,139.9358072, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.2,00:00.8,0,1,0,1,0,24.717,59.209,35.89780745,139.9358072, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.3,00:00.9,0,1,0,1,0,24.717,59.209,35.89780731,139.9358038, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.3,00:00.9,0,1,0,1,0,24.717,59.209,35.89780731,139.9358038, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.4,00:01.0,0,1,0,1,0,24.41,59.192,35.89780731,139.9358038, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.5,00:01.1,0,1,0,1,0,24.41,59.192,35.89780753,139.9357996, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.5,00:01.1,0,1,0,1,0,24.41,59.192,35.89780753,139.9357996, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.6,00:01.2,0,1,0,1,0,24.034,59.217,35.89780753,139.9357996, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.7,00:01.3,0,1,0,1,0,24.034,59.217,35.8978081,139.9357961, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.7,00:01.3,0,1,0,1,0,24.034,59.217,35.8978081,139.9357961, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.8,00:01.4,0,1,0,1,0,23.715,59.28,35.8978081,139.9357961, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.9,00:01.5,0,1,0,1,0,23.715,59.28,35.89780853,139.9357931, T 15,0,0,0,0,0,0,0,0,,0,0
43:52.9,00:01.5,0,1,0,1,0,23.715,59.28,35.89780853,139.9357931, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.0,00:01.6,0,1,0,1,0,23.442,59.328,35.89780853,139.9357931, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.1,00:01.7,0,1,0,1,0,23.442,59.328,35.89780916,139.9357898, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.1,00:01.7,0,1,0,1,0,23.442,59.328,35.89780916,139.9357898, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.2,00:01.8,0,1,0,1,0,23.151,59.397,35.89780916,139.9357898, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.3,00:01.9,0,1,0,1,0,23.151,59.397,35.89780959,139.935787, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.3,00:01.9,0,1,0,1,0,23.151,59.397,35.89780959,139.935787, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.4,00:02.0,0,1,0,1,0,22.898,59.445,35.89780959,139.935787, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.5,00:02.1,0,1,0,1,0,22.898,59.445,35.89780975,139.9357844, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.5,00:02.1,0,1,0,1,0,22.898,59.445,35.89780975,139.9357844, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.6,00:02.2,0,1,0,1,0,22.665,59.463,35.89780975,139.9357844, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.7,00:02.3,0,1,0,1,0,22.665,59.463,35.89780983,139.9357822, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.7,00:02.3,0,1,0,1,0,22.665,59.463,35.89780983,139.9357822, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.8,00:02.4,0,1,0,1,0,22.46,59.472,35.89780983,139.9357822, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.9,00:02.5,0,1,0,1,0,22.46,59.472,35.89780953,139.93578, T 15,0,0,0,0,0,0,0,0,,0,0
43:53.9,00:02.5,0,1,0,1,0,22.46,59.472,35.89780953,139.93578, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.0,00:02.6,0,1,0,1,0,22.266,59.439,35.89780953,139.93578, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.1,00:02.7,0,1,0,1,0,22.266,59.439,35.89780952,139.9357788, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.1,00:02.7,0,1,0,1,0,22.266,59.439,35.89780952,139.9357788, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.2,00:02.8,0,1,0,1,0,22.16,59.438,35.89780952,139.9357788, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.3,00:02.9,0,1,0,1,0,22.16,59.438,35.89780932,139.9357777, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.3,00:02.9,0,1,0,1,0,22.16,59.438,35.89780932,139.9357777, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.4,00:03.0,0,1,0,1,0,22.059,59.415,35.89780932,139.9357777, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.5,00:03.1,0,1,0,1,0,22.059,59.415,35.89780933,139.9357767, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.5,00:03.1,0,1,0,1,0,22.059,59.415,35.89780933,139.9357767, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.6,00:03.2,0,1,0,1,0,21.972,59.416,35.89780933,139.9357767, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.7,00:03.3,0,1,0,1,0,21.972,59.416,35.89780918,139.9357761, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.7,00:03.3,0,1,0,1,0,21.972,59.416,35.89780918,139.9357761, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.8,00:03.4,0,1,0,1,0,21.913,59.4,35.89780918,139.9357761, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.9,00:03.5,0,1,0,1,0,21.913,59.4,35.89780903,139.9357754, T 15,0,0,0,0,0,0,0,0,,0,0
43:54.9,00:03.5,0,1,0,1,0,21.913,59.4,35.89780903,139.9357754, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.0,00:03.6,0,1,0,1,0,21.854,59.383,35.89780903,139.9357754, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.1,00:03.7,0,1,0,1,0,21.854,59.383,35.897809,139.9357746, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.1,00:03.7,0,1,0,1,0,21.854,59.383,35.897809,139.9357746, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.2,00:03.8,0,1,0,1,0,21.776,59.38,35.897809,139.9357746, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.3,00:03.9,0,1,0,1,0,21.776,59.38,35.89780889,139.935774, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.3,00:03.9,0,1,0,1,0,21.776,59.38,35.89780889,139.935774, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.4,00:04.0,0,1,0,1,0,21.724,59.368,35.89780889,139.935774, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.5,00:04.1,0,1,0,1,0,21.724,59.368,35.8978087,139.9357734, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.5,00:04.1,0,1,0,1,0,21.724,59.368,35.8978087,139.9357734, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.6,00:04.2,0,1,0,1,0,21.669,59.346,35.8978087,139.9357734, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.7,00:04.3,0,1,0,1,0,21.669,59.346,35.89780862,139.9357727, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.7,00:04.3,0,1,0,1,0,21.669,59.346,35.89780862,139.9357727, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.8,00:04.4,0,1,0,1,0,21.609,59.338,35.89780862,139.9357727, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.9,00:04.5,0,1,0,1,0,21.609,59.338,35.89780844,139.935772, T 15,0,0,0,0,0,0,0,0,,0,0
43:55.9,00:04.5,0,1,0,1,0,21.609,59.338,35.89780844,139.935772, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.0,00:04.6,0,1,0,1,0,21.541,59.318,35.89780844,139.935772, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.1,00:04.7,0,1,0,1,0,21.541,59.318,35.89780813,139.9357716, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.1,00:04.7,0,1,0,1,0,21.541,59.318,35.89780813,139.9357716, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.2,00:04.8,0,1,0,1,0,21.507,59.283,35.89780813,139.9357716, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.3,00:04.9,0,1,0,1,0,21.507,59.283,35.8978079,139.9357709, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.3,00:04.9,0,1,0,1,0,21.507,59.283,35.8978079,139.9357709, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.4,00:05.0,0,1,0,1,0,21.445,59.258,35.8978079,139.9357709, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.5,00:05.1,0,1,0,1,0,21.445,59.258,35.89780771,139.9357703, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.5,00:05.1,0,1,0,1,0,21.445,59.258,35.89780771,139.9357703, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.6,00:05.2,0,1,0,1,0,21.391,59.237,35.89780771,139.9357703, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.7,00:05.3,0,1,0,1,0,21.391,59.237,35.89780755,139.9357698, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.7,00:05.3,0,1,0,1,0,21.391,59.237,35.89780755,139.9357698, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.8,00:05.4,0,1,0,1,0,21.345,59.22,35.89780755,139.9357698, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.9,00:05.5,0,1,0,1,0,21.345,59.22,35.8978075,139.9357694, T 15,0,0,0,0,0,0,0,0,,0,0
43:56.9,00:05.5,0,1,0,1,0,21.345,59.22,35.8978075,139.9357694, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.0,00:05.6,0,1,0,1,0,21.307,59.214,35.8978075,139.9357694, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.1,00:05.7,0,1,0,1,0,21.307,59.214,35.89780727,139.935769, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.1,00:05.7,0,1,0,1,0,21.307,59.214,35.89780727,139.935769, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.2,00:05.8,0,1,0,1,0,21.275,59.188,35.89780727,139.935769, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.3,00:05.9,0,1,0,1,0,21.275,59.188,35.89780711,139.9357685, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.3,00:05.9,0,1,0,1,0,21.275,59.188,35.89780711,139.9357685, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.4,00:06.0,0,1,0,1,0,21.23,59.171,35.89780711,139.9357685, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.5,00:06.1,0,1,0,1,0,21.23,59.171,35.89780694,139.9357683, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.5,00:06.1,0,1,0,1,0,21.23,59.171,35.89780694,139.9357683, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.6,00:06.2,0,1,0,1,0,21.212,59.152,35.89780694,139.9357683, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.7,00:06.3,0,1,0,1,0,21.212,59.152,35.89780675,139.9357679, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.7,00:06.3,0,1,0,1,0,21.212,59.152,35.89780675,139.9357679, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.8,00:06.4,0,1,0,1,0,21.174,59.13,35.89780675,139.9357679, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.9,00:06.5,0,1,0,1,0,21.174,59.13,35.89780644,139.9357675, T 15,0,0,0,0,0,0,0,0,,0,0
43:57.9,00:06.5,0,1,0,1,0,21.174,59.13,35.89780644,139.9357675, T 15,0,0,0,0,0,0,0,0,,0,0
43:58.0,00:06.6,0,1,0,1,0,21.142,59.096,35.89780644,139.9357675, T 15,0,0,0,0,0,0,0,0,,0,0
43:58.1,00:06.7,0,1,0,1,0,21.142,59.096,35.89780617,139.9357672, T 15,0,0,0,0,0,0,0,0,,0,0
43:58.1,00:06.7,0,1,0,1,0,21.142,59.096,35.89780617,139.9357672, T 15,0,0,0,0,0,0,0,0,,0,0
43:58.2,00:06.8,0,1,0,1,0,21.117,59.065,35.89780617,139.9357672, T 15,0,0,0,0,0,0,0,0,,0,0
43:58.3,00:06.9,0,1,0,1,0,21.117,59.065,35.89780602,139.9357673, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.3,00:06.9,0,1,0,1,0,21.117,59.065,35.89780602,139.9357673, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.4,00:07.0,0,1,0,1,0,21.119,59.05,35.89780602,139.9357673, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.5,00:07.1,0,1,0,1,0,21.119,59.05,35.8978058,139.9357674, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.5,00:07.1,0,1,0,1,0,21.119,59.05,35.8978058,139.9357674, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.6,00:07.2,0,1,0,1,0,21.133,59.025,35.8978058,139.9357674, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.7,00:07.3,0,1,0,1,0,21.133,59.025,35.89780565,139.9357674, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.7,00:07.3,0,1,0,1,0,21.133,59.025,35.89780565,139.9357674, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.8,00:07.4,0,1,0,1,0,21.134,59.009,35.89780565,139.9357674, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.9,00:07.5,0,1,0,1,0,21.134,59.009,35.8978055,139.9357676, T 14,0,0,0,0,0,0,0,0,,0,0
43:58.9,00:07.5,0,1,0,1,0,21.134,59.009,35.8978055,139.9357676, T 14,0,0,0,0,0,0,0,0,,0,0
43:59.0,00:07.6,0,1,0,1,0,21.148,58.992,35.8978055,139.9357676, T 14,0,0,0,0,0,0,0,0,,0,0
