"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:07:47",,"キックオフ",,,,,
="0:00:07:57","ポゼッションスタート",,,,,,
="0:00:07:57","筑波大学",,,,,,
="0:00:12:91",,,"森海渡","パス",,,
="0:00:15:04",,,"高嶺朋樹","パス",,,
="0:00:16:34","ポゼッションエンド",,,,,,
="0:00:16:34","筑波大学",,,,,,
="0:00:17:95",,,"森侑里","パス",,,
="0:00:20:22",,,"加藤匠人","ボールロスト",,,
="0:00:21:28","ポゼッションスタート",,,,,,
="0:00:21:28","相手チーム",,,,,,
="0:00:35:50","ポゼッションエンド",,,,,,
="0:00:35:50","相手チーム",,,,,,
="0:00:38:67","ポゼッションスタート",,,,,,
="0:00:38:67","筑波大学",,,,,,
="0:00:40:97",,,"山川哲史",,"インターセプト",,
="0:00:42:60",,,"山川哲史","パス",,,
="0:00:44:94",,,"井川空","パス",,,
="0:00:49:14",,,"阿部航斗","パス",,,
="0:00:52:28","ポゼッションエンド",,,,,,
="0:00:52:28","筑波大学",,,,,,
="0:00:55:65",,,"三笘薫","ボールロスト",,,
="0:00:56:22","ポゼッションスタート",,,,,,
="0:00:56:22","筑波大学",,,,,,
="0:01:06:96",,,"阿部航斗","パス",,,
="0:01:09:10",,,"森侑里","パス",,,
="0:01:11:60",,,"阿部航斗","パス",,,
="0:01:20:31",,,"高嶺朋樹","パス",,,
="0:01:23:08",,,"山川哲史","パス",,,
="0:01:25:88",,,"井川空","パス",,,
="0:01:26:78",,,"渡邊陽","パス",,,
="0:01:28:25",,,"山川哲史","パス",,,
="0:01:29:58",,,"池谷祐輔","パス",,,
="0:01:31:12",,,"渡邊陽","パス",,,
="0:01:37:66",,,"山原怜音","パス",,,
="0:01:38:93",,,"渡邊陽","パス",,,
="0:01:40:40","ポゼッションエンド",,,,,,
="0:01:40:40","筑波大学",,,,,,
="0:01:41:93",,,"山原怜音","ボールロスト",,,
="0:01:46:84",,"CK","山原怜音",,,,
="0:02:18:23","ポゼッションスタート",,,,,,
="0:02:18:23","筑波大学",,,,,,
="0:02:24:41",,,"加藤匠人","パス",,,
="0:02:26:24",,,"高嶺朋樹","パス",,,
="0:02:31:45",,,"加藤匠人","パス",,,
="0:02:33:35",,,"山原怜音","パス",,,
="0:02:37:12",,,"高嶺朋樹","パス",,,
="0:02:45:39",,,"井川空","パス",,,
="0:02:47:46",,,"山川哲史","パス",,,
="0:02:51:47",,,"森侑里","パス",,,
="0:02:52:67","ポゼッションエンド",,,,,,
="0:02:52:67","筑波大学",,,,,,
="0:02:54:07",,,"山原怜音","パス",,,
="0:02:54:44",,"スローイン","山原怜音",,,,
="0:02:59:94","ポゼッションスタート",,,,,,
="0:02:59:94","筑波大学",,,,,,
="0:03:03:38","ポゼッションエンド",,,,,,
="0:03:03:38","筑波大学",,,,,,
="0:03:03:81",,,"池谷祐輔","パス",,,
="0:03:04:91",,,"加藤匠人","パス",,,
="0:03:08:45",,,"池谷祐輔","クロス",,,
="0:03:11:49","ポゼッションスタート",,,,,,
="0:03:11:49","相手チーム",,,,,,
="0:03:17:63","ポゼッションエンド",,,,,,
="0:03:17:63","相手チーム",,,,,,
="0:03:20:13",,,"山川哲史",,"インターセプト",,
="0:03:20:66","ポゼッションスタート",,,,,,
="0:03:20:66","筑波大学",,,,,,
="0:03:26:27",,,"山川哲史","パス",,,
="0:03:29:67",,,"阿部航斗","パス",,,
="0:03:32:51",,,"山川哲史","パス",,,
="0:03:33:94","ポゼッションエンド",,,,,,
="0:03:33:94","筑波大学",,,,,,
="0:03:35:81","相手チーム",,,,,"ファール",
="0:03:36:75",,,"渡邊陽","パス",,,
="0:03:53:90",,"FK","山川哲史",,,,
="0:03:54:23","ポゼッションスタート",,,,,,
="0:03:54:23","筑波大学",,,,,,
="0:03:59:10",,,"山川哲史","パス",,,
="0:04:01:37",,,"阿部航斗","パス",,,
="0:04:08:21","ポゼッションエンド",,,,,,
="0:04:08:21","筑波大学",,,,,,
="0:04:09:78",,,"森侑里","ボールロスト",,,
="0:04:10:11",,,"山原怜音",,"インターセプト",,
="0:04:12:38","ポゼッションスタート",,,,,,
="0:04:12:38","筑波大学",,,,,,
="0:04:18:39",,,"森侑里","パス",,,
="0:04:21:66",,,"山原怜音","パス",,,
="0:04:23:39",,,"森侑里","パス",,,
="0:04:25:39",,,"阿部航斗","パス",,,
="0:04:27:63","ポゼッションエンド",,,,,,
="0:04:27:63","筑波大学",,,,,,
="0:04:30:17",,,"山川哲史","パス",,,
="0:04:32:03",,,"井川空","パス",,,
="0:04:32:87",,,"三笘薫","ボールロスト",,,
="0:04:37:54","ポゼッションスタート",,,,,,
="0:04:37:54","筑波大学",,,,,,
="0:04:41:71",,,"井川空","パス",,,
="0:04:43:41",,,"三笘薫","パス",,,
="0:04:46:18",,,"渡邊陽","パス",,,
="0:04:48:55","ポゼッションエンド",,,,,,
="0:04:48:55","筑波大学",,,,,,
="0:04:51:45",,,"森侑里","パス",,,
="0:04:52:82",,,"高嶺朋樹","ボールロスト",,,
="0:04:54:99",,,"阿部航斗",,,,"キャッチ"
="0:04:58:66","ポゼッションスタート",,,,,,
="0:04:58:66","筑波大学",,,,,,
="0:05:03:57",,,"阿部航斗","パス",,,
="0:05:05:30",,,"森侑里","パス",,,
="0:05:07:24",,,"渡邊陽","パス",,,
="0:05:10:27",,,"三笘薫","パス",,,
="0:05:12:37",,,"渡邊陽","パス",,,
="0:05:15:78",,,"山川哲史","パス",,,
="0:05:20:42",,,"森侑里","パス",,,
="0:05:21:62",,,"山川哲史","パス",,,
="0:05:23:89",,,"渡邊陽","パス",,,
="0:05:30:86",,,"渡邊陽",,"カット",,
="0:05:37:67",,,"山川哲史","パス",,,
="0:05:38:90","ポゼッションエンド",,,,,,
="0:05:38:90","筑波大学",,,,,,
="0:05:39:17",,,"阿部航斗","パス",,,
="0:05:39:60","相手チーム",,,,"被枠外シュート",,
="0:05:42:10",,,"三笘薫","ボールロスト",,,
="0:05:50:48",,"GK","阿部航斗",,,,
="0:06:12:00","ポゼッションスタート",,,,,,
="0:06:12:00","相手チーム",,,,,,
="0:06:25:31","ポゼッションエンド",,,,,,
="0:06:25:31","相手チーム",,,,,,
="0:06:25:85",,,"井川空",,"インターセプト",,
="0:06:29:25","ポゼッションスタート",,,,,,
="0:06:29:25","相手チーム",,,,,,
="0:06:31:89",,,"井川空","パス",,,
="0:06:32:15","ポゼッションエンド",,,,,,
="0:06:32:15","相手チーム",,,,,,
="0:06:36:96",,,"池谷祐輔",,"カット",,
="0:06:37:99",,,"池谷祐輔","パス",,,
="0:06:39:56",,,"森海渡","ボールロスト",,,
="0:06:40:63",,,"森海渡",,,"ファール",
="0:06:48:37","相手チーム","FK",,,,,
="0:06:57:51","ポゼッションスタート",,,,,,
="0:06:57:51","相手チーム",,,,,,
="0:07:10:36",,,"三笘薫",,"インターセプト",,
="0:07:10:63","ポゼッションエンド",,,,,,
="0:07:10:63","相手チーム",,,,,,
="0:07:18:67","相手チーム","スローイン",,,,,
="0:07:25:64","ポゼッションスタート",,,,,,
="0:07:25:64","相手チーム",,,,,,
="0:07:45:03","ポゼッションエンド",,,,,,
="0:07:45:03","相手チーム",,,,,,
="0:07:52:97",,"スローイン","井川空",,,,
="0:07:57:84","ポゼッションスタート",,,,,,
="0:07:57:84","相手チーム",,,,,,
="0:08:07:25",,,"渡邊陽","パス",,,
="0:08:09:28",,,"三笘薫","パス",,,
="0:08:14:19",,,"加藤匠人","ボールロスト",,,
="0:09:30:13","ポゼッションエンド",,,,,,
="0:09:30:13","相手チーム",,,,,,
="0:09:33:80",,"GK","阿部航斗",,,,
="0:10:05:27",,,"山川哲史",,"ブロック",,
="0:10:08:17",,,"高嶺朋樹",,,"ファール",
="0:11:04:96","相手チーム","FK",,,,,
="0:11:11:60","相手チーム",,,,"被枠外シュート",,
="0:11:27:32",,"GK","阿部航斗",,,,
="0:11:46:74",,,"森侑里",,"インターセプト",,
="0:11:50:81",,,"森侑里","パス",,,
="0:11:53:17",,,"山原怜音","パス",,,
="0:11:55:91","ポゼッションスタート",,,,,,
="0:11:55:91","筑波大学",,,,,,
="0:11:57:41",,,"三笘薫","ドリブル",,,
="0:12:00:15","ポゼッションエンド",,,,,,
="0:12:00:15","筑波大学",,,,,,
="0:12:03:28","ポゼッションスタート",,,,,,
="0:12:03:28","筑波大学",,,,,,
="0:12:04:05",,,"三笘薫","ボールロスト",,,
="0:12:04:09",,,"高嶺朋樹",,"インターセプト",,
="0:12:08:36","ポゼッションエンド",,,,,,
="0:12:08:36","筑波大学",,,,,,
="0:12:10:59",,,"高嶺朋樹","パス",,,
="0:12:13:80",,,"加藤匠人","ボールロスト",,,
="0:12:27:44","相手チーム","GK",,,,,
="0:12:36:05",,,"加藤匠人",,"ブロック",,
="0:12:47:93",,"スローイン","山原怜音",,,,
="0:12:56:67","ポゼッションスタート",,,,,,
="0:12:56:67","相手チーム",,,,,,
="0:12:59:41","相手チーム",,,,"被枠外シュート",,
="0:13:00:21","ポゼッションエンド",,,,,,
="0:13:00:21","相手チーム",,,,,,
="0:13:19:53",,"GK","阿部航斗",,,,
="0:13:33:58","ポゼッションスタート",,,,,,
="0:13:33:58","筑波大学",,,,,,
="0:13:38:55",,,"池谷祐輔","パス",,,
="0:13:39:85",,,"渡邊陽","パス",,,
="0:13:41:68","ポゼッションエンド",,,,,,
="0:13:41:68","筑波大学",,,,,,
="0:13:42:25",,,"山原怜音","パス",,,
="0:13:46:59","ポゼッションスタート",,,,,,
="0:13:46:59","筑波大学",,,,,,
="0:13:46:89",,,"加藤匠人","ボールロスト",,,
="0:13:48:46",,,"山原怜音",,"カット",,
="0:13:55:30",,,"渡邊陽","ドリブル",,,
="0:13:57:37",,,"渡邊陽","パス",,,
="0:13:58:97","ポゼッションエンド",,,,,,
="0:13:58:97","筑波大学",,,,,,
="0:14:01:74",,,"加藤匠人","枠内シュート",,,
="0:14:03:44",,,"池谷祐輔","パス",,,
="0:14:15:68",,,"山原怜音",,"ブロック",,
="0:14:17:42","相手チーム","スローイン",,,,,
="0:14:22:46","ポゼッションスタート",,,,,,
="0:14:22:46","相手チーム",,,,,,
="0:14:44:88","ポゼッションエンド",,,,,,
="0:14:44:88","相手チーム",,,,,,
="0:14:44:95",,,"森海渡",,,"ファール",
="0:14:44:95",,,"森侑里",,,,
="0:15:07:10","相手チーム","FK",,,,,
="0:15:07:24","ポゼッションスタート",,,,,,
="0:15:07:24","相手チーム",,,,,,
="0:15:24:42","ポゼッションエンド",,,,,,
="0:15:24:42","相手チーム",,,,,,
