"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:08:00",,"キックオフ",,,,,
="0:00:10:31","ポゼッションスタート",,,,,,
="0:00:10:31","相手チーム",,,,,,
="0:00:14:34","ポゼッションエンド",,,,,,
="0:00:14:34","相手チーム",,,,,,
="0:00:14:64",,,"高嶺朋樹",,"インターセプト",,
="0:00:18:81",,,"高嶺朋樹","パス",,,
="0:00:19:78","ポゼッションスタート",,,,,,
="0:00:19:78","筑波大学",,,,,,
="0:00:23:82",,,"高嶺朋樹","パス",,,
="0:00:27:86",,,"井川空","パス",,,
="0:00:29:62",,,"三笘薫",,,,
="0:00:34:03",,,"井川空","パス",,,
="0:00:37:53",,,"三笘薫","パス",,,
="0:00:38:70",,,"渡邊陽","パス",,,
="0:00:43:94",,,"三笘薫","パス",,,
="0:00:46:68",,,"池谷祐輔","パス",,,
="0:00:48:64",,,"渡邊陽","パス",,,
="0:00:51:18",,,"山原怜音","パス",,,
="0:00:53:35",,,"加藤匠人","パス",,,
="0:00:54:02","ポゼッションエンド",,,,,,
="0:00:54:02","筑波大学",,,,,,
="0:00:55:72",,,"高嶺朋樹",,"インターセプト",,
="0:00:57:75","ポゼッションスタート",,,,,,
="0:00:57:75","筑波大学",,,,,,
="0:01:02:62",,,"高嶺朋樹","パス",,,
="0:01:03:36",,,"渡邊陽","枠内シュート",,,
="0:01:04:36",,,"森海渡","パス",,,
="0:01:13:77",,,"三笘薫","パス",,,
="0:01:14:54","得点",,"池谷祐輔","枠内シュート",,,
="0:01:16:30",,,"渡邊陽","パス",,,
="0:01:17:64","ポゼッションエンド",,,,,,
="0:01:17:64","筑波大学",,,,,,
="0:01:52:71",,"キックオフ",,,,,
="0:01:52:97","ポゼッションスタート",,,,,,
="0:01:52:97","相手チーム",,,,,,
="0:02:09:96",,,"渡邊陽",,"インターセプト",,
="0:02:10:39","ポゼッションエンド",,,,,,
="0:02:10:39","相手チーム",,,,,,
="0:02:13:93","ポゼッションスタート",,,,,,
="0:02:13:93","筑波大学",,,,,,
="0:02:16:33",,,"三笘薫","パス",,,
="0:02:21:10",,,"井川空","パス",,,
="0:02:23:74",,,"山川哲史","パス",,,
="0:02:26:68",,,"阿部航斗","パス",,,
="0:02:30:85",,,"加藤匠人","パス",,,
="0:02:32:01",,,"池谷祐輔","パス",,,
="0:02:33:48",,,"渡邊陽","パス",,,
="0:02:36:82",,,"三笘薫","ドリブル",,,
="0:02:42:72","ポゼッションエンド",,,,,,
="0:02:42:72","筑波大学",,,,,,
="0:02:48:16","ポゼッションスタート",,,,,,
="0:02:48:16","相手チーム",,,,,,
="0:02:59:77","ポゼッションエンド",,,,,,
="0:02:59:77","相手チーム",,,,,,
="0:03:02:51",,"スローイン","山原怜音",,,,
="0:03:09:45",,,"森海渡","パス",,,
="0:03:09:72",,,"加藤匠人","枠内シュート",,,
="0:03:25:53",,"スローイン","山原怜音",,,,
="0:03:28:64","ポゼッションスタート",,,,,,
="0:03:28:64","筑波大学",,,,,,
="0:03:33:14",,,"池谷祐輔","パス",,,
="0:03:35:08",,,"高嶺朋樹","パス",,,
="0:03:37:28",,,"森侑里","パス",,,
="0:03:40:88",,,"山川哲史","パス",,,
="0:03:45:69",,,"三笘薫","ドリブル",,,
="0:03:48:02",,,"三笘薫","パス",,,
="0:03:49:32","ポゼッションエンド",,,,,,
="0:03:49:32","筑波大学",,,,,,
="0:03:50:23",,,"渡邊陽","パス",,,
="0:03:50:23",,,,"ボールロスト",,,
="0:03:52:66",,,"森侑里",,"インターセプト",,
="0:03:58:13",,,"森侑里","パス",,,
="0:03:59:83","ポゼッションスタート",,,,,,
="0:03:59:83","筑波大学",,,,,,
="0:04:01:20",,,"山原怜音","パス",,,
="0:04:02:14",,,"池谷祐輔","パス",,,
="0:04:03:24",,,"山原怜音","パス",,,
="0:04:04:11",,,"山原怜音","クロス",,,
="0:04:04:91","ポゼッションエンド",,,,,,
="0:04:04:91","筑波大学",,,,,,
="0:04:05:34",,,"三笘薫","パス",,,
="0:04:07:94",,,"池谷祐輔","枠外シュート",,,
="0:04:29:00","相手チーム","GK",,,,,
="0:04:37:84",,,"井川空",,"クリア",,
="0:04:44:95",,,"渡邊陽",,"インターセプト",,
="0:04:47:52",,,"渡邊陽","パス",,,
="0:04:54:92",,"スローイン","井川空",,,,
="0:04:57:93","ポゼッションスタート",,,,,,
="0:04:57:93","筑波大学",,,,,,
="0:05:00:76",,,"三笘薫","ドリブル",,,
="0:05:02:06",,,"高嶺朋樹","パス",,,
="0:05:08:67",,,"池谷祐輔","枠内シュート",,,
="0:05:10:51",,,"三笘薫","パス",,,
="0:05:11:74","ポゼッションエンド",,,,,,
="0:05:11:74","筑波大学",,,,,,
="0:05:15:91","ポゼッションスタート",,,,,,
="0:05:15:91","筑波大学",,,,,,
="0:05:18:71",,,"山川哲史",,"カット",,
="0:05:26:25",,,"高嶺朋樹","パス",,,
="0:05:27:89",,,"渡邊陽","パス",,,
="0:05:30:26",,,"森侑里","パス",,,
="0:05:32:99","ポゼッションエンド",,,,,,
="0:05:32:99","筑波大学",,,,,,
="0:05:33:36",,,"阿部航斗","パス",,,
="0:05:33:36",,,,"ボールロスト",,,
="0:05:37:53","ポゼッションスタート",,,,,,
="0:05:37:53","相手チーム",,,,,,
="0:06:10:83",,,"井川空",,"カット",,
="0:06:11:13","ポゼッションエンド",,,,,,
="0:06:11:13","相手チーム",,,,,,
="0:06:21:14",,"スローイン","井川空",,,,
="0:06:30:22","ポゼッションスタート",,,,,,
="0:06:30:22","相手チーム",,,,,,
="0:06:35:66","ポゼッションエンド",,,,,,
="0:06:35:66","相手チーム",,,,,,
="0:06:35:99","相手チーム",,,,"被枠外シュート",,
="0:06:59:85",,"GK","阿部航斗",,,,
="0:07:07:79",,,"森海渡","パス",,,
="0:07:13:03","相手チーム","スローイン",,,,,
="0:07:17:13","ポゼッションスタート",,,,,,
="0:07:17:13","相手チーム",,,,,,
="0:07:22:37","ポゼッションエンド",,,,,,
="0:07:22:37","相手チーム",,,,,,
="0:07:35:18",,"スローイン","山原怜音",,,,
="0:07:38:59","ポゼッションスタート",,,,,,
="0:07:38:59","筑波大学",,,,,,
="0:07:42:22",,,"山原怜音","パス",,,
="0:07:45:63",,,"森侑里","パス",,,
="0:07:48:50",,,"阿部航斗","パス",,,
="0:07:53:23",,,"山川哲史","パス",,,
="0:07:53:94",,,"高嶺朋樹","ドリブル",,,
="0:08:04:05","ポゼッションエンド",,,,,,
="0:08:04:05","筑波大学",,,,,,
="0:08:07:75","ポゼッションスタート",,,,,,
="0:08:07:75","筑波大学",,,,,,
="0:08:08:45",,,"山原怜音","パス",,,
="0:08:11:19",,,"池谷祐輔","パス",,,
="0:08:12:69",,,"高嶺朋樹","パス",,,
="0:08:14:89",,,"渡邊陽","パス",,,
="0:08:17:83",,,"森侑里","パス",,,
="0:08:21:80",,,"渡邊陽","パス",,,
="0:08:28:87",,,"山川哲史","パス",,,
="0:08:33:17",,,"山原怜音","パス",,,
="0:08:35:31",,,"池谷祐輔","パス",,,
="0:08:36:28",,,"山原怜音","パス",,,
="0:08:38:85",,,"池谷祐輔","パス",,,
="0:08:40:45",,,"高嶺朋樹","パス",,,
="0:08:42:42","ポゼッションエンド",,,,,,
="0:08:42:42","筑波大学",,,,,,
="0:08:42:98",,,"渡邊陽","パス",,,
="0:08:45:55","ポゼッションスタート",,,,,,
="0:08:45:55","相手チーム",,,,,,
="0:08:56:60",,,"山川哲史",,"シュートブロック",,
="0:08:57:20","ポゼッションエンド",,,,,,
="0:08:57:20","相手チーム",,,,,,
="0:09:02:77","ポゼッションスタート",,,,,,
="0:09:02:77","相手チーム",,,,,,
="0:09:08:38",,,"井川空",,"クリア",,
="0:09:09:81","ポゼッションエンド",,,,,,
="0:09:09:81","相手チーム",,,,,,
="0:09:12:98","ポゼッションスタート",,,,,,
="0:09:12:98","筑波大学",,,,,,
="0:09:14:95",,,"三笘薫","ドリブル",,,
="0:09:20:76","ポゼッションエンド",,,,,,
="0:09:20:76","筑波大学",,,,,,
="0:09:23:12",,,"三笘薫","枠内シュート",,,
="0:09:24:86","ポゼッションスタート",,,,,,
="0:09:24:86","相手チーム",,,,,,
="0:09:43:91","ポゼッションエンド",,,,,,
="0:09:43:91","相手チーム",,,,,,
="0:09:48:02",,"スローイン","井川空",,,,
="0:09:54:26",,,"渡邊陽","パス",,,
="0:09:55:02",,,"井川空","パス",,,
="0:09:55:02",,,,"ボールロスト",,,
="0:09:55:69","ポゼッションスタート",,,,,,
="0:09:55:69","筑波大学",,,,,,
="0:09:57:13",,,"高嶺朋樹","パス",,,
="0:09:58:33",,,"渡邊陽","パス",,,
="0:09:59:39",,,"高嶺朋樹","パス",,,
="0:10:04:93",,,"森侑里","パス",,,
="0:10:08:60",,,"山原怜音","パス",,,
="0:10:10:67",,,"森侑里","パス",,,
="0:10:13:38",,,"高嶺朋樹","パス",,,
="0:10:15:64",,,"山川哲史","パス",,,
="0:10:17:65","ポゼッションエンド",,,,,,
="0:10:17:65","筑波大学",,,,,,
="0:10:18:48",,,"三笘薫","パス",,,
="0:10:18:48",,,,"ボールロスト",,,
="0:10:25:75",,,"井川空",,"インターセプト",,
="0:10:30:23",,,"井川空","パス",,,
="0:10:31:73",,,"渡邊陽","パス",,,
="0:10:33:33",,,"井川空","パス",,,
="0:10:41:97",,"スローイン","井川空",,,,
="0:10:46:81",,,,"パス",,,
="0:10:52:15",,,"山川哲史",,"ブロック",,
="0:11:01:52","相手チーム","スローイン",,,,,
="0:11:06:53","ポゼッションスタート",,,,,,
="0:11:06:53","相手チーム",,,,,,
="0:11:11:47","ポゼッションエンド",,,,,,
="0:11:11:47","相手チーム",,,,,,
="0:11:14:37",,,"山川哲史",,"クリア",,
="0:11:16:94","ポゼッションスタート",,,,,,
="0:11:16:94","筑波大学",,,,,,
="0:11:21:64",,,"渡邊陽","パス",,,
="0:11:24:08",,,"三笘薫","パス",,,
="0:11:25:41",,,"井川空","パス",,,
="0:11:26:08",,,"渡邊陽","パス",,,
="0:11:28:72",,,"山川哲史","パス",,,
="0:11:32:75",,,"森侑里","パス",,,
="0:11:36:86",,,"高嶺朋樹","パス",,,
="0:11:37:59","ポゼッションエンド",,,,,,
="0:11:37:59","筑波大学",,,,,,
="0:11:43:53","相手チーム","スローイン",,,,,
="0:11:45:20","ポゼッションスタート",,,,,,
="0:11:45:20","相手チーム",,,,,,
="0:11:53:54",,,"山原怜音",,"シュートブロック",,
="0:11:54:04","ポゼッションエンド",,,,,,
="0:11:54:04","相手チーム",,,,,,
="0:11:58:11",,,"渡邊陽",,"クリア",,
="0:11:59:21","ポゼッションスタート",,,,,,
="0:11:59:21","相手チーム",,,,,,
="0:12:40:09",,,"三笘薫",,"カット",,
="0:12:40:82","ポゼッションエンド",,,,,,
="0:12:40:82","相手チーム",,,,,,
="0:12:46:49",,,"三笘薫","パス",,,
="0:12:51:67","ポゼッションスタート",,,,,,
="0:12:51:67","相手チーム",,,,,,
="0:13:01:48",,,"渡邊陽",,"ブロック",,
="0:13:01:88","ポゼッションエンド",,,,,,
="0:13:01:88","相手チーム",,,,,,
="0:13:06:35","ポゼッションスタート",,,,,,
="0:13:06:35","相手チーム",,,,,,
="0:13:11:82",,,"山川哲史",,"シュートブロック",,
="0:13:13:79","ポゼッションエンド",,,,,,
="0:13:13:79","相手チーム",,,,,,
="0:13:17:33","ポゼッションスタート",,,,,,
="0:13:17:33","相手チーム",,,,,,
="0:13:43:99",,,"山川哲史",,"インターセプト",,
="0:13:44:49","ポゼッションエンド",,,,,,
="0:13:44:49","相手チーム",,,,,,
="0:13:51:13",,,"山川哲史","パス",,,
="0:13:52:23",,,"森海渡","パス",,,
="0:13:52:59","ポゼッションスタート",,,,,,
="0:13:52:59","相手チーム",,,,,,
="0:14:28:16",,,"池谷祐輔",,"インターセプト",,
="0:14:29:83","ポゼッションエンド",,,,,,
="0:14:29:83","相手チーム",,,,,,
="0:14:32:60",,,"池谷祐輔","パス",,,
="0:14:33:34","相手チーム",,,,,"ファール",
="0:14:58:53",,"FK","井川空",,,,
="0:15:02:90","ポゼッションスタート",,,,,,
="0:15:02:90","筑波大学",,,,,,
="0:15:07:34",,,"三笘薫","ドリブル",,,
="0:15:11:44",,,"三笘薫","パス",,,
="0:15:17:78",,,"加藤匠人","パス",,,
="0:15:22:28",,,"山原怜音","パス",,,
="0:15:25:32",,,"森侑里","パス",,,
="0:15:29:69",,,"阿部航斗","パス",,,
="0:15:29:76","ポゼッションエンド",,,,,,
="0:15:29:76","筑波大学",,,,,,
="0:15:32:63","ポゼッションスタート",,,,,,
="0:15:32:63","相手チーム",,,,,,
="0:15:38:53","ポゼッションエンド",,,,,,
