Player,: Iwamoto Sho,,,,,,,,,,,,,,,,,,,,,
Session,: 20190502 Top Kanto League 4sec vs Meiji Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,28:35.6,,,,,,,,,,,,,,,,,,,,,
End,00:58.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
28:35.6,00:00.0,0,1,0,1,0,48.492,40.667,35.89769977,139.9358829, T 10,,0,0,0,0,0,0,0,,0,0
28:35.7,00:00.1,0,1,0,1,0,48.492,40.667,35.8977001,139.9358851, T 10,0,0,0,0,0,0,0,0,,0,0
28:35.7,00:00.1,0,1,0,1,0,48.492,40.667,35.8977001,139.9358851, T 10,0,0,0,0,0,0,0,0,,0,0
28:35.8,00:00.2,0,1,0,1,0,48.697,40.704,35.8977001,139.9358851, T 10,0,0,0,0,0,0,0,0,,0,0
28:35.9,00:00.3,0,1,0,1,0,48.697,40.704,35.89769989,139.9358873, T 10,0,0,0,0,0,0,0,0,,0,0
28:35.9,00:00.3,0,1,0,1,0,48.697,40.704,35.89769989,139.9358873, T 10,0,0,0,0,0,0,0,0,,0,0
28:36.0,00:00.4,0,1,0,1,0,48.894,40.68,35.89769989,139.9358873, T 10,0,0,0,0,0,0,0,0,,0,0
28:36.1,00:00.5,0,1,0,1,0,48.894,40.68,35.89770043,139.9358893, T 10,0,0,0,0,0,0,0,0,,0,0
28:36.1,00:00.5,0,1,0,1,0,48.894,40.68,35.89770043,139.9358893, T 10,0,0,0,0,0,0,0,0,,0,0
28:36.2,00:00.6,0,1,0,1,0,49.071,40.74,35.89770043,139.9358893, T 10,0,0,0,0,0,0,0,0,,0,0
28:36.3,00:00.7,0,1,0,1,0,49.071,40.74,35.89770064,139.9358912, T 10,0,0,0,0,0,0,0,0,,0,0
28:36.3,00:00.7,0,1,0,1,0,49.071,40.74,35.89770064,139.9358912, T 10,0,0,0,0,0,0,0,0,,0,0
28:36.4,00:00.8,0,1,0,1,0,49.248,40.763,35.89770064,139.9358912, T 10,0,0,0,0,0,0,0,0,,0,0
