"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:01:03:86",,,"森海渡",,,,
="0:01:14:87",,,"森侑里",,"ブロック",,
="0:01:20:31",,,"山原怜音",,"クリア",,
="0:01:37:93",,,"森侑里",,"ブロック",,
="0:01:40:06","相手チーム","スローイン",,,,,
="0:01:53:61",,"スローイン","山原怜音",,,,
="0:01:54:88",,,"池谷祐輔","パス",,,
="0:01:56:21",,,"山原怜音","パス",,,
="0:01:57:15",,,"山原怜音",,"ブロック",,
="0:01:58:45",,,"森海渡","ボールロスト",,,
="0:02:01:88",,,"森侑里",,"ブロック",,
="0:02:07:49",,,"三笘薫","パス",,,
="0:02:09:96",,,"池谷祐輔","ボールロスト",,,
="0:02:12:33",,,"山川哲史",,"ブロック",,
="0:02:13:03","ポゼッションスタート",,,,,,
="0:02:13:03","相手チーム",,,,,,
="0:02:23:67","相手チーム",,,,,"オフサイド",
="0:02:24:37","ポゼッションエンド",,,,,,
="0:02:24:37","相手チーム",,,,,,
="0:02:33:82","ポゼッションスタート",,,,,,
="0:02:33:82","筑波大学",,,,,,
="0:02:34:08",,"FK","山川哲史",,,,
="0:02:36:55",,,"阿部航斗","パス",,,
="0:02:38:25",,,"森侑里","パス",,,
="0:02:43:26",,,"山原怜音","パス",,,
="0:02:45:56",,,"森侑里","パス",,,
="0:02:48:80",,,"山川哲史","パス",,,
="0:02:51:53",,,"井川空","パス",,,
="0:02:54:40",,,"山川哲史","パス",,,
="0:02:56:91",,,"高嶺朋樹","ドリブル",,,
="0:02:58:01",,,"高嶺朋樹","パス",,,
="0:03:00:98",,,"山原怜音","ボールロスト",,,
="0:03:01:04","ポゼッションエンド",,,,,,
="0:03:01:04","筑波大学",,,,,,
="0:03:07:58",,,"山川哲史",,"インターセプト",,
="0:03:13:72",,,"三笘薫","パス",,,
="0:03:14:12","ポゼッションスタート",,,,,,
="0:03:14:12","筑波大学",,,,,,
="0:03:15:76",,,"渡邊陽","パス",,,
="0:03:17:49",,,"森侑里","パス",,,
="0:03:20:16",,,"山原怜音","パス",,,
="0:03:21:36",,,"池谷祐輔","ボールロスト",,,
="0:03:24:37","ポゼッションエンド",,,,,,
="0:03:24:37","筑波大学",,,,,,
="0:03:39:05",,,"山川哲史",,"インターセプト",,
="0:03:43:39",,,"山川哲史","パス",,,
="0:03:44:69","ポゼッションスタート",,,,,,
="0:03:44:69","筑波大学",,,,,,
="0:03:45:42",,,"井川空","パス",,,
="0:03:46:55",,,"高嶺朋樹","パス",,,
="0:03:46:55",,,"渡邊陽","ドリブル",,,
="0:03:49:76",,,"渡邊陽","パス",,,
="0:03:56:56","ポゼッションエンド",,,,,,
="0:03:56:56","筑波大学",,,,,,
