"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:27:86",,,"阿部航斗",,,,
="0:00:37:17","ポゼッションスタート",,,,,,
="0:00:37:17","筑波大学",,,,,,
="0:00:43:00",,,"高嶺朋樹","ドリブル",,,
="0:00:51:11","ポゼッションエンド",,,,,,
="0:00:51:11","筑波大学",,,,,,
="0:01:06:29",,,"森侑里",,"ブロック",,
="0:01:20:08","ポゼッションスタート",,,,,,
="0:01:20:08","相手チーム",,,,,,
="0:01:20:14","相手チーム","スローイン",,,,,
="0:01:24:48",,,"山川哲史",,"ブロック",,
="0:01:30:39","ポゼッションエンド",,,,,,
="0:01:30:39","相手チーム",,,,,,
="0:01:31:32",,,"三笘薫","ドリブル",,,
="0:01:37:89","ポゼッションスタート",,,,,,
="0:01:37:89","相手チーム",,,,,,
="0:01:49:00",,,"三笘薫",,"カット",,
="0:01:54:94",,,"池谷祐輔","ドリブル",,,
="0:01:55:64","ポゼッションエンド",,,,,,
="0:01:55:64","相手チーム",,,,,,
="0:01:56:41","ポゼッションスタート",,,,,,
="0:01:56:41","筑波大学",,,,,,
="0:02:05:12","ポゼッションエンド",,,,,,
="0:02:05:12","筑波大学",,,,,,
="0:02:10:13","ポゼッションスタート",,,,,,
="0:02:10:13","相手チーム",,,,,,
="0:02:17:97",,,"山川哲史",,"インターセプト",,
="0:02:22:74","ポゼッションエンド",,,,,,
="0:02:22:74","相手チーム",,,,,,
="0:02:23:44","ポゼッションスタート",,,,,,
="0:02:23:44","筑波大学",,,,,,
="0:02:24:34",,,"井川空",,"クリア",,
="0:02:30:05","ポゼッションエンド",,,,,,
="0:02:30:05","筑波大学",,,,,,
="0:02:30:55","ポゼッションスタート",,,,,,
="0:02:30:55","相手チーム",,,,,,
="0:03:23:80","ポゼッションエンド",,,,,,
="0:03:23:80","相手チーム",,,,,,
="0:03:29:90","相手チーム","スローイン",,,,,
="0:03:31:54","ポゼッションスタート",,,,,,
="0:03:31:54","相手チーム",,,,,,
="0:03:35:98",,,"森侑里",,"インターセプト",,
="0:03:40:15","ポゼッションエンド",,,,,,
="0:03:40:15","相手チーム",,,,,,
