Player,: Kurihara Syusuke,,,,,,,,,,,,,,,,,,,,,
Session,: 20190529 Top Kanto League 7sec vs RKU.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,43:35.6,,,,,,,,,,,,,,,,,,,,,
End,57:29.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
43:35.6,00:00.0,0,1,5.004,1,0,26.624,66.529,35.89792232,139.9356752, T 4,,0,0,0,0,0,0,0,,0,0
43:35.7,00:00.1,0,1,5.1,1,0.094,26.641,66.458,35.89792039,139.9356758, T 4,7.15,0,0,0,0,0,0,0,,6,5.148
43:35.7,00:00.1,0,1,5.196,1,0.189,26.659,66.387,35.89792039,139.9356758, T 4,7.15,0.1,0,0,0,0,0,0,,6,5.148
43:35.8,00:00.2,0,1,5.292,1,0.286,26.676,66.315,35.89792039,139.9356758, T 4,7.15,0.1,0,0,0,0,0,0,,6,5.148
43:35.9,00:00.3,0,1,5.148,1,0.383,26.712,66.234,35.8979182,139.935677, T 4,-0.1,0.1,0,0,0,0,0,0,,-0.1,5.076
43:35.9,00:00.3,0,1,5.004,1,0.477,26.749,66.153,35.8979182,139.935677, T 4,-0.1,0.1,0,0,0,0,0,0,,-0.1,5.076
43:36.0,00:00.4,0,1,4.86,1,0.568,26.785,66.072,35.8979182,139.935677, T 4,-0.1,0.2,0,0,0,0,0,0,,-0.1,5.076
43:36.1,00:00.5,0,1,5.028,1,0.678,26.766,65.973,35.89791552,139.9356764, T 4,0.05,0.2,0,0,0,0,0,0,,0.05,5.112
43:36.1,00:00.5,0,1,5.196,1,0.772,26.748,65.874,35.89791552,139.9356764, T 4,0.05,0.2,0,0,0,0,0,0,,0.05,5.112
43:36.2,00:00.6,0,1,5.364,1,0.87,26.729,65.775,35.89791552,139.9356764, T 4,0.05,0.2,0,0,0,0,0,0,,0.05,5.112
43:36.3,00:00.7,0,1,5.172,1,0.97,26.675,65.697,35.89791342,139.9356746, T 4,-0.05,0.3,0,0,0,0,0,0,,-0.05,5.076
43:36.3,00:00.7,0,1,4.98,1,1.064,26.621,65.619,35.89791342,139.9356746, T 4,-0.05,0.3,0,0,0,0,0,0,,-0.05,5.076
43:36.4,00:00.8,0,1,4.788,1,1.155,26.566,65.541,35.89791342,139.9356746, T 4,-0.05,0.3,0,0,0,0,0,0,,-0.05,5.076
43:36.5,00:00.9,0,1,4.968,1,1.433,26.44,65.449,35.89791091,139.9356704, T 4,-0.025,0.3,0,0,0,0,0,0,,-0.025,5.058
43:36.5,00:00.9,0,1,5.148,1,1.527,26.314,65.356,35.89791091,139.9356704, T 4,-0.025,0.3,0,0,0,0,0,0,,-0.025,5.058
43:36.6,00:01.0,0,1,5.328,1,1.624,26.188,65.263,35.89791091,139.9356704, T 4,-0.025,0.4,0,0,0,0,0,0,,-0.025,5.058
43:36.7,00:01.1,0,1,5.28,1,1.722,26.152,65.177,35.89790858,139.9356692, T 4,0.275,0.4,0,0,0,0,0,0,,0.275,5.256
43:36.7,00:01.1,0,1,5.232,1,1.819,26.115,65.091,35.89790858,139.9356692, T 4,0.275,0.4,0,0,0,0,0,0,,0.275,5.256
43:36.8,00:01.2,0,1,5.184,1,1.916,26.079,65.005,35.89790858,139.9356692, T 4,0.275,0.5,0,0,0,0,0,0,,0.275,5.256
43:36.9,00:01.3,0,1,5.136,1,2.011,26.081,64.923,35.89790638,139.9356692, T 4,-0.2,0.5,0,0,0,0,0,0,,-0.2,5.112
43:36.9,00:01.3,0,1,5.088,1,2.106,26.084,64.842,35.89790638,139.9356692, T 4,-0.2,0.5,0,0,0,0,0,0,,-0.2,5.112
43:37.0,00:01.4,0,1,5.04,1,2.2,26.087,64.76,35.89790638,139.9356692, T 4,-0.2,0.5,0,0,0,0,0,0,,-0.2,5.112
43:37.1,00:01.5,0,1,5.244,1,2.351,26.107,64.645,35.89790325,139.9356699, T 4,0.325,0.5,0,0,0,0,0,0,,0.325,5.346
43:37.1,00:01.5,0,1,5.448,1,2.45,26.127,64.529,35.89790325,139.9356699, T 4,0.325,0.6,0,0,0,0,0,0,,0.325,5.346
43:37.2,00:01.6,0,1,5.652,1,2.553,26.147,64.413,35.89790325,139.9356699, T 4,0.325,0.6,0,0,0,0,0,0,,0.325,5.346
43:37.3,00:01.7,0,1,5.592,1,2.705,26.213,64.313,35.89790056,139.9356721, T 4,0.3,0.6,0,0,0,0,0,0,,0.3,5.562
43:37.3,00:01.7,0,1,5.532,1,2.808,26.278,64.214,35.89790056,139.9356721, T 4,0.3,0.7,0,0,0,0,0,0,,0.3,5.562
43:37.4,00:01.8,0,1,5.472,1,2.91,26.344,64.114,35.89790056,139.9356721, T 4,0.3,0.7,0,0,0,0,0,0,,0.3,5.562
43:37.5,00:01.9,0,1,5.52,1,3.044,26.393,64.012,35.8978978,139.9356737, T 4,-0.025,0.7,0,0,0,0,0,0,,-0.025,5.544
43:37.5,00:01.9,0,1,5.568,1,3.146,26.442,63.91,35.8978978,139.9356737, T 4,-0.025,0.7,0,0,0,0,0,0,,-0.025,5.544
43:37.6,00:02.0,0,1,5.616,1,3.25,26.492,63.808,35.8978978,139.9356737, T 4,-0.025,0.7,0,0,0,0,0,0,,-0.025,5.544
43:37.7,00:02.1,0,1,5.496,1,3.353,26.489,63.709,35.89789512,139.9356737, T 4,-0.15,0.8,0,0,0,0,0,0,,-0.15,5.436
43:37.7,00:02.1,0,1,5.376,1,3.453,26.487,63.61,35.89789512,139.9356737, T 4,-0.15,0.8,0,0,0,0,0,0,,-0.15,5.436
43:37.8,00:02.2,0,1,5.256,1,3.552,26.485,63.51,35.89789512,139.9356737, T 4,-0.15,0.8,0,0,0,0,0,0,,-0.15,5.436
43:37.9,00:02.3,0,1,5.22,1,3.667,26.502,63.409,35.89789238,139.9356742, T 4,-0.325,0.9,0,0,0,0,0,0,,-0.325,5.202
43:37.9,00:02.3,0,1,5.184,1,3.764,26.519,63.308,35.89789238,139.9356742, T 4,-0.325,0.9,0,0,0,0,0,0,,-0.325,5.202
43:38.0,00:02.4,0,1,5.148,1,3.859,26.536,63.207,35.89789238,139.9356742, T 4,-0.325,0.9,0,0,0,0,0,0,,-0.325,5.202
43:38.1,00:02.5,0,1,5.292,1,4.027,26.513,63.086,35.89788911,139.9356735, T 4,0.225,0.9,0,0,0,0,0,0,,0.225,5.364
43:38.1,00:02.5,0,1,5.436,1,4.127,26.49,62.965,35.89788911,139.9356735, T 4,0.225,1,0,0,0,0,0,0,,0.225,5.364
43:38.2,00:02.6,0,1,5.58,1,4.229,26.467,62.844,35.89788911,139.9356735, T 4,0.225,1,0,0,0,0,0,0,,0.225,5.364
43:38.3,00:02.7,0,1,5.484,1,4.337,26.486,62.744,35.89788639,139.9356741, T 4,0.1,1,0,0,0,0,0,0,,0.1,5.436
43:38.3,00:02.7,0,1,5.388,1,4.437,26.505,62.643,35.89788639,139.9356741, T 4,0.1,1,0,0,0,0,0,0,,0.1,5.436
43:38.4,00:02.8,0,1,5.292,1,4.536,26.523,62.542,35.89788639,139.9356741, T 4,0.1,1.1,0,0,0,0,0,0,,0.1,5.436
43:38.5,00:02.9,0,1,5.46,1,4.685,26.528,62.423,35.89788317,139.9356742, T 4,0.15,1.1,0,0,0,0,0,0,,0.15,5.544
43:38.5,00:02.9,0,1,5.628,1,4.788,26.532,62.304,35.89788317,139.9356742, T 4,0.15,1.1,0,0,0,0,0,0,,0.15,5.544
43:38.6,00:03.0,0,1,5.796,1,4.894,26.536,62.185,35.89788317,139.9356742, T 4,0.15,1.1,0,0,0,0,0,0,,0.15,5.544
43:38.7,00:03.1,0,1,5.628,1,5.069,26.59,62.071,35.89788009,139.935676, T 4,0,1.2,0,0,0,0,0,0,,0,5.544
43:38.7,00:03.1,0,1,5.46,1,5.172,26.644,61.957,35.89788009,139.935676, T 4,0,1.2,0,0,0,0,0,0,,0,5.544
43:38.8,00:03.2,0,1,5.292,1,5.271,26.697,61.843,35.89788009,139.935676, T 4,0,1.2,0,0,0,0,0,0,,0,5.544
43:38.9,00:03.3,0,1,5.436,1,5.428,26.735,61.728,35.89787698,139.9356773, T 4,-0.05,1.2,0,0,0,0,0,0,,-0.05,5.508
43:38.9,00:03.3,0,1,5.58,1,5.53,26.772,61.613,35.89787698,139.9356773, T 4,-0.05,1.2,0,0,0,0,0,0,,-0.05,5.508
43:39.0,00:03.4,0,1,5.724,1,5.635,26.81,61.498,35.89787698,139.9356773, T 4,-0.05,1.3,0,0,0,0,0,0,,-0.05,5.508
43:39.1,00:03.5,0,1,5.808,1,5.793,26.833,61.374,35.89787364,139.935678, T 4,0.475,1.3,0,0,0,0,0,0,,0.475,5.85
43:39.1,00:03.5,0,1,5.892,1,5.902,26.856,61.251,35.89787364,139.935678, T 4,0.475,1.3,0,0,0,0,0,0,,0.475,5.85
43:39.2,00:03.6,0,1,5.976,1,6.012,26.879,61.127,35.89787364,139.935678, T 4,0.475,1.4,0,0,0,0,0,0,,0.475,5.85
43:39.3,00:03.7,0,1,5.964,1,6.145,26.869,61.01,35.89787046,139.9356777, T 4,0.15,1.4,0,0,0,0,0,0,,0.15,5.958
43:39.3,00:03.7,0,1,5.952,1,6.255,26.86,60.892,35.89787046,139.9356777, T 4,0.15,1.4,0,0,0,0,0,0,,0.15,5.958
43:39.4,00:03.8,0,1,5.94,1,6.365,26.85,60.775,35.89787046,139.9356777, T 4,0.15,1.4,0,0,0,0,0,0,,0.15,5.958
43:39.5,00:03.9,0,1,6.096,2,6.513,26.841,60.649,35.89786705,139.9356774, T 4,0.3,1.4,0,0,0,0,0,0,,0.3,6.174
43:39.5,00:03.9,0,1,6.252,2,6.628,26.833,60.522,35.89786705,139.9356774, T 4,0.3,1.5,0,0,0,0,0,0,,0.3,6.174
43:39.6,00:04.0,0,1,6.408,2,6.745,26.824,60.396,35.89786705,139.9356774, T 4,0.3,1.5,0,0,0,0,0,0,,0.3,6.174
43:39.7,00:04.1,0,1,6.168,1,6.861,26.856,60.299,35.89786442,139.9356785, T 4,-0.175,1.5,0,0,0,0,0,0,,-0.175,6.048
43:39.7,00:04.1,0,1,5.928,1,6.973,26.887,60.202,35.89786442,139.9356785, T 4,-0.175,1.6,0,0,0,0,0,0,,-0.175,6.048
43:39.8,00:04.2,0,1,5.688,1,7.081,26.918,60.105,35.89786442,139.9356785, T 4,-0.175,1.6,0,0,0,0,0,0,,-0.175,6.048
43:39.9,00:04.3,0,1,5.928,2,7.253,26.864,59.983,35.89786112,139.9356767, T 4,0,1.6,0,0,0,0,0,0,,0,6.048
43:39.9,00:04.3,0,1,6.168,2,7.365,26.81,59.861,35.89786112,139.9356767, T 4,0,1.6,0,0,0,0,0,0,,0,6.048
43:40.0,00:04.4,0,1,6.408,2,7.481,26.755,59.739,35.89786112,139.9356767, T 4,0,1.6,0,0,0,0,0,0,,0,6.048
43:40.1,00:04.5,0,1,6.324,2,7.599,26.776,59.631,35.89785821,139.9356774, T 4,0.325,1.7,0,0,0,0,0,0,,0.325,6.282
43:40.1,00:04.5,0,1,6.24,2,7.716,26.797,59.523,35.89785821,139.9356774, T 4,0.325,1.7,0,0,0,0,0,0,,0.325,6.282
43:40.2,00:04.6,0,1,6.156,2,7.83,26.818,59.416,35.89785821,139.9356774, T 4,0.325,1.7,0,0,0,0,0,0,,0.325,6.282
43:40.3,00:04.7,0,1,6.252,2,7.948,26.833,59.299,35.89785506,139.9356779, T 4,0.025,1.8,0,0,0,0,0,0,,0.025,6.3
43:40.3,00:04.7,0,1,6.348,2,8.065,26.849,59.182,35.89785506,139.9356779, T 4,0.025,1.8,0,0,0,0,0,0,,0.025,6.3
43:40.4,00:04.8,0,1,6.444,2,8.183,26.865,59.066,35.89785506,139.9356779, T 4,0.025,1.8,0,0,0,0,0,0,,0.025,6.3
43:40.5,00:04.9,0,1,6.348,2,8.302,26.878,58.953,35.89785202,139.9356783, T 4,0,1.8,0,0,0,0,0,0,,0,6.3
43:40.5,00:04.9,0,1,6.252,2,8.418,26.892,58.841,35.89785202,139.9356783, T 4,0,1.8,0,0,0,0,0,0,,0,6.3
43:40.6,00:05.0,0,1,6.156,2,8.533,26.905,58.729,35.89785202,139.9356783, T 4,0,1.9,0,0,0,0,0,0,,0,6.3
43:40.7,00:05.1,0,1,6.12,2,8.647,26.909,58.62,35.89784909,139.9356784, T 4,-0.275,1.9,0,0,0,0,0,0,,-0.275,6.102
43:40.7,00:05.1,0,1,6.084,2,8.76,26.912,58.512,35.89784909,139.9356784, T 4,-0.275,2,0,0,0,0,0,0,,-0.275,6.102
43:40.8,00:05.2,0,1,6.048,2,8.872,26.915,58.404,35.89784909,139.9356784, T 4,-0.275,2,0,0,0,0,0,0,,-0.275,6.102
43:40.9,00:05.3,0,1,5.988,1,8.997,26.876,58.296,35.89784617,139.9356771, T 4,-0.2,2,0,0,0,0,0,0,,-0.2,5.958
43:40.9,00:05.3,0,1,5.928,1,9.108,26.837,58.188,35.89784617,139.9356771, T 4,-0.2,2,0,0,0,0,0,0,,-0.2,5.958
43:41.0,00:05.4,0,1,5.868,1,9.217,26.798,58.079,35.89784617,139.9356771, T 4,-0.2,2.1,0,0,0,0,0,0,,-0.2,5.958
43:41.1,00:05.5,0,1,5.964,2,9.355,26.757,57.966,35.89784309,139.9356758, T 4,0.075,2.1,0,0,0,0,0,0,,0.075,6.012
43:41.1,00:05.5,0,1,6.06,2,9.467,26.716,57.852,35.89784309,139.9356758, T 4,0.075,2.1,0,0,0,0,0,0,,0.075,6.012
43:41.2,00:05.6,0,1,6.156,2,9.58,26.675,57.738,35.89784309,139.9356758, T 4,0.075,2.1,0,0,0,0,0,0,,0.075,6.012
43:41.3,00:05.7,0,1,5.892,1,9.691,26.69,57.653,35.89784079,139.9356763, T 4,-0.35,2.1,0,0,0,0,0,0,,-0.35,5.76
43:41.3,00:05.7,0,1,5.628,1,9.798,26.706,57.568,35.89784079,139.9356763, T 4,-0.35,2.2,0,0,0,0,0,0,,-0.35,5.76
43:41.4,00:05.8,0,1,5.364,1,9.9,26.721,57.483,35.89784079,139.9356763, T 4,-0.35,2.3,0,0,0,0,0,0,,-0.35,5.76
43:41.5,00:05.9,0,1,5.46,1,10.015,26.738,57.377,35.89783794,139.9356768, T 4,-0.35,2.3,0,0,0,0,0,0,,-0.35,5.508
43:41.5,00:05.9,0,1,5.556,1,10.117,26.754,57.272,35.89783794,139.9356768, T 4,-0.35,2.3,0,0,0,0,0,0,,-0.35,5.508
43:41.6,00:06.0,0,1,5.652,1,10.22,26.771,57.166,35.89783794,139.9356768, T 4,-0.35,2.3,0,0,0,0,0,0,,-0.35,5.508
43:41.7,00:06.1,0,1,5.448,1,10.323,26.797,57.091,35.89783589,139.9356777, T 4,-0.225,2.3,0,0,0,0,0,0,,-0.225,5.346
43:41.7,00:06.1,0,1,5.244,1,10.422,26.823,57.015,35.89783589,139.9356777, T 4,-0.225,2.4,0,0,0,0,0,0,,-0.225,5.346
43:41.8,00:06.2,0,1,5.04,1,10.517,26.849,56.939,35.89783589,139.9356777, T 4,-0.225,2.4,0,0,0,0,0,0,,-0.225,5.346
43:41.9,00:06.3,0,1,4.644,1,10.607,26.85,56.886,35.89783444,139.9356777, T 4,-1.25,2.5,0,0,0,0,0,0,,-1.25,4.446
43:41.9,00:06.3,0,1,4.248,1,10.689,26.851,56.832,35.89783444,139.9356777, T 4,-1.25,2.5,0,0,0,0,0,0,,-1.25,4.446
43:42.0,00:06.4,0,1,3.852,1,10.764,26.851,56.778,35.89783444,139.9356777, T 4,-1.25,2.5,0,0,0,0,0,0,,-1.25,4.446
43:42.1,00:06.5,0,1,3.396,1,10.832,26.859,56.766,35.89783413,139.935678, T 4,-1.775,2.5,0,0,0,0,0,0,,-1.775,3.168
43:42.1,00:06.5,0,1,2.94,1,10.89,26.866,56.755,35.89783413,139.935678, T 4,-1.775,2.5,0,0,0,0,0,0,,-1.775,3.168
43:42.2,00:06.6,0,1,2.484,1,10.94,26.874,56.743,35.89783413,139.935678, T 4,-1.775,2.6,0,0,0,0,0,0,,-1.775,3.168
43:42.3,00:06.7,0,1,2.604,1,11.133,26.971,56.749,35.89783428,139.9356812, T 4,-0.7,2.6,0,0,0,0,0,0,,-0.7,2.664
43:42.3,00:06.7,0,1,2.724,1,11.182,27.069,56.755,35.89783428,139.9356812, T 4,-0.7,2.6,0,0,0,0,0,0,,-0.7,2.664
43:42.4,00:06.8,0,1,2.844,1,11.234,27.166,56.76,35.89783428,139.9356812, T 4,-0.7,2.7,0,0,0,0,0,0,,-0.7,2.664
43:42.5,00:06.9,0,1,2.424,1,11.282,27.176,56.761,35.89783429,139.9356815, T 4,-0.625,2.7,0,0,0,0,0,0,,-0.625,2.214
43:42.5,00:06.9,0,1,2.004,1,11.323,27.185,56.761,35.89783429,139.9356815, T 4,-0.625,2.7,0,0,0,0,0,0,,-0.625,2.214
43:42.6,00:07.0,0,1,1.584,1,11.357,27.194,56.761,35.89783429,139.9356815, T 4,-0.625,2.8,0,0,0,0,0,0,,-0.625,2.214
43:42.7,00:07.1,0,1,2.652,1,11.396,27.112,56.892,35.89783782,139.9356788, T 4,1.35,2.9,0,0,0,0,0,0,,1.35,3.186
43:42.7,00:07.1,0,1,3.72,1,11.455,27.03,57.022,35.89783782,139.9356788, T 4,1.35,2.9,0,0,0,0,0,0,,1.35,3.186
43:42.8,00:07.2,0,1,4.788,1,11.534,26.948,57.153,35.89783782,139.9356788, T 4,1.35,2.9,0,0,0,0,0,0,,1.35,3.186
43:42.9,00:07.3,0,1,5.604,2,11.777,26.974,57.311,35.8978421,139.9356797, T 4,3.925,2.9,0,0,0,0,0,0,,3.925,6.012
43:42.9,00:07.3,0,1,6.42,2,11.889,27,57.47,35.8978421,139.9356797, T 4,3.925,3,0,0,0,0,0,0,,3.925,6.012
43:43.0,00:07.4,0,1,7.236,2,12.015,27.026,57.628,35.8978421,139.9356797, T 4,3.925,3.1,0,0,0,0,0,0,,3.925,6.012
43:43.1,00:07.5,0,1,8.172,2,12.323,27.052,57.841,35.89784787,139.9356805, T 4,3.65,3.1,0,0,0,0,0,0,,3.65,8.64
43:43.1,00:07.5,0,1,9.108,2,12.483,27.078,58.055,35.89784787,139.9356805, T 4,3.65,3.1,0,0,0,0,0,0,,3.65,8.64
43:43.2,00:07.6,0,1,10.044,2,12.66,27.104,58.268,35.89784787,139.9356805, T 4,3.65,3.2,0,0,0,0,0,0,,3.65,8.64
43:43.3,00:07.7,0,1,10.656,2,12.976,27.084,58.512,35.89785446,139.9356799, T 4,3.225,3.2,0,0,0,0,0,0,,3.225,10.962
43:43.3,00:07.7,0,1,11.268,2,13.179,27.065,58.755,35.89785446,139.9356799, T 4,3.225,3.2,0,0,0,0,0,0,,3.225,10.962
43:43.4,00:07.8,0,1,11.88,2,13.393,27.045,58.999,35.89785446,139.9356799, T 4,3.225,3.3,0,1,0,0,0,0,,3.225,10.962
43:43.5,00:07.9,0,1,12.48,3,13.775,26.982,59.281,35.89786207,139.9356778, T 4,2.525,3.3,0,0,0,0,0,0,,2.525,12.78
