"時間","default","選手名","攻撃","守備","キーパーアクション"
="0:00:13:01",,"山川哲史",,"ブロック",
="0:00:23:99",,,"パス",,
="0:00:24:79","ポゼッションスタート",,,,
="0:00:24:79","筑波大学",,,,
="0:00:26:12",,"山川哲史","パス",,
="0:00:33:06",,"森海渡","ボールロスト",,
="0:00:34:63","ポゼッションエンド",,,,
="0:00:34:63","筑波大学",,,,
="0:00:43:30","ポゼッションスタート",,,,
="0:00:43:30","筑波大学",,,,
="0:00:44:47",,"山川哲史","パス",,
="0:00:47:28",,"角田涼太郎","パス",,
="0:00:50:05",,"三浦雅人","ボールロスト",,
="0:00:52:21","ポゼッションエンド",,,,
="0:00:52:21","筑波大学",,,,
="0:00:54:95",,"角田涼太郎",,"インターセプト",
="0:00:55:48",,"井川空","パス",,
="0:00:55:58","ポゼッションスタート",,,,
="0:00:55:58","筑波大学",,,,
="0:00:56:75",,"森海渡","ボールロスト",,
="0:00:58:89","ポゼッションエンド",,,,
="0:00:58:89","筑波大学",,,,
="0:01:04:66",,"阿部航斗","パス",,
="0:01:07:96","ポゼッションスタート",,,,
="0:01:07:96","筑波大学",,,,
="0:01:08:76",,"角田涼太郎","パス",,
="0:01:12:80",,"井川空","パス",,
="0:01:14:20",,"岩本翔","ボールロスト",,
="0:01:17:84","ポゼッションエンド",,,,
="0:01:17:84","筑波大学",,,,
="0:01:21:08","ポゼッションスタート",,,,
="0:01:21:08","相手チーム",,,,
="0:01:26:01","ポゼッションエンド",,,,
="0:01:26:01","相手チーム",,,,
="0:01:26:31",,"阿部航斗",,,"キャッチ"
="0:01:28:32",,"阿部航斗","パス",,
="0:01:30:72","ポゼッションスタート",,,,
="0:01:30:72","筑波大学",,,,
="0:01:32:32",,"山川哲史","パス",,
="0:01:34:99",,"高嶺朋樹","パス",,
="0:01:37:56",,"角田涼太郎","パス",,
="0:01:39:36",,"岩本翔","パス",,
="0:01:40:26",,"渡邊陽","パス",,
="0:01:41:80",,"三浦雅人","ボールロスト",,
="0:01:43:53","ポゼッションエンド",,,,
="0:01:43:53","筑波大学",,,,
="0:01:47:54","ポゼッションスタート",,,,
="0:01:47:54","相手チーム",,,,
="0:01:51:41",,"高嶺朋樹",,"カット",
="0:01:51:67","ポゼッションエンド",,,,
="0:01:51:67","相手チーム",,,,
="0:01:51:71",,"高嶺朋樹","パス",,
="0:01:52:74",,"岩本翔","パス",,
="0:01:54:28","ポゼッションスタート",,,,
="0:01:54:28","筑波大学",,,,
="0:01:55:88",,"三浦雅人","パス",,
="0:01:56:61",,"森海渡","パス",,
="0:01:57:68",,"渡邊陽","パス",,
="0:01:59:95",,"森海渡","ボールロスト",,
="0:02:02:25","ポゼッションエンド",,,,
="0:02:02:25","筑波大学",,,,
="0:02:38:19",,"加藤匠人",,"ブロック",
="0:02:49:56",,"加藤匠人",,"ブロック",
="0:03:04:35",,"森海渡",,"カット",
="0:03:04:81","ポゼッションスタート",,,,
="0:03:04:81","筑波大学",,,,
="0:03:06:18",,"森海渡","ボールロスト",,
="0:03:08:98","ポゼッションエンド",,,,
="0:03:08:98","筑波大学",,,,
="0:03:21:20",,"森海渡","パス",,
="0:03:22:53",,"森海渡","ボールロスト",,
="0:03:23:33",,"渡邊陽","パス",,
="0:03:29:00",,"岩本翔","パス",,
="0:03:30:21",,"山原怜音","パス",,
="0:03:31:81","ポゼッションスタート",,,,
="0:03:31:81","筑波大学",,,,
="0:03:32:44",,"渡邊陽","パス",,
="0:03:37:28",,"渡邊陽",,"カット",
="0:03:37:38",,"高嶺朋樹","パス",,
="0:03:40:35",,"山原怜音","パス",,
="0:03:40:68",,"加藤匠人","パス",,
="0:03:41:78",,"高嶺朋樹","パス",,
="0:03:50:69","ポゼッションエンド",,,,
="0:03:50:69","筑波大学",,,,
="0:04:35:07",,"加藤匠人","パス",,
="0:04:36:44",,"加藤匠人",,"インターセプト",
="0:04:38:21",,"山原怜音","パス",,
="0:04:38:71","ポゼッションスタート",,,,
="0:04:38:71","筑波大学",,,,
="0:04:40:81",,"井川空","パス",,
="0:04:43:04",,"山川哲史","パス",,
="0:04:46:68",,"山川哲史","クロス",,
="0:04:49:32","ポゼッションエンド",,,,
="0:04:49:32","筑波大学",,,,
="0:04:53:22","ポゼッションスタート",,,,
="0:04:53:22","相手チーム",,,,
="0:05:14:88","ポゼッションエンド",,,,
="0:05:14:88","相手チーム",,,,
="0:05:25:59",,"井川空","パス",,
="0:05:27:92","ポゼッションスタート",,,,
="0:05:27:92","筑波大学",,,,
="0:05:30:46",,"角田涼太郎","パス",,
="0:05:33:09",,"山川哲史","パス",,
="0:05:36:56",,"山原怜音","パス",,
="0:05:37:53",,"高嶺朋樹","パス",,
="0:05:38:80",,"渡邊陽","パス",,
="0:05:40:30",,"高嶺朋樹","パス",,
="0:05:41:57",,"角田涼太郎","パス",,
="0:05:44:84",,"三浦雅人","パス",,
="0:05:49:61",,"三笘薫","ドリブル",,
="0:05:49:78",,"渡邊陽","パス",,
="0:05:55:05",,"山原怜音","ボールロスト",,
="0:05:56:08","ポゼッションエンド",,,,
="0:05:56:08","筑波大学",,,,
="0:05:58:75",,"山川哲史",,"ブロック",
="0:06:34:09","ポゼッションスタート",,,,
="0:06:34:09","相手チーム",,,,
="0:06:48:30","ポゼッションエンド",,,,
="0:06:48:30","相手チーム",,,,
="0:06:49:27",,"角田涼太郎",,"インターセプト",
="0:06:49:67",,"高嶺朋樹","パス",,
="0:06:51:37",,"加藤匠人","パス",,
="0:06:52:51",,"岩本翔","パス",,
="0:06:53:11","ポゼッションスタート",,,,
="0:06:53:11","筑波大学",,,,
="0:06:54:78",,"加藤匠人","ボールロスト",,
="0:06:57:38","ポゼッションエンド",,,,
="0:06:57:38","筑波大学",,,,
="0:07:04:39","ポゼッションスタート",,,,
="0:07:04:39","相手チーム",,,,
="0:07:07:66","ポゼッションエンド",,,,
="0:07:07:66","相手チーム",,,,
="0:07:08:96",,"阿部航斗","パス",,
="0:07:10:43","ポゼッションスタート",,,,
="0:07:10:43","筑波大学",,,,
="0:07:11:86",,"角田涼太郎","パス",,
="0:07:14:00",,"渡邊陽","パス",,
="0:07:16:20",,"角田涼太郎","パス",,
="0:07:20:30",,"高嶺朋樹","パス",,
="0:07:21:94",,"岩本翔","パス",,
="0:07:25:94",,"岩本翔","ドリブル",,
="0:07:29:48",,"山原怜音","パス",,
="0:07:31:11",,"加藤匠人","ボールロスト",,
="0:07:31:45","ポゼッションエンド",,,,
="0:07:31:45","筑波大学",,,,
="0:08:06:92",,"加藤匠人","パス",,
="0:08:08:45","ポゼッションスタート",,,,
="0:08:08:45","筑波大学",,,,
="0:08:08:88",,"山川哲史","パス",,
="0:08:12:29",,"阿部航斗","パス",,
="0:08:18:83","ポゼッションエンド",,,,
="0:08:18:83","筑波大学",,,,
="0:08:23:83","ポゼッションスタート",,,,
="0:08:23:83","筑波大学",,,,
="0:08:26:27",,"渡邊陽","パス",,
="0:08:30:07",,"加藤匠人","パス",,
="0:08:35:18",,"山原怜音","クロス",,
="0:08:39:68","ポゼッションエンド",,,,
="0:08:39:68","筑波大学",,,,
="0:09:22:39",,"加藤匠人","パス",,
="0:09:23:32",,"山原怜音","パス",,
="0:09:23:99","ポゼッションスタート",,,,
="0:09:23:99","筑波大学",,,,
="0:09:24:79",,"加藤匠人","パス",,
="0:09:27:90",,"井川空","パス",,
="0:09:28:80",,"山原怜音","パス",,
="0:09:34:80",,"山原怜音","パス",,
="0:09:39:17",,"渡邊陽","枠内シュート",,
="0:09:39:61","ポゼッションエンド",,,,
="0:09:39:61","筑波大学",,,,
="0:09:42:51","ポゼッションスタート",,,,
="0:09:42:51","相手チーム",,,,
="0:10:05:77","ポゼッションエンド",,,,
="0:10:05:77","相手チーム",,,,
="0:10:09:04","ポゼッションスタート",,,,
="0:10:09:04","筑波大学",,,,
="0:10:09:70",,"角田涼太郎","パス",,
="0:10:11:47",,"井川空","パス",,
="0:10:13:04",,"渡邊陽","ボールロスト",,
="0:10:14:24","ポゼッションエンド",,,,
="0:10:14:24","筑波大学",,,,
="0:10:21:28",,"角田涼太郎",,"ブロック",
="0:11:03:99",,"阿部航斗",,,"パンチング"
="0:11:48:67",,"高嶺朋樹",,"カット",
="0:12:22:84","ポゼッションスタート",,,,
="0:12:22:84","筑波大学",,,,
="0:12:25:27",,"高嶺朋樹",,"カット",
="0:12:50:03",,"渡邊陽",,"インターセプト",
