"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:38:20",,"キックオフ",,,,,
="0:00:42:40","ポゼッションスタート",,,,,,
="0:00:42:40","筑波大学",,,,,,
="0:00:47:28","ポゼッションエンド",,,,,,
="0:00:47:28","筑波大学",,,,,,
="0:00:49:74",,"スローイン","井川空",,,,
="0:01:10:13",,,"高嶺朋樹",,,"ファール",
="0:01:25:11","相手チーム","FK",,,,,
="0:01:28:08",,,"加藤匠人",,"ブロック",,
="0:01:41:76","ポゼッションスタート",,,,,,
="0:01:41:76","筑波大学",,,,,,
="0:01:44:47","ポゼッションエンド",,,,,,
="0:01:44:47","筑波大学",,,,,,
="0:02:06:62",,,"山川哲史",,"インターセプト",,
="0:02:07:19","ポゼッションスタート",,,,,,
="0:02:07:19","筑波大学",,,,,,
="0:02:12:53","ポゼッションエンド",,,,,,
="0:02:12:53","筑波大学",,,,,,
="0:02:19:43","ポゼッションスタート",,,,,,
="0:02:19:43","相手チーム",,,,,,
="0:02:27:61","ポゼッションエンド",,,,,,
="0:02:27:61","相手チーム",,,,,,
="0:02:27:98",,,"山原怜音",,"ブロック",,
="0:02:31:58","ポゼッションスタート",,,,,,
="0:02:31:58","相手チーム",,,,,,
="0:02:38:72","ポゼッションエンド",,,,,,
="0:02:38:72","相手チーム",,,,,,
="0:02:40:09",,"スローイン","井川空",,,,
="0:02:49:60",,"スローイン","井川空",,,,
="0:03:01:68","ポゼッションスタート",,,,,,
="0:03:01:68","筑波大学",,,,,,
="0:03:05:95","ポゼッションエンド",,,,,,
="0:03:05:95","筑波大学",,,,,,
="0:03:11:45",,,"岩本翔",,"カット",,
="0:03:13:46","ポゼッションスタート",,,,,,
="0:03:13:46","筑波大学",,,,,,
="0:03:19:36",,,"高嶺朋樹","ドリブル",,,
="0:03:30:27","ポゼッションエンド",,,,,,
="0:03:30:27","筑波大学",,,,,,
="0:03:31:31",,,"高嶺朋樹","枠内シュート",,,
="0:04:05:41",,"CK","山原怜音",,,,
="0:04:15:48",,"スローイン","山原怜音",,,,
="0:04:33:77",,"スローイン","井川空",,,,
="0:04:41:51","ポゼッションスタート",,,,,,
