"時間","default","選手名","攻撃","守備","キーパーアクション"
13.013013,,"山川哲史",,"ブロック",
23.990657,,,"パス",,
24.791458,"ポゼッションスタート",,,,
24.791458,"筑波大学",,,,
26.126126,,"山川哲史","パス",,
33.0664,,"森海渡","ボールロスト",,
34.634635,"ポゼッションエンド",,,,
34.634635,"筑波大学",,,,
43.309977,"ポゼッションスタート",,,,
43.309977,"筑波大学",,,,
44.477811,,"山川哲史","パス",,
47.280614,,"角田涼太郎","パス",,
50.05005,,"三浦雅人","ボールロスト",,
52.218886,"ポゼッションエンド",,,,
52.218886,"筑波大学",,,,
54.954955,,"角田涼太郎",,"インターセプト",
55.488822,,"井川空","パス",,
55.588922,"ポゼッションスタート",,,,
55.588922,"筑波大学",,,,
56.756757,,"森海渡","ボールロスト",,
58.892226,"ポゼッションエンド",,,,
58.892226,"筑波大学",,,,
64.664665,,"阿部航斗","パス",,
67.967968,"ポゼッションスタート",,,,
67.967968,"筑波大学",,,,
68.768769,,"角田涼太郎","パス",,
72.806139,,"井川空","パス",,
74.207541,,"岩本翔","ボールロスト",,
77.844511,"ポゼッションエンド",,,,
77.844511,"筑波大学",,,,
81.081081,"ポゼッションスタート",,,,
81.081081,"相手チーム",,,,
86.019353,"ポゼッションエンド",,,,
86.019353,"相手チーム",,,,
86.319653,,"阿部航斗",,,"キャッチ"
88.321655,,"阿部航斗","パス",,
90.724057,"ポゼッションスタート",,,,
90.724057,"筑波大学",,,,
92.325659,,"山川哲史","パス",,
94.994995,,"高嶺朋樹","パス",,
97.564231,,"角田涼太郎","パス",,
99.366033,,"岩本翔","パス",,
100.266934,,"渡邊陽","パス",,
101.801802,,"三浦雅人","ボールロスト",,
103.53687,"ポゼッションエンド",,,,
103.53687,"筑波大学",,,,
107.540874,"ポゼッションスタート",,,,
107.540874,"相手チーム",,,,
111.411411,,"高嶺朋樹",,"カット",
111.678345,"ポゼッションエンド",,,,
111.678345,"相手チーム",,,,
111.711712,,"高嶺朋樹","パス",,
112.746079,,"岩本翔","パス",,
114.280948,"ポゼッションスタート",,,,
114.280948,"筑波大学",,,,
115.882549,,"三浦雅人","パス",,
