"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:08:77",,"キックオフ",,,,,
="0:00:10:67",,,"森海渡","パス",,,
="0:00:10:97","ポゼッションスタート",,,,,,
="0:00:10:97","筑波大学",,,,,,
="0:00:13:07",,,"高嶺朋樹","パス",,,
="0:00:15:78",,,"井川空","パス",,,
="0:00:16:51",,,"三浦雅人","ボールロスト",,,
="0:00:17:41","ポゼッションエンド",,,,,,
="0:00:17:41","筑波大学",,,,,,
="0:00:26:72","相手チーム","スローイン",,,,,
="0:00:35:60","相手チーム","スローイン",,,,,
="0:00:41:80",,,"井川空",,"クリア",,
="0:00:59:95",,"スローイン","山原怜音",,,,
="0:01:00:96",,,"高嶺朋樹","パス",,,
="0:01:02:59",,,"加藤匠人","パス",,,
="0:01:03:66",,,"岩本翔","ボールロスト",,,
="0:01:11:17","相手チーム","スローイン",,,,,
="0:01:22:18",,,"山川哲史",,"カット",,
="0:01:25:25",,,"山原怜音",,"クリア",,
="0:01:30:59","相手チーム",,,,,"ファール",
="0:01:37:86",,"FK","阿部航斗",,,,
="0:01:56:61",,,"山原怜音","パス",,,
="0:01:57:55",,,"岩本翔","ボールロスト",,,
="0:01:59:11",,,"山川哲史",,,"ファール",
="0:02:01:72","相手チーム","FK",,,,,
="0:02:05:09",,,"山原怜音",,"カット",,
="0:02:10:23",,,"山原怜音","パス",,,
="0:02:12:49",,,"森海渡","ボールロスト",,,
="0:02:24:97",,,"山川哲史",,"クリア",,
="0:02:27:71",,,"山川哲史","パス",,,
="0:02:29:81",,,"阿部航斗",,"クリア",,
="0:02:39:15",,,"山原怜音",,"インターセプト",,
="0:02:39:39","ポゼッションスタート",,,,,,
="0:02:39:39","筑波大学",,,,,,
="0:02:39:55",,,"山原怜音","パス",,,
="0:02:43:63",,,"阿部航斗","パス",,,
="0:02:44:39",,,"渡邊陽","ボールロスト",,,
="0:02:48:43","ポゼッションエンド",,,,,,
="0:02:48:43","筑波大学",,,,,,
="0:02:49:46","ポゼッションスタート",,,,,,
="0:02:49:46","相手チーム",,,,,,
="0:03:00:18",,,"山原怜音",,"カット",,
="0:03:00:98","ポゼッションエンド",,,,,,
="0:03:00:98","相手チーム",,,,,,
="0:03:06:31","相手チーム",,,,,"ファール",
="0:03:11:32",,"FK","阿部航斗",,,,
="0:03:37:48",,,"角田涼太郎",,"ブロック",,
="0:03:43:28","相手チーム","スローイン",,,,,
="0:04:04:81","ポゼッションスタート",,,,,,
="0:04:04:81","相手チーム",,,,,,
="0:04:21:76","ポゼッションエンド",,,,,,
="0:04:21:76","相手チーム",,,,,,
="0:04:22:86",,,"阿部航斗",,,,"キャッチ"
="0:04:23:46","ポゼッションスタート",,,,,,
="0:04:23:46","筑波大学",,,,,,
="0:04:26:93",,,"阿部航斗","パス",,,
="0:04:30:47",,,"山川哲史","パス",,,
="0:04:31:87",,,"山原怜音","パス",,,
="0:04:33:50",,,"渡邊陽","ボールロスト",,,
="0:04:35:10",,,"山川哲史",,"インターセプト",,
="0:04:35:67",,,"山川哲史","パス",,,
="0:04:38:84",,,"山原怜音","パス",,,
="0:04:40:68",,,"高嶺朋樹","パス",,,
="0:04:44:41",,,"角田涼太郎","パス",,,
="0:04:51:95",,,"井川空","パス",,,
="0:04:56:73",,,"三浦雅人","パス",,,
="0:04:58:76",,,"井川空","パス",,,
="0:05:01:66",,,"角田涼太郎","パス",,,
="0:05:03:67",,,"山川哲史","パス",,,
="0:05:05:93",,,"高嶺朋樹","パス",,,
="0:05:07:20",,,"渡邊陽","パス",,,
="0:05:09:47",,,"高嶺朋樹","パス",,,
="0:05:12:01",,,"岩本翔","パス",,,
="0:05:12:97",,,"森海渡","ボールロスト",,,
="0:05:15:14","ポゼッションエンド",,,,,,
