"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:42:70",,"キックオフ",,,,,
="0:00:46:34","ポゼッションスタート",,,,,,
="0:00:46:34","相手チーム",,,,,,
="0:00:50:61","ポゼッションエンド",,,,,,
="0:00:50:61","相手チーム",,,,,,
="0:00:51:01",,,"山川哲史",,"ブロック",,
="0:00:57:69",,,"角田涼太郎",,"クリア",,
="0:01:03:99",,,"角田涼太郎",,"インターセプト",,
="0:01:06:49","ポゼッションスタート",,,,,,
="0:01:06:49","筑波大学",,,,,,
="0:01:07:53",,,"角田涼太郎","パス",,,
="0:01:11:37",,,"阿部航斗","パス",,,
="0:01:13:64",,,"角田涼太郎","パス",,,
="0:01:16:74",,,"阿部航斗","パス",,,
="0:01:18:94",,,"生地慶充","パス",,,
="0:01:19:44","ポゼッションエンド",,,,,,
="0:01:19:44","筑波大学",,,,,,
="0:01:20:51",,,"森海渡","ボールロスト",,,
="0:01:23:41",,,"阿部航斗",,"インターセプト",,
="0:01:26:85","ポゼッションスタート",,,,,,
="0:01:26:85","筑波大学",,,,,,
="0:01:27:15",,,"阿部航斗","パス",,,
="0:01:29:38",,,"山川哲史","パス",,,
="0:01:32:39",,,"角田涼太郎","ドリブル",,,
="0:01:34:56",,,"角田涼太郎","パス",,,
="0:01:36:39",,,"渡邊陽","ドリブル",,,
="0:01:37:73",,,"渡邊陽","ボールロスト",,,
="0:01:39:76","ポゼッションエンド",,,,,,
="0:01:39:76","筑波大学",,,,,,
="0:01:42:76",,,"角田涼太郎",,"インターセプト",,
="0:01:45:00",,,"角田涼太郎","パス",,,
="0:01:46:74",,,"森海渡","パス",,,
="0:01:54:08",,,"生地慶充",,"インターセプト",,
="0:01:54:84",,,"生地慶充","パス",,,
="0:01:55:94","ポゼッションスタート",,,,,,
="0:01:55:94","筑波大学",,,,,,
="0:01:58:95",,,"角田涼太郎",,"インターセプト",,
="0:02:06:99",,,"角田涼太郎","ドリブル",,,
="0:02:07:32",,,"角田涼太郎","パス",,,
="0:02:10:33",,,"渡邊陽","パス",,,
="0:02:12:99",,,"高嶺朋樹","パス",,,
="0:02:15:86",,,"渡邊陽","パス",,,
="0:02:20:00",,,"山川哲史","パス",,,
="0:02:23:54",,,"井川空","パス",,,
="0:02:24:74",,,"加藤匠人","ボールロスト",,,
="0:02:26:11","ポゼッションエンド",,,,,,
="0:02:26:11","筑波大学",,,,,,
="0:02:31:61",,,"高嶺朋樹",,"ブロック",,
="0:02:32:38","ポゼッションスタート",,,,,,
="0:02:32:38","相手チーム",,,,,,
="0:02:45:33","ポゼッションエンド",,,,,,
="0:02:45:33","相手チーム",,,,,,
="0:03:00:71",,"GK","阿部航斗",,,,
="0:03:12:12","ポゼッションスタート",,,,,,
="0:03:12:12","筑波大学",,,,,,
="0:03:16:73",,,"山原怜音","ドリブル",,,
="0:03:22:93",,,"山原怜音","パス",,,
="0:03:26:33",,,"高嶺朋樹","ドリブル",,,
="0:03:27:54",,,"高嶺朋樹","パス",,,
="0:03:29:34",,,"山川哲史","パス",,,
="0:03:31:11",,,"高嶺朋樹","パス",,,
="0:03:32:44",,,"山川哲史","パス",,,
="0:03:33:71",,,"渡邊陽","ドリブル",,,
="0:03:34:24",,,"渡邊陽","パス",,,
="0:03:36:14",,,"角田涼太郎","パス",,,
="0:03:38:61",,,"井川空","ボールロスト",,,
="0:03:40:15","ポゼッションエンド",,,,,,
="0:03:40:15","筑波大学",,,,,,
="0:03:44:69",,"スローイン","井川空",,,,
="0:03:49:82",,,"加藤匠人","ボールロスト",,,
="0:03:53:56","ポゼッションスタート",,,,,,
="0:03:53:56","筑波大学",,,,,,
="0:03:56:77",,,"角田涼太郎",,"カット",,
="0:03:59:43",,,"角田涼太郎","ボールロスト",,,
="0:04:01:10",,,"加藤匠人",,"インターセプト",,
="0:04:02:00",,,"加藤匠人","パス",,,
="0:04:06:91",,,"山川哲史","パス",,,
="0:04:10:38",,,"山原怜音","ドリブル",,,
="0:04:13:01",,,"山原怜音","パス",,,
="0:04:15:75",,,"高嶺朋樹","ドリブル",,,
="0:04:17:72",,,"高嶺朋樹","パス",,,
="0:04:21:02",,,"井川空","ドリブル",,,
="0:04:21:02",,,,"クロス",,,
="0:04:23:56","ポゼッションエンド",,,,,,
="0:04:23:56","筑波大学",,,,,,
="0:04:51:52","相手チーム","GK",,,,,
="0:04:54:66",,,"山川哲史",,"ブロック",,
