"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:32:76","ポゼッションスタート",,,,,,
="0:00:32:76","筑波大学",,,,,,
="0:00:37:26","ポゼッションエンド","キックオフ",,,,,
="0:00:37:26","筑波大学",,,,,,
="0:00:37:26","筑波大学",,,,,,
="0:00:47:16","ポゼッションスタート",,,,,,
="0:00:47:16","相手チーム",,,,,,
="0:01:01:63","ポゼッションエンド",,,,,,
="0:01:01:63","相手チーム",,,,,,
="0:01:02:06",,,"三笘薫",,"インターセプト",,
="0:01:10:63","ポゼッションスタート",,,,,,
="0:01:10:63","筑波大学",,,,,,
="0:01:10:86",,,"井川空",,"カット",,
="0:01:20:06",,,"山原怜音","枠内シュート",,,
="0:01:21:66","ポゼッションエンド",,,,,,
="0:01:21:66","筑波大学",,,,,,
="0:01:24:36","ポゼッションスタート",,,,,,
="0:01:24:36","相手チーム",,,,,,
="0:01:35:56","ポゼッションエンド",,,,,,
="0:01:35:56","相手チーム",,,,,,
="0:01:35:86",,,"山川哲史",,"カット",,
="0:01:37:76","ポゼッションスタート",,,,,,
="0:01:37:76","筑波大学",,,,,,
="0:01:43:96","ポゼッションエンド",,,,,,
="0:01:43:96","筑波大学",,,,,,
="0:01:50:66","ポゼッションスタート",,,,,,
="0:01:50:66","相手チーム",,,,,,
="0:01:58:23",,,"井川空",,"カット",,
="0:01:59:06","ポゼッションエンド",,,,,,
="0:01:59:06","相手チーム",,,,,,
="0:02:01:60","ポゼッションスタート",,,,,,
="0:02:01:60","相手チーム",,,,,,
="0:02:14:03","ポゼッションエンド",,,,,,
="0:02:14:03","相手チーム",,,,,,
="0:02:14:46",,,"山川哲史",,"クリア",,
="0:02:19:23","ポゼッションスタート",,,,,,
="0:02:19:23","相手チーム",,,,,,
="0:02:25:96",,,"井川空",,"ブロック",,
="0:02:28:10","ポゼッションエンド",,,,,,
="0:02:28:10","相手チーム",,,,,,
="0:02:31:73",,,"角田涼太郎",,"クリア",,
="0:02:34:06","ポゼッションスタート",,,,,,
="0:02:34:06","筑波大学",,,,,,
="0:02:36:50",,,"三笘薫","ドリブル",,,
="0:02:48:23",,,"三笘薫","クロス",,,
="0:02:52:80",,,"井川空",,"インターセプト",,
="0:02:56:26",,,"井川空","ドリブル",,,
="0:03:00:33",,,"高嶺朋樹","ドリブル",,,
="0:03:08:43","ポゼッションエンド",,,,,,
="0:03:08:43","筑波大学",,,,,,
="0:03:14:10","ポゼッションスタート",,,,,,
="0:03:14:10","相手チーム",,,,,,
="0:03:23:43","ポゼッションエンド",,,,,,
="0:03:23:43","相手チーム",,,,,,
="0:03:24:36",,,"井川空",,"ブロック",,
="0:03:41:83","相手チーム","スローイン",,,,,
="0:03:48:76","ポゼッションスタート",,,,,,
="0:03:48:76","筑波大学",,,,,,
="0:03:52:96","ポゼッションエンド",,,,,,
="0:03:52:96","筑波大学",,,,,,
="0:04:26:66",,"CK","加藤匠人",,,,
="0:04:52:20","相手チーム","GK",,,,,
="0:04:53:26","ポゼッションスタート",,,,,,
="0:04:53:26","相手チーム",,,,,,
="0:05:00:26",,,"高嶺朋樹",,"ブロック",,
="0:05:07:26","ポゼッションエンド",,,,,,
="0:05:07:26","相手チーム",,,,,,
="0:05:08:66",,,"山原怜音",,"カット",,
="0:05:18:00","相手チーム","スローイン",,,,,
="0:05:21:90","ポゼッションスタート",,,,,,
="0:05:21:90","相手チーム",,,,,,
="0:05:27:16",,,"角田涼太郎",,"カット",,
="0:05:41:83","ポゼッションエンド",,,,,,
="0:05:41:83","相手チーム",,,,,,
="0:05:47:06","相手チーム",,,,"被枠外シュート",,
="0:06:14:43",,"GK","阿部航斗",,,,
="0:06:24:23",,,"角田涼太郎",,"クリア",,
="0:06:27:83","ポゼッションスタート",,,,,,
="0:06:27:83","筑波大学",,,,,,
="0:06:30:50","ポゼッションエンド",,,,,,
="0:06:30:50","筑波大学",,,,,,
="0:06:32:10",,,"知久航介",,"カット",,
="0:06:34:76","ポゼッションスタート",,,,,,
="0:06:34:76","相手チーム",,,,,,
="0:06:57:40","ポゼッションエンド",,,,,,
="0:06:57:40","相手チーム",,,,,,
="0:07:31:40","相手チーム","CK",,,,,
="0:07:36:06",,,"阿部航斗",,,,"パンチング"
="0:07:42:53",,,"山川哲史",,"ブロック",,
="0:07:43:93","ポゼッションスタート",,,,,,
="0:07:43:93","筑波大学",,,,,,
="0:07:45:03",,,,"ドリブル",,,
="0:07:49:26","ポゼッションエンド",,,,,,
="0:07:49:26","筑波大学",,,,,,
="0:07:57:33","ポゼッションスタート",,,,,,
="0:07:57:33","筑波大学",,,,,,
="0:08:01:06",,,"知久航介",,"カット",,
