"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:32:96","ポゼッションスタート",,,,,,
="0:00:32:96","相手チーム",,,,,,
="0:00:37:80","相手チーム","キックオフ",,,,,
="0:00:41:53","ポゼッションエンド",,,,,,
="0:00:41:53","相手チーム",,,,,,
="0:00:42:33",,,"加藤匠人",,"ブロック",,
="0:00:53:23","相手チーム","スローイン",,,,,
="0:00:56:23",,,"山原怜音",,"ブロック",,
="0:01:01:73","相手チーム","スローイン",,,,,
="0:01:02:86",,,"山川哲史",,"ブロック",,
="0:01:12:73","相手チーム","スローイン",,,,,
="0:01:21:50",,,"加藤匠人",,"ブロック",,
="0:01:49:70","相手チーム","CK",,,,,
="0:01:52:93",,,"森海渡",,"ブロック",,
="0:02:36:93",,,"加藤匠人",,"クリア",,
="0:02:50:76",,,"角田涼太郎",,"カット",,
="0:02:58:76","相手チーム",,,,,"ファール",
="0:03:15:83","ポゼッションスタート",,,,,,
="0:03:15:83","筑波大学",,,,,,
="0:03:15:96",,"FK","高嶺朋樹",,,,
="0:03:21:33",,,"三笘薫","ドリブル",,,
="0:03:28:16",,,"井川空","クロス",,,
="0:03:29:03","ポゼッションエンド",,,,,,
="0:03:29:03","筑波大学",,,,,,
="0:03:34:80",,,,"枠外シュート",,,
="0:03:50:40","相手チーム","GK",,,,,
="0:03:54:06",,,"角田涼太郎",,"ブロック",,
="0:03:59:13","ポゼッションスタート",,,,,,
="0:03:59:13","相手チーム",,,,,,
="0:04:06:20","ポゼッションエンド",,,,,,
="0:04:06:20","相手チーム",,,,,,
="0:04:07:43",,,"阿部航斗",,,,"セービング"
="0:04:11:06","ポゼッションスタート",,,,,,
="0:04:11:06","筑波大学",,,,,,
="0:04:13:16","相手チーム",,,,"被枠内シュート",,
="0:04:16:60",,,"加藤匠人","ドリブル",,,
="0:04:21:63",,,"高嶺朋樹","ドリブル",,,
="0:04:32:80","ポゼッションエンド",,,,,,
="0:04:32:80","筑波大学",,,,,,
="0:04:43:10",,"スローイン","山原怜音",,,,
="0:04:43:36","ポゼッションスタート",,,,,,
="0:04:43:36","筑波大学",,,,,,
="0:04:51:36",,,"山川哲史","ドリブル",,,
="0:04:56:73",,,"角田涼太郎","ドリブル",,,
="0:05:00:53","ポゼッションエンド",,,,,,
="0:05:00:53","筑波大学",,,,,,
="0:05:03:36","ポゼッションスタート",,,,,,
="0:05:03:36","相手チーム",,,,,,
="0:05:18:33","ポゼッションエンド",,,,,,
="0:05:18:33","相手チーム",,,,,,
="0:05:18:36",,,"阿部航斗",,,,"セービング"
="0:05:24:03","相手チーム",,,,"被枠内シュート",,
="0:05:30:96","ポゼッションスタート",,,,,,
="0:05:30:96","筑波大学",,,,,,
="0:05:34:50",,,"山原怜音","ドリブル",,,
="0:05:41:10",,,"山川哲史","ドリブル",,,
="0:05:51:13",,,,"クロス",,,
="0:05:54:13","ポゼッションエンド",,,,,,
="0:05:54:13","筑波大学",,,,,,
="0:06:07:70","相手チーム","GK",,,,,
="0:06:12:76","ポゼッションスタート",,,,,,
="0:06:12:76","筑波大学",,,,,,
="0:06:13:70",,,"山川哲史",,"インターセプト",,
="0:06:24:23","ポゼッションエンド",,,,,,
="0:06:24:23","筑波大学",,,,,,
="0:06:29:53","ポゼッションスタート",,,,,,
="0:06:29:53","相手チーム",,,,,,
="0:06:35:96","ポゼッションエンド",,,,,,
="0:06:35:96","相手チーム",,,,,,
="0:06:38:23",,,"井川空",,"インターセプト",,
="0:06:41:66","ポゼッションスタート",,,,,,
="0:06:41:66","筑波大学",,,,,,
="0:06:44:06",,,"加藤匠人","ドリブル",,,
="0:06:52:16",,,"高嶺朋樹","ドリブル",,,
="0:07:02:10",,,"高嶺朋樹","ドリブル",,,
="0:07:05:13","ポゼッションエンド",,,,,,
="0:07:05:13","筑波大学",,,,,,
="0:07:07:46","ポゼッションスタート",,,,,,
="0:07:07:46","相手チーム",,,,,,
="0:07:21:43",,,"角田涼太郎",,"ブロック",,
="0:07:30:13",,,"三笘薫",,"カット",,
="0:07:32:96","ポゼッションエンド",,,,,,
="0:07:32:96","相手チーム",,,,,,
="0:07:45:66","相手チーム","スローイン",,,,,
="0:08:21:96","相手チーム","CK",,,,,
="0:08:30:63","相手チーム",,,,"被枠外シュート",,
