"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:00:00","ポゼッションスタート",,,,,,
="0:00:00:00","筑波大学",,,,,,
="0:00:00:73",,"キックオフ",,,,,
="0:00:01:33",,,"角田涼太郎",,"クリア",,
="0:00:02:40",,,"角田涼太郎","ドリブル",,,
="0:00:03:06",,,"角田涼太郎",,,"ファール",
="0:00:03:63",,,"阿部航斗",,,,"パンチング"
="0:00:16:24","ポゼッションエンド",,,,,,
="0:00:16:24","筑波大学",,,,,,
="0:00:17:41","ポゼッションスタート",,,,,,
="0:00:17:41","相手チーム",,,,,,
="0:00:22:74","ポゼッションエンド",,,,,,
="0:00:22:74","相手チーム",,,,,,
="0:00:26:65","ポゼッションスタート",,,,,,
="0:00:26:65","筑波大学",,,,,,
="0:00:30:92","ポゼッションエンド",,,,,,
="0:00:30:92","筑波大学",,,,,,
="0:00:34:22","ポゼッションスタート",,,,,,
="0:00:34:22","筑波大学",,,,,,
="0:01:21:45","ポゼッションエンド",,,,,,
="0:01:21:45","筑波大学",,,,,,
="0:01:48:30","ポゼッションスタート",,,,,,
="0:01:48:30","相手チーム",,,,,,
="0:01:52:04","ポゼッションエンド",,,,,,
="0:01:52:04","相手チーム",,,,,,
="0:01:53:50","ポゼッションスタート",,,,,,
="0:01:53:50","筑波大学",,,,,,
="0:03:00:58","ポゼッションエンド",,,,,,
="0:03:00:58","筑波大学",,,,,,
="0:03:06:05","ポゼッションスタート",,,,,,
="0:03:06:05","相手チーム",,,,,,
="0:03:12:82","ポゼッションエンド",,,,,,
="0:03:12:82","相手チーム",,,,,,
="0:03:16:89","ポゼッションスタート",,,,,,
="0:03:16:89","筑波大学",,,,,,
="0:03:43:54","ポゼッションエンド",,,,,,
="0:03:43:54","筑波大学",,,,,,
="0:04:00:62","ポゼッションスタート",,,,,,
="0:04:00:62","筑波大学",,,,,,
="0:04:06:96","ポゼッションエンド",,,,,,
="0:04:06:96","筑波大学",,,,,,
="0:04:29:27","ポゼッションスタート",,,,,,
="0:04:29:27","相手チーム",,,,,,
="0:04:38:58","ポゼッションエンド",,,,,,
="0:04:38:58","相手チーム",,,,,,
="0:04:39:71","ポゼッションスタート",,,,,,
="0:04:39:71","筑波大学",,,,,,
="0:04:46:02","ポゼッションエンド",,,,,,
="0:04:46:02","筑波大学",,,,,,
="0:05:18:14","ポゼッションスタート",,,,,,
="0:05:18:14","相手チーム",,,,,,
="0:05:20:14","ポゼッションエンド",,,,,,
="0:05:20:14","相手チーム",,,,,,
="0:05:25:51","ポゼッションスタート",,,,,,
="0:05:25:51","筑波大学",,,,,,
="0:05:47:49","ポゼッションエンド",,,,,,
="0:05:47:49","筑波大学",,,,,,
="0:06:15:41","ポゼッションスタート",,,,,,
="0:06:15:41","相手チーム",,,,,,
="0:06:19:98","ポゼッションエンド",,,,,,
="0:06:19:98","相手チーム",,,,,,
="0:06:21:12","ポゼッションスタート",,,,,,
="0:06:21:12","筑波大学",,,,,,
="0:06:35:39","ポゼッションエンド",,,,,,
="0:06:35:39","筑波大学",,,,,,
="0:06:36:46","ポゼッションスタート",,,,,,
="0:06:36:46","相手チーム",,,,,,
="0:06:40:26","ポゼッションエンド",,,,,,
="0:06:40:26","相手チーム",,,,,,
="0:06:42:40","ポゼッションスタート",,,,,,
="0:06:42:40","筑波大学",,,,,,
="0:06:54:74","ポゼッションエンド",,,,,,
="0:06:54:74","筑波大学",,,,,,
="0:07:21:26","ポゼッションスタート",,,,,,
="0:07:21:26","相手チーム",,,,,,
="0:07:29:89","ポゼッションエンド",,,,,,
="0:07:29:89","相手チーム",,,,,,
="0:08:03:25","ポゼッションスタート",,,,,,
="0:08:03:25","相手チーム",,,,,,
="0:08:05:82","ポゼッションエンド",,,,,,
="0:08:05:82","相手チーム",,,,,,
="0:08:08:59","ポゼッションスタート",,,,,,
="0:08:08:59","筑波大学",,,,,,
="0:08:14:69","ポゼッションエンド",,,,,,
="0:08:14:69","筑波大学",,,,,,
="0:08:35:77","ポゼッションスタート",,,,,,
="0:08:35:77","相手チーム",,,,,,
