"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:19:91",,"キックオフ",,,,,
="0:00:25:39",,,"山原怜音",,"インターセプト",,
="0:00:33:16","相手チーム","スローイン",,,,,
="0:00:40:40","相手チーム","スローイン",,,,,
="0:00:43:07",,,"加藤匠人",,"ブロック",,
="0:00:50:35",,,"加藤匠人",,"インターセプト",,
="0:00:50:61","ポゼッションスタート",,,,,,
="0:00:50:61","筑波大学",,,,,,
="0:00:53:68",,,"高嶺朋樹","パス",,,
="0:00:54:38","ポゼッションエンド",,,,,,
="0:00:54:38","筑波大学",,,,,,
="0:00:56:25",,,"井川空","パス",,,
="0:00:56:25",,,,"ボールロスト",,,
="0:01:09:30","相手チーム","スローイン",,,,,
="0:01:18:24",,,"生地慶充",,"カット",,
="0:01:20:24",,,"森海渡","パス",,,
="0:01:20:48","ポゼッションスタート",,,,,,
="0:01:20:48","筑波大学",,,,,,
="0:01:21:18",,,"高嶺朋樹","パス",,,
="0:01:22:14",,,"加藤匠人","パス",,,
="0:01:22:14",,,,"ボールロスト",,,
="0:01:25:08",,,"加藤匠人","パス",,,
="0:01:29:82",,,"山原怜音","パス",,,
="0:01:30:22",,,"山原怜音","ドリブル",,,
="0:01:31:59",,,"岩本翔","パス",,,
="0:01:34:82",,,"加藤匠人","ドリブル",,,
="0:01:36:52",,,"山原怜音","パス",,,
="0:01:37:99",,,"加藤匠人","パス",,,
="0:01:38:46",,,"岩本翔","パス",,,
="0:01:39:96",,,"池谷祐輔","パス",,,
="0:01:41:00",,,"加藤匠人","パス",,,
="0:01:41:86",,,"高嶺朋樹","パス",,,
="0:01:44:10",,,"岩本翔","パス",,,
="0:01:45:83",,,"高嶺朋樹","ドリブル",,,
="0:01:45:93",,,"高嶺朋樹","パス",,,
="0:01:50:54",,,"山川哲史","パス",,,
="0:01:51:41",,,"高嶺朋樹","パス",,,
="0:01:52:24","ポゼッションエンド",,,,,,
="0:01:52:24","筑波大学",,,,,,
="0:01:52:27",,,"生地慶充","ドリブル",,,
="0:01:53:44",,,"山川哲史","パス",,,
="0:02:04:65",,"スローイン","井川空",,,,
="0:02:06:89","ポゼッションスタート",,,,,,
="0:02:06:89","筑波大学",,,,,,
="0:02:10:76",,,"高嶺朋樹","パス",,,
="0:02:12:03",,,"井川空","パス",,,
="0:02:14:93",,,"山川哲史","パス",,,
="0:02:16:16",,,"角田涼太郎","パス",,,
="0:02:16:16",,,,"ボールロスト",,,
="0:02:16:56","ポゼッションエンド",,,,,,
="0:02:16:56","筑波大学",,,,,,
="0:02:17:37",,,"森海渡",,,"オフサイド",
="0:02:41:62","相手チーム","FK",,,,,
="0:02:48:73",,,"山川哲史",,"ブロック",,
="0:02:57:77",,,"山川哲史",,"カット",,
="0:02:57:77",,,,,"クリア",,
="0:03:04:71","ポゼッションスタート",,,,,,
="0:03:04:71","筑波大学",,,,,,
="0:03:05:91",,,"森海渡","ドリブル",,,
="0:03:11:65",,,"森海渡","パス",,,
="0:03:11:65",,,,"ボールロスト",,,
="0:03:11:92","ポゼッションエンド",,,,,,
="0:03:11:92","筑波大学",,,,,,
="0:03:31:47","相手チーム","GK",,,,,
="0:03:42:05",,,"井川空",,"ブロック",,
="0:03:55:03",,,"高嶺朋樹",,"インターセプト",,
="0:03:56:33","ポゼッションスタート",,,,,,
="0:03:56:33","筑波大学",,,,,,
="0:03:59:43",,,"高嶺朋樹","パス",,,
="0:04:00:67",,,"加藤匠人","ドリブル",,,
="0:04:00:67",,,"山原怜音",,,,
="0:04:01:00",,,"加藤匠人","パス",,,
="0:04:03:41",,,"山原怜音","パス",,,
="0:04:06:78",,,"山原怜音","ドリブル",,,
="0:04:07:48",,,"加藤匠人","パス",,,
="0:04:09:71",,,"山原怜音","パス",,,
="0:04:13:72",,,"岩本翔","パス",,,
="0:04:15:42",,,"山川哲史","ドリブル",,,
="0:04:18:15",,,"山川哲史","パス",,,
="0:04:20:36",,,"生地慶充","パス",,,
="0:04:22:39",,,"井川空","パス",,,
="0:04:25:43",,,"山川哲史","パス",,,
="0:04:25:43",,,,"ボールロスト",,,
="0:04:29:80",,,"井川空","パス",,,
="0:04:32:97",,,"阿部航斗","パス",,,
="0:04:33:10","ポゼッションエンド",,,,,,
="0:04:33:10","筑波大学",,,,,,
="0:04:33:37",,,"角田涼太郎","ドリブル",,,
="0:04:36:34","ポゼッションスタート",,,,,,
="0:04:36:34","相手チーム",,,,,,
="0:04:38:67",,,"角田涼太郎",,"インターセプト",,
="0:04:39:34","ポゼッションエンド",,,,,,
="0:04:39:34","相手チーム",,,,,,
="0:04:42:24",,,"角田涼太郎",,"クリア",,
="0:04:46:15","ポゼッションスタート",,,,,,
="0:04:46:15","相手チーム",,,,,,
="0:04:49:28",,,"加藤匠人",,"ブロック",,
="0:04:55:49","ポゼッションエンド",,,,,,
="0:04:55:49","相手チーム",,,,,,
="0:04:56:16",,,"山原怜音",,"インターセプト",,
="0:04:57:06","ポゼッションスタート",,,,,,
="0:04:57:06","筑波大学",,,,,,
="0:05:02:63",,,"山原怜音","パス",,,
="0:05:05:63",,,"山川哲史","パス",,,
="0:05:08:74",,,"角田涼太郎","パス",,,
="0:05:11:37",,,"高嶺朋樹","ドリブル",,,
="0:05:11:74",,,"岩本翔","パス",,,
="0:05:12:74",,,"高嶺朋樹","パス",,,
="0:05:13:78",,,"池谷祐輔","パス",,,
="0:05:17:48",,,"高嶺朋樹","パス",,,
="0:05:19:18",,,"山原怜音","ドリブル",,,
="0:05:22:32",,,"山原怜音","パス",,,
="0:05:25:75",,,"角田涼太郎","パス",,,
="0:05:30:29",,,"山川哲史","パス",,,
="0:05:30:59",,,"岩本翔","ドリブル",,,
="0:05:32:06",,,"井川空","パス",,,
="0:05:32:83",,,"岩本翔","パス",,,
="0:05:34:03",,,"井川空","ドリブル",,,
="0:05:36:90",,,"井川空","パス",,,
="0:05:39:70",,,"山川哲史","パス",,,
="0:05:39:90",,,"山原怜音","ドリブル",,,
="0:05:41:80",,,"角田涼太郎","パス",,,
="0:05:44:07",,,"山原怜音","パス",,,
="0:05:45:71",,,"高嶺朋樹","ドリブル",,,
="0:05:47:48",,,"高嶺朋樹","パス",,,
