"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:08:17","ポゼッションスタート",,,,,,
="0:00:08:17","筑波大学",,,,,,
="0:00:11:07",,"キックオフ",,,,,
="0:00:15:01",,,"高嶺朋樹","パス",,,
="0:00:16:88",,,"井川空","パス",,,
="0:00:17:58",,,"山川哲史","ドリブル",,,
="0:00:19:51",,,,"パス",,,
="0:00:24:75",,,"山川哲史","パス",,,
="0:00:26:45",,,"角田涼太郎","パス",,,
="0:00:26:86","ポゼッションエンド",,,,,,
="0:00:26:86","筑波大学",,,,,,
="0:00:31:43",,,"山原怜音","ボールロスト",,,
="0:00:39:73","相手チーム","GK",,,,,
="0:00:59:49",,,"角田涼太郎",,"ブロック",,
="0:01:13:20",,,"山川哲史",,"インターセプト",,
="0:01:14:37","ポゼッションスタート",,,,,,
="0:01:14:37","筑波大学",,,,,,
="0:01:21:94",,,"山川哲史","パス",,,
="0:01:24:21",,,"山原怜音","パス",,,
="0:01:26:58",,,"角田涼太郎","パス",,,
="0:01:26:95",,,"加藤匠人",,"ブロック",,
="0:01:27:08","ポゼッションエンド",,,,,,
="0:01:27:08","筑波大学",,,,,,
="0:01:29:25",,,"山原怜音","パス",,,
="0:01:31:55",,,"加藤匠人","ボールロスト",,,
="0:01:44:10","相手チーム","スローイン",,,,,
="0:01:49:37",,,"角田涼太郎",,"インターセプト",,
="0:01:51:01","ポゼッションスタート",,,,,,
="0:01:51:01","筑波大学",,,,,,
="0:01:55:84",,,"岩本翔","パス",,,
="0:01:56:71",,,"加藤匠人","パス",,,
="0:01:59:05",,,"角田涼太郎","パス",,,
="0:02:02:18",,,"生地慶充","ドリブル",,,
="0:02:02:18",,,,"クロス",,,
="0:02:02:62",,,"井川空","パス",,,
="0:02:08:76","ポゼッションエンド",,,,,,
="0:02:08:76","筑波大学",,,,,,
="0:02:38:29",,"CK","山原怜音",,,,
="0:02:45:46",,,"井川空","枠外シュート",,,
="0:03:06:41","相手チーム","GK",,,,,
="0:03:18:23",,"スローイン","山原怜音",,,,
="0:03:27:14","ポゼッションスタート",,,,,,
="0:03:27:14","筑波大学",,,,,,
="0:03:27:37",,,"岩本翔","ドリブル",,,
="0:03:30:31",,,"加藤匠人","パス",,,
="0:03:31:51",,,"山原怜音","パス",,,
="0:03:33:31",,,"岩本翔","パス",,,
="0:03:35:18",,,"角田涼太郎","パス",,,
="0:03:35:64","ポゼッションエンド",,,,,,
="0:03:35:64","筑波大学",,,,,,
="0:03:37:28",,,"山川哲史","パス",,,
="0:03:47:16",,"スローイン","井川空",,,,
="0:03:48:02","ポゼッションスタート",,,,,,
="0:03:48:02","筑波大学",,,,,,
="0:03:53:90",,,"角田涼太郎","ドリブル",,,
="0:03:54:63",,,"高嶺朋樹","パス",,,
="0:03:57:00","ポゼッションエンド",,,,,,
="0:03:57:00","筑波大学",,,,,,
="0:03:59:40",,,"角田涼太郎",,"インターセプト",,
="0:04:00:27",,,"角田涼太郎","パス",,,
="0:04:00:34","ポゼッションスタート",,,,,,
="0:04:00:34","筑波大学",,,,,,
="0:04:02:00",,,"加藤匠人","ボールロスト",,,
="0:04:09:04",,,"岩本翔","パス",,,
="0:04:09:14",,,"生地慶充","ドリブル",,,
="0:04:09:14",,,,"枠内シュート",,,
="0:04:10:71","ポゼッションエンド",,,,,,
="0:04:10:71","筑波大学",,,,,,
="0:04:11:05",,,"高嶺朋樹","パス",,,
="0:04:12:48","ポゼッションスタート",,,,,,
="0:04:12:48","相手チーム",,,,,,
="0:04:31:73",,,"高嶺朋樹",,"ブロック",,
="0:04:34:20","ポゼッションエンド",,,,,,
="0:04:34:20","相手チーム",,,,,,
="0:04:38:34","相手チーム",,,,,"ファール",
="0:04:51:62",,"FK","山川哲史",,,,
="0:04:58:66","ポゼッションスタート",,,,,,
="0:04:58:66","筑波大学",,,,,,
="0:05:00:06",,,"阿部航斗","パス",,,
="0:05:00:10",,,"岩本翔","ドリブル",,,
="0:05:03:30",,,"角田涼太郎","パス",,,
="0:05:07:84",,,"岩本翔","パス",,,
="0:05:10:24",,,"山原怜音","パス",,,
="0:05:13:51",,,"角田涼太郎","パス",,,
="0:05:15:84",,,"阿部航斗","パス",,,
="0:05:18:35",,,"角田涼太郎","パス",,,
="0:05:19:85",,,"加藤匠人",,"インターセプト",,
="0:05:21:32",,,"山原怜音","パス",,,
