"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:00:80",,"キックオフ",,,,,
="0:00:02:63","相手チーム",,,,"被枠内シュート",,
="0:00:08:37","ポゼッションスタート",,,,,,
="0:00:08:37","筑波大学",,,,,,
="0:00:12:91",,,"阿部航斗",,,,"セービング"
="0:00:22:88",,,"三笘薫","ドリブル",,,
="0:00:28:52","ポゼッションエンド",,,,,,
="0:00:28:52","筑波大学",,,,,,
="0:00:30:53","ポゼッションスタート",,,,,,
="0:00:30:53","相手チーム",,,,,,
="0:00:38:83",,,"森侑里",,"ブロック",,
="0:00:40:80","ポゼッションエンド",,,,,,
="0:00:40:80","相手チーム",,,,,,
="0:00:45:31","ポゼッションスタート",,,,,,
="0:00:45:31","相手チーム",,,,,,
="0:00:53:18",,,"森侑里",,"ブロック",,
="0:00:54:35","ポゼッションエンド",,,,,,
="0:00:54:35","相手チーム",,,,,,
="0:00:58:72","ポゼッションスタート",,,,,,
="0:00:58:72","筑波大学",,,,,,
="0:01:01:92",,,"山原怜音","ドリブル",,,
="0:01:10:67",,,"山原怜音","ドリブル",,,
="0:01:10:67",,,,"クロス",,,
="0:01:13:60","ポゼッションエンド",,,,,,
="0:01:13:60","筑波大学",,,,,,
="0:01:15:07",,,"三笘薫","枠外シュート",,,
="0:01:43:93","相手チーム","GK",,,,,
="0:01:46:97",,,"山川哲史",,"ブロック",,
="0:01:53:17",,,"山原怜音",,"クリア",,
="0:02:03:15","ポゼッションスタート",,,,,,
="0:02:03:15","筑波大学",,,,,,
="0:02:04:85",,,"阿部航斗",,"クリア",,
="0:02:08:16","ポゼッションエンド",,,,,,
="0:02:08:16","筑波大学",,,,,,
="0:02:10:39","ポゼッションスタート",,,,,,
="0:02:10:39","相手チーム",,,,,,
="0:02:13:43","ポゼッションエンド",,,,,,
="0:02:13:43","相手チーム",,,,,,
="0:02:15:23",,,"阿部航斗",,,,"キャッチ"
="0:02:16:93","ポゼッションスタート",,,,,,
="0:02:16:93","筑波大学",,,,,,
="0:02:34:08",,,"三笘薫","ドリブル",,,
="0:02:37:69","ポゼッションエンド",,,,,,
="0:02:37:69","筑波大学",,,,,,
="0:02:38:69",,,"三笘薫","クロス",,,
="0:03:07:58",,"スローイン","加藤匠人",,,,
="0:03:15:86","ポゼッションスタート",,,,,,
="0:03:15:86","筑波大学",,,,,,
="0:03:16:12",,,"加藤匠人",,"インターセプト",,
="0:03:19:36","ポゼッションエンド",,,,,,
="0:03:19:36","筑波大学",,,,,,
="0:03:23:87",,,"山川哲史",,"カット",,
="0:03:26:57",,,"山川哲史","ドリブル",,,
="0:03:27:97","ポゼッションスタート",,,,,,
="0:03:27:97","筑波大学",,,,,,
="0:03:32:64",,,"和田育",,"カット",,
="0:03:36:44","ポゼッションエンド",,,,,,
="0:03:36:44","筑波大学",,,,,,
="0:03:39:08","ポゼッションスタート",,,,,,
="0:03:39:08","相手チーム",,,,,,
="0:03:59:60",,,"阿部航斗",,,,"パンチング"
="0:04:05:81","ポゼッションエンド",,,,,,
="0:04:05:81","相手チーム",,,,,,
="0:04:09:41","相手チーム",,,,"被枠外シュート",,
="0:04:46:18","相手チーム","CK",,,,,
="0:04:48:65",,,"山原怜音",,"ブロック",,
="0:04:49:82","ポゼッションスタート",,,,,,
="0:04:49:82","筑波大学",,,,,,
="0:04:57:49","ポゼッションエンド",,,,,,
="0:04:57:49","筑波大学",,,,,,
="0:04:58:86",,,"山原怜音",,"インターセプト",,
="0:04:59:33","ポゼッションスタート",,,,,,
="0:04:59:33","筑波大学",,,,,,
="0:05:23:72","ポゼッションエンド",,,,,,
="0:05:23:72","筑波大学",,,,,,
="0:05:24:12","相手チーム",,,,,"ファール",
="0:06:12:77",,"FK","高嶺朋樹",,,,
="0:06:21:34",,,"角田涼太郎","枠内シュート",,,
="0:06:37:16","ポゼッションスタート",,,,,,
="0:06:37:16","筑波大学",,,,,,
="0:06:40:23",,,"阿部航斗",,,,"キャッチ"
="0:07:02:52","ポゼッションエンド",,,,,,
="0:07:02:52","筑波大学",,,,,,
="0:07:05:42","相手チーム","スローイン",,,,,
="0:07:05:65","ポゼッションスタート",,,,,,
="0:07:05:65","筑波大学",,,,,,
="0:07:19:97",,,"和田育",,"カット",,
="0:07:22:74",,,"三笘薫","ドリブル",,,
="0:08:08:95",,,"三笘薫",,"カット",,
="0:08:14:79",,,"小林幹",,"インターセプト",,
="0:08:36:38","ポゼッションエンド",,,,,,
="0:08:36:38","筑波大学",,,,,,
="0:08:59:00","相手チーム","GK",,,,,
="0:09:02:30",,,"加藤匠人",,"ブロック",,
="0:09:08:21","ポゼッションスタート",,,,,,
="0:09:08:21","筑波大学",,,,,,
="0:09:42:68","ポゼッションエンド",,,,,,
="0:09:42:68","筑波大学",,,,,,
="0:09:47:02","ポゼッションスタート",,,,,,
="0:09:47:02","相手チーム",,,,,,
="0:09:55:39","ポゼッションエンド",,,,,,
="0:09:55:39","相手チーム",,,,,,
="0:09:57:73","相手チーム",,,,"被枠外シュート",,
="0:10:05:93","ポゼッションスタート",,,,,,
="0:10:05:93","筑波大学",,,,,,
="0:10:09:34",,"GK","阿部航斗",,,,
="0:10:34:50",,,"山原怜音","ドリブル",,,
="0:10:41:04",,,"高嶺朋樹",,"カット",,
="0:11:05:76","ポゼッションエンド",,,,,,
="0:11:05:76","筑波大学",,,,,,
="0:11:10:63",,,"角田涼太郎",,"ブロック",,
="0:11:19:27","ポゼッションスタート",,,,,,
="0:11:19:27","筑波大学",,,,,,
="0:11:19:57",,"スローイン","加藤匠人",,,,
="0:12:18:70",,,"加藤匠人","クロス",,,
="0:12:21:64","ポゼッションエンド",,,,,,
="0:12:21:64","筑波大学",,,,,,
="0:12:33:21","ポゼッションスタート",,,,,,
="0:12:33:21","筑波大学",,,,,,
="0:12:34:62",,"スローイン","山原怜音",,,,
="0:12:38:62",,,"高嶺朋樹","ドリブル",,,
="0:12:40:69","ポゼッションエンド",,,,,,
="0:12:40:69","筑波大学",,,,,,
="0:12:48:43","ポゼッションスタート",,,,,,
="0:12:48:43","筑波大学",,,,,,
="0:13:22:66",,,"渡邊陽","クロス",,,
="0:13:22:76","ポゼッションエンド",,,,,,
="0:13:22:76","筑波大学",,,,,,
="0:13:37:91",,,"加藤匠人",,"ブロック",,
="0:13:50:69",,"スローイン","加藤匠人",,,,
="0:13:52:09","ポゼッションスタート",,,,,,
="0:13:52:09","筑波大学",,,,,,
="0:14:03:04",,,"渡邊陽","ドリブル",,,
="0:14:36:77","ポゼッションエンド",,,,,,
="0:14:36:77","筑波大学",,,,,,
="0:14:47:52",,"スローイン","加藤匠人",,,,
="0:15:28:52",,"CK","加藤匠人",,,,
="0:15:33:43",,,"角田涼太郎","枠内シュート",,,
="0:15:38:50","ポゼッションスタート",,,,,,
="0:15:38:50","相手チーム",,,,,,
="0:15:58:45","ポゼッションエンド",,,,,,
="0:15:58:45","相手チーム",,,,,,
="0:15:59:35",,,"角田涼太郎",,"インターセプト",,
="0:16:08:90","ポゼッションスタート",,,,,,
="0:16:08:90","相手チーム",,,,,,
="0:16:16:57","ポゼッションエンド",,,,,,
="0:16:16:57","相手チーム",,,,,,
="0:16:17:71",,,"森侑里",,"インターセプト",,
="0:16:19:34","ポゼッションスタート",,,,,,
="0:16:19:34","筑波大学",,,,,,
="0:16:46:50",,,"山原怜音","ドリブル",,,
="0:16:46:50",,,,"クロス",,,
="0:16:49:87","ポゼッションエンド",,,,,,
="0:16:49:87","筑波大学",,,,,,
="0:16:55:54",,"スローイン","加藤匠人",,,,
="0:16:59:98","ポゼッションスタート",,,,,,
="0:16:59:98","筑波大学",,,,,,
="0:17:46:80","ポゼッションエンド",,,,,,
="0:17:46:80","筑波大学",,,,,,
="0:17:48:06",,,"和田育",,,"ファール",
="0:18:10:19","相手チーム","FK",,,,,
="0:18:11:39",,,"山川哲史",,"ブロック",,
="0:18:18:19","相手チーム",,,,,"ファール",
="0:18:27:74","ポゼッションスタート",,,,,,
="0:18:27:74","筑波大学",,,,,,
="0:18:30:84",,"FK","山原怜音",,,,
="0:19:12:68","ポゼッションエンド",,,,,,
="0:19:12:68","筑波大学",,,,,,
="0:19:12:95",,,"角田涼太郎",,"カット",,
="0:19:19:99","相手チーム",,,,,"ファール",
="0:19:24:73","ポゼッションスタート",,,,,,
="0:19:24:73","筑波大学",,,,,,
="0:19:25:73",,"FK","森侑里",,,,
="0:20:15:78","ポゼッションエンド",,,,,,
="0:20:15:78","筑波大学",,,,,,
="0:20:21:92",,,"加藤匠人",,"インターセプト",,
="0:20:28:52","ポゼッションスタート",,,,,,
