"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:01:83",,"キックオフ",,,,,
="0:00:02:36","ポゼッションスタート",,,,,,
="0:00:02:36","筑波大学",,,,,,
="0:00:10:21",,,"高嶺朋樹",,"インターセプト",,
="0:00:24:02",,,"三笘薫","クロス",,,
="0:00:26:32","ポゼッションエンド",,,,,,
="0:00:26:32","筑波大学",,,,,,
="0:00:36:50","ポゼッションスタート",,,,,,
="0:00:36:50","筑波大学",,,,,,
="0:00:38:37",,"スローイン","山川哲史",,,,
="0:00:49:78","ポゼッションエンド",,,,,,
="0:00:49:78","筑波大学",,,,,,
="0:01:14:80",,"スローイン","山原怜音",,,,
="0:01:15:04","ポゼッションスタート",,,,,,
="0:01:15:04","筑波大学",,,,,,
="0:01:46:07",,,"加藤匠人","ドリブル",,,
="0:01:46:07",,,,"クロス",,,
="0:01:56:91","ポゼッションエンド",,,,,,
="0:01:56:91","筑波大学",,,,,,
="0:02:03:39","ポゼッションスタート",,,,,,
="0:02:03:39","筑波大学",,,,,,
="0:02:16:87",,,"山原怜音","ドリブル",,,
="0:02:16:87",,,,"クロス",,,
="0:02:24:84","ポゼッションエンド",,,,,,
="0:02:24:84","筑波大学",,,,,,
="0:02:31:31",,,"渡邊陽","枠内シュート",,,
="0:02:43:12","ポゼッションスタート",,,,,,
="0:02:43:12","筑波大学",,,,,,
="0:02:43:86",,,"三笘薫",,"カット",,
="0:02:53:07","ポゼッションエンド",,,,,,
="0:02:53:07","筑波大学",,,,,,
="0:03:00:81",,"スローイン","角田涼太郎",,,,
="0:03:01:94","ポゼッションスタート",,,,,,
="0:03:01:94","筑波大学",,,,,,
="0:03:06:95","ポゼッションエンド",,,,,,
="0:03:06:95","筑波大学",,,,,,
="0:03:14:22","相手チーム","スローイン",,,,,
="0:03:15:29","ポゼッションスタート",,,,,,
="0:03:15:29","相手チーム",,,,,,
="0:03:34:61","ポゼッションエンド",,,,,,
="0:03:34:61","相手チーム",,,,,,
="0:03:35:24",,,"渡邊陽",,"インターセプト",,
="0:03:38:21","ポゼッションスタート",,,,,,
="0:03:38:21","筑波大学",,,,,,
="0:03:47:02","ポゼッションエンド",,,,,,
="0:03:47:02","筑波大学",,,,,,
="0:03:49:42",,,"高嶺朋樹",,"ブロック",,
="0:03:50:99","ポゼッションスタート",,,,,,
="0:03:50:99","相手チーム",,,,,,
="0:04:04:67","ポゼッションエンド",,,,,,
="0:04:04:67","相手チーム",,,,,,
="0:04:12:65",,"スローイン","加藤匠人",,,,
="0:04:34:57","ポゼッションスタート",,,,,,
="0:04:34:57","筑波大学",,,,,,
="0:04:35:97","相手チーム","スローイン",,,,,
="0:04:48:48",,,"角田涼太郎",,"クリア",,
="0:04:50:49","ポゼッションエンド",,,,,,
="0:04:50:49","筑波大学",,,,,,
="0:04:56:99","ポゼッションスタート",,,,,,
="0:04:56:99","筑波大学",,,,,,
="0:04:59:93","相手チーム",,,,"被枠外シュート",,
="0:05:33:93",,"GK","阿部航斗",,,,
="0:06:02:12",,,"小林幹","クロス",,,
="0:06:02:89","ポゼッションエンド",,,,,,
="0:06:02:89","筑波大学",,,,,,
="0:06:04:69","ポゼッションスタート",,,,,,
="0:06:04:69","相手チーム",,,,,,
="0:06:08:33","ポゼッションエンド",,,,,,
="0:06:08:33","相手チーム",,,,,,
="0:06:09:60",,,"高嶺朋樹",,,"ファール",
="0:06:47:34","相手チーム","FK",,,,,
="0:07:23:07",,"GK","阿部航斗",,,,
="0:07:24:84","ポゼッションスタート",,,,,,
="0:07:24:84","相手チーム",,,,,,
="0:07:34:42","ポゼッションエンド",,,,,,
="0:07:34:42","相手チーム",,,,,,
="0:07:35:32",,,"角田涼太郎",,"インターセプト",,
="0:07:36:82","ポゼッションスタート",,,,,,
="0:07:36:82","筑波大学",,,,,,
="0:08:22:16","ポゼッションエンド",,,,,,
="0:08:22:16","筑波大学",,,,,,
="0:08:35:44","相手チーム","スローイン",,,,,
="0:08:37:68","ポゼッションスタート",,,,,,
="0:08:37:68","筑波大学",,,,,,
="0:08:37:88",,,"角田涼太郎",,"インターセプト",,
="0:08:40:68","ポゼッションエンド",,,,,,
