"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:00:00",,"キックオフ",,,,,
="0:00:08:44",,"スローイン","三浦雅人",,,,
="0:00:09:07","ポゼッションスタート",,,,,,
="0:00:09:07","筑波大学",,,,,,
="0:00:14:61",,,"池谷祐輔","ドリブル",,,
="0:00:24:02","ポゼッションエンド",,,,,,
="0:00:24:02","筑波大学",,,,,,
="0:00:27:62",,,"和田育","ドリブル",,,
="0:00:31:56","相手チーム",,,,,"ファール",
="0:00:58:95",,"FK","山原怜音",,,,
="0:01:12:70","ポゼッションスタート",,,,,,
="0:01:12:70","筑波大学",,,,,,
="0:01:16:14","ポゼッションエンド",,,,,,
="0:01:16:14","筑波大学",,,,,,
="0:01:20:84","ポゼッションスタート",,,,,,
="0:01:20:84","筑波大学",,,,,,
="0:01:23:55",,"スローイン","和田育",,,,
="0:01:47:44","ポゼッションエンド",,,,,,
="0:01:47:44","筑波大学",,,,,,
="0:01:51:21",,,"森侑里",,"クリア",,
="0:01:55:78","相手チーム",,,,,"ファール",
="0:02:11:93","ポゼッションスタート",,,,,,
="0:02:11:93","筑波大学",,,,,,
="0:02:12:99",,"FK","角田涼太郎",,,,
="0:02:49:70","ポゼッションエンド",,,,,,
="0:02:49:70","筑波大学",,,,,,
="0:02:52:53","ポゼッションスタート",,,,,,
="0:02:52:53","相手チーム",,,,,,
="0:03:01:24","ポゼッションエンド",,,,,,
="0:03:01:24","相手チーム",,,,,,
="0:03:04:45",,,"阿部航斗",,,,"キャッチ"
="0:03:05:38","ポゼッションスタート",,,,,,
="0:03:05:38","筑波大学",,,,,,
="0:03:14:22","ポゼッションエンド",,,,,,
="0:03:14:22","筑波大学",,,,,,
="0:03:14:49",,,"和田育",,"ブロック",,
="0:03:18:86",,"スローイン",,,,,
="0:03:20:10","ポゼッションスタート",,,,,,
="0:03:20:10","相手チーム",,,,,,
="0:03:35:14","ポゼッションエンド",,,,,,
="0:03:35:14","相手チーム",,,,,,
="0:03:35:78",,,"三浦雅人",,"カット",,
="0:03:39:85",,,"三浦雅人",,"クリア",,
="0:03:45:32","相手チーム","スローイン",,,,,
="0:03:48:79","ポゼッションスタート",,,,,,
="0:03:48:79","相手チーム",,,,,,
="0:03:58:57",,,"森侑里",,"クリア",,
="0:03:58:70","ポゼッションエンド",,,,,,
="0:03:58:70","相手チーム",,,,,,
="0:04:03:87","相手チーム","スローイン",,,,,
="0:04:10:21","ポゼッションスタート",,,,,,
="0:04:10:21","相手チーム",,,,,,
="0:04:28:20","ポゼッションエンド",,,,,,
="0:04:28:20","相手チーム",,,,,,
="0:04:29:56","相手チーム",,,,,"ファール",
="0:04:55:99","ポゼッションスタート",,,,,,
="0:04:55:99","筑波大学",,,,,,
="0:04:57:49",,"FK","阿部航斗",,,,
="0:05:08:97","ポゼッションエンド",,,,,,
="0:05:08:97","筑波大学",,,,,,
="0:05:13:38","ポゼッションスタート",,,,,,
="0:05:13:38","筑波大学",,,,,,
="0:05:18:15",,,"知久航介",,"カット",,
="0:05:58:22",,,"和田育","ドリブル",,,
="0:06:05:63","ポゼッションエンド",,,,,,
="0:06:05:63","筑波大学",,,,,,
="0:06:10:03","ポゼッションスタート",,,,,,
="0:06:10:03","筑波大学",,,,,,
="0:06:10:50",,,"山川哲史",,"インターセプト",,
="0:06:33:76",,,"三浦雅人","クロス",,,
="0:07:10:89","ポゼッションエンド",,,,,,
="0:07:10:89","筑波大学",,,,,,
="0:07:13:86","ポゼッションスタート",,,,,,
="0:07:13:86","相手チーム",,,,,,
="0:07:20:84",,,"山川哲史",,"カット",,
="0:07:22:00","ポゼッションエンド",,,,,,
="0:07:22:00","相手チーム",,,,,,
="0:07:25:61","ポゼッションスタート",,,,,,
="0:07:25:61","筑波大学",,,,,,
="0:07:34:02","ポゼッションエンド",,,,,,
="0:07:34:02","筑波大学",,,,,,
="0:07:35:48",,,"和田育",,,"ファール",
="0:08:15:99","相手チーム","FK",,,,,
="0:08:18:13",,,"山川哲史",,"ブロック",,
="0:08:18:93","ポゼッションスタート",,,,,,
="0:08:18:93","相手チーム",,,,,,
="0:08:22:83",,,"山川哲史",,"ブロック",,
="0:08:24:80","ポゼッションエンド",,,,,,
="0:08:24:80","相手チーム",,,,,,
="0:08:28:07","ポゼッションスタート",,,,,,
="0:08:28:07","筑波大学",,,,,,
="0:08:58:57",,,"高嶺朋樹",,"カット",,
="0:09:06:31","ポゼッションエンド",,,,,,
="0:09:06:31","筑波大学",,,,,,
="0:09:10:31","ポゼッションスタート",,,,,,
="0:09:10:31","筑波大学",,,,,,
="0:09:20:39","ポゼッションエンド",,,,,,
="0:09:20:39","筑波大学",,,,,,
="0:09:22:32","ポゼッションスタート",,,,,,
="0:09:22:32","相手チーム",,,,,,
="0:09:35:64","ポゼッションエンド",,,,,,
="0:09:35:64","相手チーム",,,,,,
="0:09:36:77","相手チーム",,,,"被枠外シュート",,
="0:09:44:18","ポゼッションスタート",,,,,,
="0:09:44:18","筑波大学",,,,,,
="0:09:49:45",,"GK","阿部航斗",,,,
