"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:07:64",,"キックオフ",,,,,
="0:00:10:84",,,"角田涼太郎",,"ブロック",,
="0:00:14:14",,,"犬飼翔洋",,,"ファール",
="0:00:32:33","相手チーム","FK",,,,,
="0:00:35:10",,,"井川空",,"クリア",,
="0:00:37:17","ポゼッションスタート",,,,,,
="0:00:37:17","相手チーム",,,,,,
="0:00:41:87","ポゼッションエンド",,,,,,
="0:00:41:87","相手チーム",,,,,,
="0:00:43:00",,,"池谷祐輔",,"カット",,
="0:00:47:04","ポゼッションスタート",,,,,,
="0:00:47:04","相手チーム",,,,,,
="0:01:06:09",,,"三浦雅人",,"インターセプト",,
="0:01:06:33","ポゼッションエンド",,,,,,
="0:01:06:33","相手チーム",,,,,,
="0:01:11:07",,,"三浦雅人","ドリブル",,,
="0:01:11:10","ポゼッションスタート",,,,,,
="0:01:11:10","筑波大学",,,,,,
="0:01:15:37","ポゼッションエンド",,,,,,
="0:01:15:37","筑波大学",,,,,,
="0:01:18:37","ポゼッションスタート",,,,,,
="0:01:18:37","相手チーム",,,,,,
="0:01:33:79",,,"角田涼太郎",,"カット",,
="0:01:34:02","ポゼッションエンド",,,,,,
="0:01:34:02","相手チーム",,,,,,
="0:01:39:23","ポゼッションスタート",,,,,,
="0:01:39:23","相手チーム",,,,,,
="0:01:59:38","ポゼッションエンド",,,,,,
="0:01:59:38","相手チーム",,,,,,
="0:02:00:82",,,"山原怜音",,"ブロック",,
="0:02:16:56",,"スローイン","山原怜音",,,,
="0:02:21:17","ポゼッションスタート",,,,,,
="0:02:21:17","筑波大学",,,,,,
="0:02:39:49","ポゼッションエンド",,,,,,
="0:02:39:49","筑波大学",,,,,,
="0:02:52:83","ポゼッションスタート",,,,,,
="0:02:52:83","筑波大学",,,,,,
="0:02:53:10",,"スローイン","三浦雅人",,,,
="0:02:58:41","ポゼッションエンド",,,,,,
="0:02:58:41","筑波大学",,,,,,
="0:03:20:90","相手チーム","GK",,,,,
="0:03:27:47",,,"阿部航斗",,,,"キャッチ"
="0:03:40:58","ポゼッションスタート",,,,,,
="0:03:40:58","筑波大学",,,,,,
="0:03:52:76",,,"池谷祐輔","ドリブル",,,
="0:03:57:87","ポゼッションエンド",,,,,,
="0:03:57:87","筑波大学",,,,,,
="0:03:58:83",,,"知久航介","枠内シュート",,,
="0:04:38:24",,"CK","知久航介",,,,
="0:04:59:66",,"CK","知久航介",,,,
="0:05:05:40",,,"山川哲史","枠外シュート",,,
="0:05:22:92",,,"井川空",,"ブロック",,
="0:05:32:06","ポゼッションスタート",,,,,,
="0:05:32:06","相手チーム",,,,,,
="0:05:34:26","相手チーム","スローイン",,,,,
="0:05:45:87","ポゼッションエンド",,,,,,
="0:05:45:87","相手チーム",,,,,,
="0:05:48:54",,,"山原怜音","ドリブル",,,
="0:05:49:28","ポゼッションスタート",,,,,,
="0:05:49:28","筑波大学",,,,,,
="0:06:01:89",,,"井川空",,"カット",,
="0:06:24:68","ポゼッションエンド",,,,,,
="0:06:24:68","筑波大学",,,,,,
="0:07:00:75","相手チーム","GK",,,,,
="0:07:01:45",,,"井川空",,"ブロック",,
="0:07:02:75","ポゼッションスタート",,,,,,
="0:07:02:75","筑波大学",,,,,,
="0:07:07:06",,,"池谷祐輔","ドリブル",,,
="0:07:12:49","ポゼッションエンド",,,,,,
="0:07:12:49","筑波大学",,,,,,
="0:07:17:60","ポゼッションスタート",,,,,,
="0:07:17:60","筑波大学",,,,,,
="0:07:19:07",,,"角田涼太郎",,"カット",,
="0:07:28:38","ポゼッションエンド",,,,,,
="0:07:28:38","筑波大学",,,,,,
="0:07:32:65",,,"三浦雅人",,,"ファール",
="0:07:46:76","相手チーム","FK",,,,,
="0:07:48:16","ポゼッションスタート",,,,,,
="0:07:48:16","筑波大学",,,,,,
="0:07:50:03",,,"角田涼太郎",,"ブロック",,
="0:07:52:53","ポゼッションエンド",,,,,,
="0:07:52:53","筑波大学",,,,,,
="0:08:03:18",,,"森侑里",,"ブロック",,
="0:08:09:15",,,"角田涼太郎",,"クリア",,
="0:08:16:52","ポゼッションスタート",,,,,,
="0:08:16:52","相手チーム",,,,,,
="0:08:20:03","相手チーム","スローイン",,,,,
="0:08:23:47","ポゼッションエンド",,,,,,
="0:08:23:47","相手チーム",,,,,,
="0:08:30:01","相手チーム",,,,"被枠外シュート",,
="0:08:53:06","ポゼッションスタート",,,,,,
="0:08:53:06","相手チーム",,,,,,
="0:08:53:29",,"GK","阿部航斗",,,,
="0:09:07:21","ポゼッションエンド",,,,,,
="0:09:07:21","相手チーム",,,,,,
="0:09:09:54","ポゼッションスタート",,,,,,
="0:09:09:54","筑波大学",,,,,,
="0:09:09:71",,,"池谷祐輔",,"カット",,
="0:09:14:52","ポゼッションエンド",,,,,,
="0:09:14:52","筑波大学",,,,,,
="0:09:14:65",,,"三浦雅人","ドリブル",,,
="0:09:22:92",,,"森侑里",,"ブロック",,
="0:09:34:47",,,"知久航介",,"クリア",,
="0:09:39:11","ポゼッションスタート",,,,,,
="0:09:39:11","相手チーム",,,,,,
="0:09:59:26","ポゼッションエンド",,,,,,
="0:09:59:26","相手チーム",,,,,,
="0:10:01:36",,,"山川哲史",,"カット",,
="0:10:12:01","相手チーム",,,,"被枠外シュート",,
="0:10:12:57",,,"阿部航斗",,,,"セービング"
="0:10:40:34","相手チーム","CK",,,,,
="0:11:18:64",,"GK","阿部航斗",,,,
="0:11:21:24","ポゼッションスタート",,,,,,
="0:11:21:24","相手チーム",,,,,,
="0:11:35:36","ポゼッションエンド",,,,,,
="0:11:35:36","相手チーム",,,,,,
="0:11:37:89",,,"知久航介",,"ブロック",,
="0:11:57:31","相手チーム","CK",,,,,
="0:12:02:32",,,"阿部航斗",,,,"キャッチ"
="0:12:13:09","ポゼッションスタート",,,,,,
="0:12:13:09","筑波大学",,,,,,
="0:12:15:56",,,"池谷祐輔","ドリブル",,,
="0:12:34:92","ポゼッションエンド",,,,,,
="0:12:34:92","筑波大学",,,,,,
="0:12:38:32","ポゼッションスタート",,,,,,
="0:12:38:32","相手チーム",,,,,,
="0:12:41:82",,,"知久航介",,"ブロック",,
="0:12:43:16","ポゼッションエンド",,,,,,
="0:12:43:16","相手チーム",,,,,,
="0:12:45:93","ポゼッションスタート",,,,,,
="0:12:45:93","筑波大学",,,,,,
="0:13:01:98",,,"池谷祐輔","ドリブル",,,
="0:13:03:18","ポゼッションエンド",,,,,,
="0:13:03:18","筑波大学",,,,,,
="0:13:11:25","相手チーム","スローイン",,,,,
="0:13:11:55","ポゼッションスタート",,,,,,
="0:13:11:55","筑波大学",,,,,,
="0:13:33:41","ポゼッションエンド",,,,,,
="0:13:33:41","筑波大学",,,,,,
="0:13:41:48","相手チーム","スローイン",,,,,
="0:13:41:88",,,"知久航介",,"インターセプト",,
="0:13:43:12","ポゼッションスタート",,,,,,
="0:13:43:12","筑波大学",,,,,,
="0:13:47:56","ポゼッションエンド",,,,,,
="0:13:47:56","筑波大学",,,,,,
="0:13:51:33","ポゼッションスタート",,,,,,
="0:13:51:33","相手チーム",,,,,,
="0:13:56:97","ポゼッションエンド",,,,,,
="0:13:56:97","相手チーム",,,,,,
="0:13:57:20",,,"森侑里",,"クリア",,
="0:14:03:84","ポゼッションスタート",,,,,,
="0:14:03:84","相手チーム",,,,,,
="0:14:06:21","相手チーム","スローイン",,,,,
="0:14:11:41","ポゼッションエンド",,,,,,
="0:14:11:41","相手チーム",,,,,,
="0:14:14:08","ポゼッションスタート",,,,,,
="0:14:14:08","筑波大学",,,,,,
="0:14:14:18",,,"高嶺朋樹","ドリブル",,,
="0:14:19:85","ポゼッションエンド",,,,,,
="0:14:19:85","筑波大学",,,,,,
="0:14:21:46","相手チーム",,,,,"ファール",
="0:14:47:62",,"FK","山原怜音",,,,
="0:14:54:62",,,"犬飼翔洋",,,"オフサイド",
="0:15:00:03",,,"山川哲史",,"ブロック",,
="0:15:00:23","相手チーム","FK",,,,,
="0:15:01:10","ポゼッションスタート",,,,,,
="0:15:01:10","相手チーム",,,,,,
="0:15:11:87","ポゼッションエンド",,,,,,
="0:15:11:87","相手チーム",,,,,,
="0:15:12:34",,,"阿部航斗",,,,"キャッチ"
="0:15:15:41","ポゼッションスタート",,,,,,
="0:15:15:41","筑波大学",,,,,,
="0:15:21:48","ポゼッションエンド",,,,,,
="0:15:21:48","筑波大学",,,,,,
="0:15:29:79","ポゼッションスタート",,,,,,
="0:15:29:79","相手チーム",,,,,,
="0:15:30:83","相手チーム","スローイン",,,,,
="0:15:38:37","ポゼッションエンド",,,,,,
="0:15:38:37","相手チーム",,,,,,
="0:15:38:70",,,"山川哲史",,"インターセプト",,
="0:15:41:77","ポゼッションスタート",,,,,,
="0:15:41:77","筑波大学",,,,,,
="0:15:55:88","ポゼッションエンド",,,,,,
="0:15:55:88","筑波大学",,,,,,
="0:15:59:59","ポゼッションスタート",,,,,,
="0:15:59:59","相手チーム",,,,,,
="0:16:27:68","ポゼッションエンド",,,,,,
="0:16:27:68","相手チーム",,,,,,
