"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:00:00",,"キックオフ",,,,,
="0:00:03:55",,,"大川圭為",,,,"パンチング"
="0:00:21:82","相手チーム","スローイン",,,,,
="0:00:37:02","ポゼッションエンド",,,,,,
="0:00:37:02","相手チーム",,,,,,
="0:00:41:84",,,"山原怜音",,"ブロック",,
="0:00:57:64",,,"生地慶充",,"カット",,
="0:00:58:47","ポゼッションスタート",,,,,,
="0:00:58:47","筑波大学",,,,,,
="0:01:00:41","ポゼッションエンド",,,,,,
="0:01:00:41","筑波大学",,,,,,
="0:01:06:49","ポゼッションスタート",,,,,,
="0:01:06:49","筑波大学",,,,,,
="0:01:22:01",,"スローイン","山原怜音",,,,
="0:01:34:34","相手チーム","スローイン",,,,,
="0:01:48:32",,,"加藤匠人",,"クリア",,
="0:01:58:71","ポゼッションエンド",,,,,,
="0:01:58:71","筑波大学",,,,,,
="0:01:58:75",,,"岩本翔",,"カット",,
="0:02:01:68","ポゼッションスタート",,,,,,
="0:02:01:68","相手チーム",,,,,,
="0:02:03:18","ポゼッションエンド",,,,,,
="0:02:03:18","相手チーム",,,,,,
="0:02:12:28",,,"加藤匠人",,"インターセプト",,
="0:02:14:31","ポゼッションスタート",,,,,,
="0:02:14:31","筑波大学",,,,,,
="0:02:19:12","ポゼッションエンド",,,,,,
="0:02:19:12","筑波大学",,,,,,
="0:02:22:14","ポゼッションスタート",,,,,,
="0:02:22:14","筑波大学",,,,,,
="0:02:22:72","相手チーム",,,,,"ファール",
="0:02:31:60",,,"山原怜音","ドリブル",,,
="0:02:33:85",,"FK","手塚貴大",,,,
="0:02:38:29","ポゼッションエンド",,,,,,
="0:02:38:29","筑波大学",,,,,,
="0:02:47:26","ポゼッションスタート",,,,,,
="0:02:47:26","相手チーム",,,,,,
="0:02:54:64",,,"犬飼翔洋",,"カット",,
="0:02:58:71","ポゼッションエンド",,,,,,
="0:02:58:71","相手チーム",,,,,,
="0:03:03:38","ポゼッションスタート",,,,,,
="0:03:03:38","相手チーム",,,,,,
="0:03:06:20",,,"生地慶充",,,"ファール",
="0:03:15:06","相手チーム","FK",,,,,
="0:03:17:18","ポゼッションエンド",,,,,,
="0:03:17:18","相手チーム",,,,,,
="0:03:41:03","ポゼッションスタート",,,,,,
="0:03:41:03","相手チーム",,,,,,
="0:03:42:80",,,"生地慶充",,"クリア",,
="0:03:44:34","ポゼッションエンド",,,,,,
="0:03:44:34","相手チーム",,,,,,
="0:03:50:13","ポゼッションスタート",,,,,,
="0:03:50:13","相手チーム",,,,,,
="0:03:52:89",,,"山原怜音",,"ブロック",,
="0:04:01:59","ポゼッションエンド",,,,,,
="0:04:01:59","相手チーム",,,,,,
="0:04:20:46",,,"山川哲史",,"ブロック",,
="0:04:21:02","ポゼッションスタート",,,,,,
="0:04:21:02","相手チーム",,,,,,
="0:04:26:36","ポゼッションエンド",,,,,,
="0:04:26:36","相手チーム",,,,,,
="0:04:32:00","ポゼッションスタート",,,,,,
="0:04:32:00","相手チーム",,,,,,
="0:04:34:10","ポゼッションエンド",,,,,,
="0:04:34:10","相手チーム",,,,,,
="0:04:39:89",,,"知久航介",,"ブロック",,
="0:04:40:71","ポゼッションスタート",,,,,,
="0:04:40:71","筑波大学",,,,,,
="0:04:47:22","相手チーム","スローイン",,,,,
="0:05:06:75",,,"生地慶充",,"インターセプト",,
="0:05:08:72","ポゼッションエンド",,,,,,
="0:05:08:72","筑波大学",,,,,,
="0:05:13:49","ポゼッションスタート",,,,,,
="0:05:13:49","筑波大学",,,,,,
="0:05:16:43","相手チーム",,,,,"ファール",
="0:05:19:76",,,"山川哲史","ドリブル",,,
="0:05:29:37",,"FK","山原怜音",,,,
="0:05:31:29","ポゼッションエンド",,,,,,
="0:05:31:29","筑波大学",,,,,,
="0:06:04:41","ポゼッションスタート",,,,,,
="0:06:04:41","相手チーム",,,,,,
="0:06:05:99","ポゼッションエンド",,,,,,
="0:06:05:99","相手チーム",,,,,,
="0:06:11:40","ポゼッションスタート",,,,,,
="0:06:11:40","筑波大学",,,,,,
="0:06:12:13",,,"山川哲史",,,"ファール",
="0:06:22:24",,,"山原怜音","ドリブル",,,
="0:06:31:84","相手チーム","FK",,,,,
="0:06:47:35",,,"大川圭為",,"インターセプト",,
="0:06:57:46","ポゼッションエンド",,,,,,
="0:06:57:46","筑波大学",,,,,,
="0:07:43:71",,,"山原怜音","ドリブル",,,
="0:07:47:61",,,"山原怜音","クロス",,,
="0:07:50:75",,,"永満凌","ドリブル",,,
="0:08:11:70",,,"山川哲史","枠外シュート",,,
="0:08:14:27","相手チーム",,,,,"ファール",
="0:08:15:31","ポゼッションスタート",,,,,,
="0:08:15:31","筑波大学",,,,,,
="0:08:35:58",,"FK","山原怜音",,,,
="0:09:09:01",,,"加藤匠人",,"インターセプト",,
="0:09:10:76","ポゼッションエンド",,,,,,
="0:09:10:76","筑波大学",,,,,,
="0:09:11:23",,,"山原怜音","ドリブル",,,
="0:09:33:87","ポゼッションスタート",,,,,,
="0:09:33:87","相手チーム",,,,,,
="0:09:39:04","相手チーム","スローイン",,,,,
="0:10:18:53",,,"加藤匠人",,"インターセプト",,
="0:10:32:79",,,"山川哲史",,,"ファール",
="0:10:45:57","相手チーム","FK",,,,,
="0:10:47:08","ポゼッションエンド",,,,,,
="0:10:47:08","相手チーム",,,,,,
="0:11:03:09","ポゼッションスタート",,,,,,
="0:11:03:09","相手チーム",,,,,,
="0:11:09:21",,,"加藤匠人",,,"ファール",
="0:11:19:76","相手チーム","FK",,,,,
="0:11:21:53","ポゼッションエンド",,,,,,
="0:11:21:53","相手チーム",,,,,,
="0:11:30:37","ポゼッションスタート",,,,,,
="0:11:30:37","筑波大学",,,,,,
="0:11:34:94",,"スローイン","山原怜音",,,,
