"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:01:01:99","ポゼッションスタート",,,,,,
="0:01:01:99","筑波大学",,,,,,
="0:01:03:12",,"キックオフ",,,,,
="0:01:41:90",,,"山川哲史",,"ブロック",,
="0:01:49:17","相手チーム","スローイン",,,,,
="0:01:57:83",,"GK","大川圭為",,,,
="0:02:12:91",,"GK","大川圭為",,,,
="0:02:14:15",,,"大川圭為",,,,"パンチング"
="0:02:22:40","相手チーム","スローイン",,,,,
="0:02:23:86",,,"山原怜音","ドリブル",,,
="0:02:40:61",,,"犬飼翔洋",,"ブロック",,
="0:02:48:33","相手チーム","スローイン",,,,,
="0:02:55:30",,,"山川哲史",,"インターセプト",,
="0:03:05:45",,,"永満凌",,"カット",,
="0:03:08:37","ポゼッションエンド",,,,,,
="0:03:08:37","筑波大学",,,,,,
="0:03:22:20",,,"永満凌","ドリブル",,,
="0:03:27:20","ポゼッションスタート",,,,,,
="0:03:27:20","筑波大学",,,,,,
="0:03:29:60",,,"永満凌","クロス",,,
="0:03:33:86","相手チーム","スローイン",,,,,
="0:03:41:85",,,"山原怜音","枠外シュート",,,
="0:03:49:71",,,"手塚貴大",,"ブロック",,
="0:03:50:69",,,"永満凌","ドリブル",,,
="0:03:59:80","相手チーム","スローイン",,,,,
="0:04:09:13",,,"手塚貴大",,,"ファール",
="0:04:27:55","相手チーム","FK",,,,,
="0:04:36:76",,,"大川圭為",,"インターセプト",,
="0:04:44:51","ポゼッションエンド",,,,,,
="0:04:44:51","筑波大学",,,,,,
="0:05:17:16","ポゼッションスタート",,,,,,
="0:05:17:16","相手チーム",,,,,,
="0:05:19:01","ポゼッションエンド",,,,,,
="0:05:19:01","相手チーム",,,,,,
="0:05:23:62",,,"加藤匠人",,"クリア",,
="0:05:24:15","ポゼッションスタート",,,,,,
="0:05:24:15","筑波大学",,,,,,
="0:05:34:61","相手チーム","スローイン",,,,,
="0:05:47:16",,,"山原怜音",,"クリア",,
="0:06:05:96",,,"山川哲史",,,"ファール",
="0:06:35:56","相手チーム","FK",,,,,
="0:06:48:84",,,"大川圭為",,"インターセプト",,
="0:06:56:14","ポゼッションエンド",,,,,,
="0:06:56:14","筑波大学",,,,,,
="0:07:00:15","ポゼッションスタート",,,,,,
="0:07:00:15","筑波大学",,,,,,
="0:08:18:74","ポゼッションエンド",,,,,,
="0:08:18:74","筑波大学",,,,,,
="0:08:36:23","ポゼッションスタート",,,,,,
="0:08:36:23","筑波大学",,,,,,
="0:08:36:61","相手チーム","スローイン",,,,,
