"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:00:00",,,"阿部航斗",,,,"パンチング"
="0:00:00:56",,"キックオフ",,,,,
="0:00:02:90","ポゼッションスタート",,,,,,
="0:00:02:90","相手チーム",,,,,,
="0:00:15:16",,"スローイン","山原怜音",,,,
="0:00:28:40",,,"山原怜音",,"クリア",,
="0:00:37:46","相手チーム","スローイン",,,,,
="0:00:52:73",,,"手塚貴大",,"ブロック",,
="0:00:59:23","相手チーム","スローイン",,,,,
="0:01:02:03","ポゼッションエンド",,,,,,
="0:01:02:03","相手チーム",,,,,,
="0:01:11:23","ポゼッションスタート",,,,,,
="0:01:11:23","相手チーム",,,,,,
="0:01:15:63","ポゼッションエンド",,,,,,
="0:01:15:63","相手チーム",,,,,,
="0:01:20:66","相手チーム",,,,,"オフサイド",
="0:01:21:26","ポゼッションスタート",,,,,,
="0:01:21:26","相手チーム",,,,,,
="0:01:36:30",,"FK","阿部航斗",,,,
="0:01:49:80",,,"阿部航斗","パス",,,
="0:02:00:46",,,"森海渡","ボールロスト",,,
="0:02:16:10",,,"井川空",,"ブロック",,
="0:02:21:33","ポゼッションエンド",,,,,,
="0:02:21:33","相手チーム",,,,,,
="0:02:27:16","ポゼッションスタート",,,,,,
="0:02:27:16","筑波大学",,,,,,
="0:02:28:50",,"GK","阿部航斗",,,,
="0:02:51:26",,,"阿部航斗","パス",,,
="0:03:03:73",,,"渡邊陽","パス",,,
="0:03:04:50","ポゼッションエンド",,,,,,
="0:03:04:50","筑波大学",,,,,,
="0:03:06:20",,,"井川空","パス",,,
="0:03:07:26",,,"渡邊陽","パス",,,
="0:03:09:56",,,"三笘薫","パス",,,
="0:03:10:56",,,"高嶺朋樹","パス",,,
="0:03:13:00",,,"渡邊陽","パス",,,
="0:03:13:96",,,"井川空","パス",,,
="0:03:15:40",,,"三笘薫","ボールロスト",,,
="0:03:20:26",,,"井川空",,"インターセプト",,
="0:03:22:06","ポゼッションスタート",,,,,,
="0:03:22:06","相手チーム",,,,,,
="0:03:26:80",,,"井川空",,,"ファール",
="0:03:34:00","相手チーム","FK",,,,,
="0:03:39:43","ポゼッションエンド",,,,,,
="0:03:39:43","相手チーム",,,,,,
="0:03:46:30","ポゼッションスタート",,,,,,
="0:03:46:30","筑波大学",,,,,,
="0:03:47:03","キャッチ",,"阿部航斗",,,,
="0:03:50:40","ポゼッションエンド",,,,,,
="0:03:50:40","筑波大学",,,,,,
="0:03:50:93",,,"阿部航斗","パス",,,
="0:03:54:60",,,"高嶺朋樹","パス",,,
="0:03:58:36",,,"山原怜音","パス",,,
="0:03:58:46","ポゼッションスタート",,,,,,
="0:03:58:46","筑波大学",,,,,,
="0:04:00:06",,,"森海渡","ボールロスト",,,
="0:04:00:73",,,"高嶺朋樹",,"インターセプト",,
="0:04:02:46",,,"高嶺朋樹","パス",,,
="0:04:05:70",,"スローイン","山原怜音",,,,
="0:04:15:26","ポゼッションエンド",,,,,,
="0:04:15:26","筑波大学",,,,,,
="0:04:16:89",,,"渡邊陽","パス",,,
="0:04:19:16",,,"池谷祐輔","パス",,,
="0:04:21:00",,,"三笘薫","ドリブル",,,
="0:04:24:80",,,"三笘薫","パス",,,
="0:04:25:70",,,"池谷祐輔","パス",,,
="0:04:28:10",,,"井川空","パス",,,
="0:04:30:66","ポゼッションスタート",,,,,,
="0:04:30:66","相手チーム",,,,,,
="0:04:31:83",,,"池谷祐輔","ボールロスト",,,
="0:04:36:46","ポゼッションエンド",,,,,,
="0:04:36:46","相手チーム",,,,,,
="0:05:01:46",,,"山川哲史",,"クリア",,
="0:05:01:70","ポゼッションスタート",,,,,,
="0:05:01:70","相手チーム",,,,,,
="0:05:07:73","相手チーム","スローイン",,,,,
="0:05:09:26","ポゼッションエンド",,,,,,
="0:05:09:26","相手チーム",,,,,,
="0:05:16:50",,,"渡邊陽",,"インターセプト",,
="0:05:17:00","ポゼッションスタート",,,,,,
="0:05:17:00","相手チーム",,,,,,
="0:05:19:20",,,"渡邊陽","パス",,,
="0:05:21:63",,,"山川哲史",,"クリア",,
="0:05:24:76","ポゼッションエンド",,,,,,
="0:05:24:76","相手チーム",,,,,,
="0:05:44:30",,,"手塚貴大",,"ブロック",,
="0:05:45:13","ポゼッションスタート",,,,,,
="0:05:45:13","相手チーム",,,,,,
="0:05:47:53",,,"高嶺朋樹","パス",,,
="0:05:48:06",,,"渡邊陽","ボールロスト",,,
="0:05:50:00","ポゼッションエンド",,,,,,
="0:05:50:00","相手チーム",,,,,,
="0:05:52:96",,,"高嶺朋樹",,"インターセプト",,
="0:06:22:00",,,"阿部航斗",,"セービング",,
="0:06:22:23","ポゼッションスタート",,,,,,
="0:06:22:23","筑波大学",,,,,,
="0:06:34:33",,,"阿部航斗","パス",,,
="0:06:41:73",,,"三笘薫",,"インターセプト",,
="0:06:43:53",,,"三笘薫","ボールロスト",,,
="0:06:49:43",,,"三笘薫","ドリブル",,,
="0:06:52:60","相手チーム","スローイン",,,,,
="0:07:04:40","キャッチ",,"阿部航斗",,,,
="0:07:11:43",,,"阿部航斗","パス",,,
="0:07:19:80",,,"渡邊陽",,"インターセプト",,
