"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:00:00",,,"阿部航斗",,,,"パンチング"
="0:00:25:99","ポゼッションスタート",,,,,,
="0:00:25:99","相手チーム",,,,,,
="0:00:26:05","相手チーム",,,,,,
="0:00:50:18",,"GK","阿部航斗",,,,
="0:01:02:02","相手チーム","スローイン",,,,,
="0:01:11:27","相手チーム","スローイン",,,,,
="0:01:15:14","ポゼッションエンド",,,,,,
="0:01:15:14","相手チーム",,,,,,
="0:01:22:11",,,"高嶺朋樹",,"カット",,
="0:01:23:14","ポゼッションスタート",,,,,,
="0:01:23:14","相手チーム",,,,,,
="0:01:28:02","相手チーム",,,,,"ファール",
="0:01:36:59",,"FK","阿部航斗",,,,
="0:01:55:48",,,"手塚貴大",,"クリア",,
="0:02:05:65",,,"渡邊陽",,,"ファール",
="0:02:13:93","相手チーム","FK",,,,,
="0:02:34:38",,,"山川哲史",,"インターセプト",,
="0:02:43:69","ポゼッションエンド",,,,,,
="0:02:43:69","相手チーム",,,,,,
="0:02:57:94",,,"井川空",,"カット",,
="0:02:59:27","ポゼッションスタート",,,,,,
="0:02:59:27","相手チーム",,,,,,
="0:03:07:15",,"スローイン","井川空",,,,
="0:03:26:37",,,"渡邊陽",,"クリア",,
="0:03:28:57","ポゼッションエンド",,,,,,
="0:03:28:57","相手チーム",,,,,,
="0:03:33:14","ポゼッションスタート",,,,,,
="0:03:33:14","筑波大学",,,,,,
="0:03:35:11",,,"手塚貴大",,"カット",,
="0:03:40:48",,,"三笘薫",,"インターセプト",,
="0:03:42:65","ポゼッションエンド",,,,,,
="0:03:42:65","筑波大学",,,,,,
="0:03:45:69",,,"森海渡","ドリブル",,,
="0:03:50:83",,,"森海渡","パス",,,
="0:03:52:03",,,"池谷祐輔","ドリブル",,,
="0:03:55:20",,,"山原怜音","パス",,,
="0:04:00:94",,,"加藤匠人","パス",,,
="0:04:02:54",,,"山原怜音","パス",,,
="0:04:03:71",,,"加藤匠人","パス",,,
="0:04:04:51",,,"渡邊陽","パス",,,
="0:04:08:31",,,"山原怜音","パス",,,
="0:04:10:48",,,"池谷祐輔","パス",,,
="0:04:13:92","ポゼッションスタート",,,,,,
="0:04:13:92","筑波大学",,,,,,
="0:04:14:12",,,"手塚貴大","パス",,,
="0:04:16:15",,,"三笘薫","パス",,,
="0:04:19:22",,,"井川空","ボールロスト",,,
="0:04:20:79",,,"手塚貴大",,"ブロック",,
="0:04:25:33",,,"井川空",,"ブロック",,
="0:04:30:00",,,"高嶺朋樹",,"インターセプト",,
="0:04:32:13","ポゼッションエンド",,,,,,
="0:04:32:13","筑波大学",,,,,,
="0:04:35:70",,,"高嶺朋樹","パス",,,
="0:04:37:14",,,"三笘薫","パス",,,
="0:04:38:24",,,"渡邊陽","パス",,,
="0:04:42:21",,,"手塚貴大","パス",,,
